alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum
0.05,177,43,100,15,85,0.15,0.31365313653136534,0.031947807371536185,0.4,1905,0,betting,5<K<=30
0.05,325,63,72,6,66,0.08333333333333333,0.75,0.018461538461538463,0.4,717,0,betting,K<=5
0.05,34,10,59,11,48,0.1864406779661017,0.17391304347826086,0.041359620771385476,0.4,2039,0,betting,K>30
0.1,177,55,126,24,102,0.19047619047619047,0.3763837638376384,0.049744417541027715,0.4,1905,0,betting,5<K<=30
0.1,325,68,78,9,69,0.11538461538461539,0.7840909090909091,0.027692307692307693,0.4,717,0,betting,K<=5
0.1,34,13,80,20,60,0.25,0.21739130434782608,0.10141333200885196,0.4,2039,0,betting,K>30
0.15,177,78,163,30,133,0.18404907975460122,0.4907749077490775,0.07799300511164918,0.4,1905,0,betting,5<K<=30
0.15,325,76,86,14,72,0.16279069767441862,0.8181818181818182,0.043076923076923075,0.4,717,0,betting,K<=5
0.15,34,23,123,39,84,0.3170731707317073,0.30434782608695654,0.21434496875673348,0.4,2039,0,betting,K>30
0.2,177,78,163,30,133,0.18404907975460122,0.4907749077490775,0.07799300511164918,0.4,1905,0,betting,5<K<=30
0.2,325,76,86,14,72,0.16279069767441862,0.8181818181818182,0.043076923076923075,0.4,717,0,betting,K<=5
0.2,34,23,123,39,84,0.3170731707317073,0.30434782608695654,0.21434496875673348,0.4,2039,0,betting,K>30
0.05,182,49,75,3,72,0.04,0.2987551867219917,0.013736263736263736,0.4,2020,1,betting,5<K<=30
0.05,300,54,55,3,52,0.05454545454545454,0.6265060240963856,0.01,0.4,663,1,betting,K<=5
0.05,54,21,85,5,80,0.058823529411764705,0.17857142857142858,0.02469135802469136,0.4,3589,1,betting,K>30
0.1,182,62,104,10,94,0.09615384615384616,0.3900414937759336,0.04322344322344323,0.4,2020,1,betting,5<K<=30
0.1,300,62,63,8,55,0.12698412698412698,0.6626506024096386,0.02666666666666667,0.4,663,1,betting,K<=5
0.1,54,24,112,19,93,0.16964285714285715,0.20758928571428573,0.06893399810066476,0.4,3589,1,betting,K>30
