seed,alpha,strategy,rejections,fdp,recall,mean_family_fdp,pass,config
0,0.05,pertemplate,92,0.010869565217391304,0.046169457128361235,0.000835421888053467,1,isotonic_noclip
0,0.1,pertemplate,125,0.032,0.061390157280568236,0.003341687552213868,1,isotonic_noclip
0,0.15,pertemplate,144,0.0625,0.0684931506849315,0.007518796992481203,1,isotonic_noclip
0,0.2,pertemplate,164,0.10365853658536585,0.0745814307458143,0.014202172096908938,1,isotonic_noclip
0,0.05,global,0,0.0,0.0,0.0,1,isotonic_noclip
0,0.1,global,3,0.3333333333333333,0.0010147133434804667,0.000835421888053467,0,isotonic_noclip
0,0.15,global,43,0.2558139534883721,0.016235413495687467,0.009189640768588136,0,isotonic_noclip
0,0.2,global,43,0.2558139534883721,0.016235413495687467,0.009189640768588136,0,isotonic_noclip
1,0.05,pertemplate,65,0.046153846153846156,0.04369274136715997,0.002506265664160401,1,isotonic_noclip
1,0.1,pertemplate,85,0.07058823529411765,0.05567300916138125,0.005012531328320802,1,isotonic_noclip
1,0.15,pertemplate,104,0.09615384615384616,0.06624383368569416,0.00835421888053467,1,isotonic_noclip
1,0.2,pertemplate,126,0.14285714285714285,0.07610993657505286,0.015037593984962405,1,isotonic_noclip
1,0.05,global,0,0.0,0.0,0.0,1,isotonic_noclip
1,0.1,global,1,1.0,0.0,0.000835421888053467,0,isotonic_noclip
1,0.15,global,28,0.35714285714285715,0.012684989429175475,0.00835421888053467,0,isotonic_noclip
1,0.2,global,59,0.3389830508474576,0.02748414376321353,0.01670843776106934,0,isotonic_noclip
2,0.05,pertemplate,84,0.011904761904761904,0.042346938775510205,0.000835421888053467,1,isotonic_noclip
2,0.1,pertemplate,94,0.010638297872340425,0.047448979591836735,0.000835421888053467,1,isotonic_noclip
2,0.15,pertemplate,104,0.019230769230769232,0.05204081632653061,0.001670843776106934,1,isotonic_noclip
2,0.2,pertemplate,116,0.06896551724137931,0.05510204081632653,0.006683375104427736,1,isotonic_noclip
2,0.05,global,0,0.0,0.0,0.0,1,isotonic_noclip
2,0.1,global,3,0.0,0.001530612244897959,0.0,1,isotonic_noclip
2,0.15,global,32,0.1875,0.013265306122448979,0.005012531328320802,0,isotonic_noclip
2,0.2,global,32,0.1875,0.013265306122448979,0.005012531328320802,1,isotonic_noclip
3,0.05,pertemplate,82,0.04878048780487805,0.05094709340300457,0.003341687552213868,1,isotonic_noclip
3,0.1,pertemplate,105,0.047619047619047616,0.06531678641410843,0.004177109440267335,1,isotonic_noclip
3,0.15,pertemplate,120,0.075,0.07250163291966036,0.007518796992481203,1,isotonic_noclip
3,0.2,pertemplate,134,0.11194029850746269,0.07772697583278902,0.012531328320802004,1,isotonic_noclip
3,0.05,global,0,0.0,0.0,0.0,1,isotonic_noclip
3,0.1,global,4,0.25,0.001959503592423253,0.000835421888053467,0,isotonic_noclip
3,0.15,global,30,0.2,0.015676028739386023,0.005012531328320802,0,isotonic_noclip
3,0.2,global,30,0.2,0.015676028739386023,0.005012531328320802,1,isotonic_noclip
4,0.05,pertemplate,75,0.013333333333333334,0.04506699147381242,0.000835421888053467,1,isotonic_noclip
4,0.1,pertemplate,88,0.056818181818181816,0.05054811205846529,0.004177109440267335,1,isotonic_noclip
4,0.15,pertemplate,100,0.07,0.05663824604141291,0.005847953216374269,1,isotonic_noclip
4,0.2,pertemplate,109,0.11009174311926606,0.05907429963459196,0.010025062656641603,1,isotonic_noclip
4,0.05,global,0,0.0,0.0,0.0,1,isotonic_noclip
4,0.1,global,4,0.75,0.0006090133982947625,0.002506265664160401,0,isotonic_noclip
4,0.15,global,29,0.3103448275862069,0.012180267965895249,0.007518796992481203,0,isotonic_noclip
4,0.2,global,29,0.3103448275862069,0.012180267965895249,0.007518796992481203,0,isotonic_noclip
