config,strategy,rejections,fdp,recall,pass_rate,mean_family_fdp
isotonic_clip500,pertemplate,100.2,0.0432359010270775,0.05652309589324296,1.0,0.003508771929824561
isotonic_clip500,global,3.0,0.4666666666666666,0.0010227685158192882,0.2,0.0010025062656641604
isotonic_clip500_alpha,α=0.05,79.0,0.023900505862620363,0.04540103907025178,1.0,0.0015037593984962405
isotonic_clip500_alpha,α=0.1,100.2,0.0432359010270775,0.05652309589324296,1.0,0.003508771929824561
isotonic_clip500_alpha,α=0.15,116.4,0.06392660584408157,0.06426322968490847,1.0,0.006182121971595655
isotonic_clip500_alpha,α=0.2,133.2,0.10696592086471954,0.07021087537213669,1.0,0.011862990810359231
isotonic_clip1000,pertemplate,100.0,0.0432578308516389,0.05642105507691643,1.0,0.003508771929824561
isotonic_clip1000,global,3.0,0.4666666666666666,0.0010227685158192882,0.2,0.0010025062656641604
isotonic_clip1000_alpha,α=0.05,79.6,0.026208398882842147,0.045644644429569683,1.0,0.001670843776106934
isotonic_clip1000_alpha,α=0.1,100.0,0.0432578308516389,0.05642105507691643,1.0,0.003508771929824561
isotonic_clip1000_alpha,α=0.15,115.8,0.06412598419748987,0.06393734537259646,1.0,0.006182121971595655
isotonic_clip1000_alpha,α=0.2,132.0,0.1060229928250173,0.06970067129050404,1.0,0.011695906432748537
isotonic_noclip,pertemplate,99.4,0.0435327525207375,0.05607540890127198,1.0,0.003508771929824561
isotonic_noclip,global,3.0,0.4666666666666666,0.0010227685158192882,0.2,0.0010025062656641604
isotonic_noclip_alpha,α=0.05,79.6,0.026208398882842147,0.045644644429569683,1.0,0.001670843776106934
isotonic_noclip_alpha,α=0.1,99.4,0.0435327525207375,0.05607540890127198,1.0,0.003508771929824561
isotonic_noclip_alpha,α=0.15,114.4,0.06457692307692307,0.06318353593164591,1.0,0.006182121971595655
isotonic_noclip_alpha,α=0.2,129.8,0.10750264766212334,0.06851893672091494,1.0,0.011695906432748537
hist80_sm01_clip500,pertemplate,92.8,0.04266854533182624,0.052407447795998915,1.0,0.0031746031746031746
hist80_sm01_clip500,global,3.0,0.4666666666666666,0.0010227685158192882,0.2,0.0010025062656641604
hist80_sm01_clip500_alpha,α=0.05,67.2,0.024275573434330983,0.03876207528849911,1.0,0.001336675020885547
hist80_sm01_clip500_alpha,α=0.1,92.8,0.04266854533182624,0.052407447795998915,1.0,0.0031746031746031746
hist80_sm01_clip500_alpha,α=0.15,109.0,0.06389334015711834,0.06032855754522637,1.0,0.0056808688387635755
hist80_sm01_clip500_alpha,α=0.2,124.6,0.10742983816307813,0.06572645797465707,1.0,0.011027568922305764
hist80_sm01_noclip,pertemplate,91.8,0.04331831791142338,0.05179843439770415,1.0,0.0031746031746031746
hist80_sm01_noclip,global,3.0,0.4666666666666666,0.0010227685158192882,0.2,0.0010025062656641604
hist80_sm01_noclip_alpha,α=0.05,66.2,0.024612955350660267,0.03815306189020434,1.0,0.001336675020885547
hist80_sm01_noclip_alpha,α=0.1,91.8,0.04331831791142338,0.05179843439770415,1.0,0.0031746031746031746
hist80_sm01_noclip_alpha,α=0.15,108.2,0.0645141139072569,0.05984134682659055,1.0,0.0056808688387635755
hist80_sm01_noclip_alpha,α=0.2,123.6,0.10832979316532802,0.0651174445763623,1.0,0.011027568922305764
logreg_noclip,pertemplate,91.2,0.04830053508105615,0.05118271676792453,1.0,0.003508771929824561
logreg_noclip,global,3.0,0.4666666666666666,0.0010227685158192882,0.2,0.0010025062656641604
logreg_noclip_alpha,α=0.05,62.8,0.026290094881644178,0.03614630945168595,0.8,0.001336675020885547
logreg_noclip_alpha,α=0.1,91.2,0.04830053508105615,0.05118271676792453,1.0,0.003508771929824561
logreg_noclip_alpha,α=0.15,106.2,0.065502915433614,0.05864497997007575,1.0,0.0056808688387635755
logreg_noclip_alpha,α=0.2,121.6,0.10654570876670558,0.06428687315128243,1.0,0.010693400167084376
