method,alpha,total_rejections,fdp,recall
betting,0.05,0.0,0.0,0.0
betting,0.1,0.5104177855340404,0.44426165831931924,0.0010681063708025496
betting,0.15,3.9904491239115325,0.35153531665802645,0.006749669299075911
betting,0.2,2.645253942640032,0.17870931885838476,0.005637982842090039
binary,0.05,0.22360679774997896,0.0,0.0005946989301861143
binary,0.1,2.98416875492904,0.1840584631815281,0.003865919558677153
binary,0.15,4.695742752749559,0.16653965612943938,0.0059461683757969916
binary,0.2,7.638372656666161,0.23173049333837495,0.008698784958203346
pvalue_bh,0.05,7.929126851777498,0.04345778846315917,0.022833908263187437
pvalue_bh,0.1,11.681744642592426,0.03154710853663345,0.02545426130629512
pvalue_bh,0.15,15.121525264198365,0.03043047845267384,0.028279330517098366
pvalue_bh,0.2,22.398014479671605,0.03156225259277212,0.03516747652626814
