method,alpha,total_rejections,fdp,recall
betting,0.05,73.3,0.009920751286625234,0.1858673691978345
betting,0.1,149.9,0.013784016079013348,0.3804237632748304
betting,0.15,188.85,0.022050414975727857,0.4750887996696365
betting,0.2,220.3,0.03116297298615899,0.5489978817085761
binary,0.05,8.5,0.000588235294117647,0.021483375959079284
binary,0.1,34.85,0.0072919128893354805,0.08019787010014516
binary,0.15,12.95,0.0034749034749034747,0.030818414322250638
binary,0.2,68.1,0.023405147745397648,0.14659073820831903
pvalue_bh,0.05,252.6,0.03845233190302596,0.6235465913040621
pvalue_bh,0.1,306.5,0.06381899084590628,0.736744634702913
pvalue_bh,0.15,340.75,0.09189557592202817,0.7940049739212597
pvalue_bh,0.2,365.25,0.11649507877887322,0.8280271292290806
