source,alpha,n_seeds,fdp_pool_mean,raw_pass_k,eps_seq_mean,eps_seq_median,eps_strat_seq_mean,eps_strat_seq_median,eps_strat_worst_mean,cov_seq,cov_strat_seq,cov_strat_worst
outputs/coco_gdino_1000_20seed_formal_hist,0.05,20,0.02741385459262589,19,14.785568628994804,15.106917097299387,10.64122672396486,7.081821411812123,59.051765612272064,20,20,20
outputs/coco_gdino_1000_20seed_formal_hist,0.1,20,0.039629685549485434,20,11.5896669201735,11.346666423211092,16.5730108061585,16.822933803198374,105.21901405307938,20,20,20
outputs/coco_gdino_1000_20seed_formal_hist,0.15,20,0.050699711896335084,20,10.155501923480847,10.187554891661048,15.781715779984893,15.833446914116669,101.5279281327958,20,20,20
outputs/coco_gdino_1000_20seed_formal_hist,0.2,20,0.059829906010127776,20,9.270123111935224,9.217815771697696,14.408231116582334,14.546455154033147,92.72417888266675,20,20,20
outputs/coco_gdino_1000_20seed_sf0.30,0.05,20,0.050809207513606014,11,8.571480382669817,8.749357295255297,13.326196027763723,13.805392514087828,85.6647711801509,20,20,20
outputs/coco_gdino_1000_20seed_sf0.30,0.1,20,0.08826622869340775,14,6.700129437669851,6.682737731717807,10.423059102915051,10.522491474364225,66.93520661220056,20,20,20
outputs/coco_gdino_1000_20seed_sf0.30,0.15,20,0.13270450900023267,14,5.530440033622248,5.5223041239246005,8.605710409109921,8.829050715891768,55.21350961756101,20,20,20
outputs/coco_gdino_1000_20seed_sf0.30,0.2,20,0.16937693120734965,17,4.887380985921162,4.739251393668722,7.601901753252069,7.457845412457581,48.837724756004555,20,20,20
outputs/coco_gdino_1000_20seed_sf0.40,0.05,20,0.06008138521503944,8,7.983591269191729,8.272634546023077,12.41925823889174,13.110802047365283,79.79864150165464,20,20,20
outputs/coco_gdino_1000_20seed_sf0.40,0.1,20,0.11506738304682344,6,5.921427781666205,6.000881621458616,9.213849178981729,9.27032279124569,59.0887711396815,20,20,20
outputs/coco_gdino_1000_20seed_sf0.40,0.15,20,0.19371381788484315,4,4.559119616483718,4.546621130864628,7.101097830070573,6.998683499085489,45.47225099208024,20,20,20
outputs/coco_gdino_1000_20seed_sf0.40,0.2,20,0.2141597175898317,8,4.1381792122216705,4.086103951223203,6.4413935722198135,6.353641349075266,41.29767300216918,20,20,20
outputs/coco_gdino_freeform_2000/formal_20seed,0.1,20,0.41,5,1402.4517947311897,1157.0209907846913,53.64868652601234,45.76888847570538,255.07187251945817,20,20,20
outputs/coco_gdino_freeform_2000/formal_20seed,0.15,20,0.24798571473264067,2,101.15981975367195,98.89358401378362,3.881928777312832,3.739818136670246,18.44884703881479,20,20,20
outputs/coco_gdino_freeform_2000/formal_20seed,0.2,20,0.2470777244178707,8,95.32516700969114,95.71483528802716,3.6562889898636364,3.707402685124074,17.37594593326721,20,20,20
outputs/coco_owlvit_1000_20seed_formal_hist,0.05,20,0.015066928761713509,19,19.861973651085304,17.587063350711023,14.4083218738669,12.898346680247084,64.35506708836546,20,20,20
