alpha,n_seeds,sa_fdp_pooled_mean,sa_fdp_pooled_std,sa_family_fdp_mean,sa_rej_mean,sa_recall_object_mean,base_fdp_pooled_mean,base_family_fdp_mean,base_rej_mean,base_recall_object_mean,recall_ratio_sa_over_base_object
0.05,20,0.01506692876171351,0.017121226055589436,0.002098393574297189,44.15,0.08194439827946712,0.01506692876171351,0.002098393574297189,44.15,0.08194439827946712,1.0
0.1,20,0.023126840745530605,0.018446307069595533,0.0033734939759036144,60.9,0.11203360184812025,0.023126840745530605,0.0033734939759036144,60.9,0.11203360184812025,1.0
0.15,20,0.03532432072063415,0.030223603457989325,0.005976764199655766,73.8,0.13403494087635076,0.03532432072063415,0.005976764199655766,73.8,0.13403494087635076,1.0
0.2,20,0.0380209358944394,0.03014670724286686,0.008118665136737426,84.95,0.1536473722969824,0.0380209358944394,0.008118665136737426,84.95,0.1536473722969824,1.0
