seed,alpha,R_statistic,iou_thresh,n_cal_all_null_clusters,total_tp_clusters,total_tp_candidates,sa_rej,sa_fp,sa_tp,sa_fdp_pooled,sa_family_fdp_mean,sa_recall_object,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall_candidate,base_recall_object
0,0.05,max_phi,0.7,1867,573,573,64,1,63,0.015625,0.004016064257028112,0.1099476439790576,64,1,63,0.015625,0.004016064257028112,0.1099476439790576,0.1099476439790576
0,0.1,max_phi,0.7,1867,573,573,64,1,63,0.015625,0.004016064257028112,0.1099476439790576,64,1,63,0.015625,0.004016064257028112,0.1099476439790576,0.1099476439790576
0,0.15,max_phi,0.7,1867,573,573,66,1,65,0.015151515151515152,0.004016064257028112,0.11343804537521815,66,1,65,0.015151515151515152,0.004016064257028112,0.11343804537521815,0.11343804537521815
0,0.2,max_phi,0.7,1867,573,573,68,1,67,0.014705882352941176,0.004016064257028112,0.1169284467713787,68,1,67,0.014705882352941176,0.004016064257028112,0.1169284467713787,0.1169284467713787
1,0.05,max_phi,0.7,1670,513,513,34,0,34,0.0,0.0,0.06627680311890838,34,0,34,0.0,0.0,0.06627680311890838,0.06627680311890838
1,0.1,max_phi,0.7,1670,513,513,52,0,52,0.0,0.0,0.10136452241715399,52,0,52,0.0,0.0,0.10136452241715399,0.10136452241715399
1,0.15,max_phi,0.7,1670,513,513,75,0,75,0.0,0.0,0.14619883040935672,75,0,75,0.0,0.0,0.14619883040935672,0.14619883040935672
1,0.2,max_phi,0.7,1670,513,513,93,0,93,0.0,0.0,0.18128654970760233,93,0,93,0.0,0.0,0.18128654970760233,0.18128654970760233
2,0.05,max_phi,0.7,2030,537,537,35,0,35,0.0,0.0,0.06517690875232775,35,0,35,0.0,0.0,0.06517690875232775,0.06517690875232775
2,0.1,max_phi,0.7,2030,537,537,47,0,47,0.0,0.0,0.08752327746741155,47,0,47,0.0,0.0,0.08752327746741155,0.08752327746741155
2,0.15,max_phi,0.7,2030,537,537,60,0,60,0.0,0.0,0.11173184357541899,60,0,60,0.0,0.0,0.11173184357541899,0.11173184357541899
2,0.2,max_phi,0.7,2030,537,537,71,1,70,0.014084507042253521,0.004016064257028112,0.1303538175046555,71,1,70,0.014084507042253521,0.004016064257028112,0.1303538175046555,0.1303538175046555
3,0.05,max_phi,0.7,1757,553,553,37,1,36,0.02702702702702703,0.004016064257028112,0.0650994575045208,37,1,36,0.02702702702702703,0.004016064257028112,0.0650994575045208,0.0650994575045208
3,0.1,max_phi,0.7,1757,553,553,47,1,46,0.02127659574468085,0.002008032128514056,0.08318264014466546,47,1,46,0.02127659574468085,0.002008032128514056,0.08318264014466546,0.08318264014466546
3,0.15,max_phi,0.7,1757,553,553,54,2,52,0.037037037037037035,0.006024096385542169,0.09403254972875226,54,2,52,0.037037037037037035,0.006024096385542169,0.09403254972875226,0.09403254972875226
