method,alpha,total_rejections,fdp,recall
betting,0.05,15.9,0.15054621153961575,0.017315649317421647
betting,0.1,40.3,0.1717470835063865,0.04334386023003839
betting,0.15,71.6,0.21147722297053662,0.0724940901879944
betting,0.2,92.75,0.25356342944154764,0.08916680748176894
binary,0.05,0.75,0.006666666666666666,0.0009730538922155689
binary,0.1,0.85,0.0058823529411764705,0.001122754491017964
binary,0.15,0.85,0.0058823529411764705,0.001122754491017964
binary,0.2,2.05,0.020465686274509808,0.0020724751614090257
pvalue_bh,0.05,186.05,0.36234228427411885,0.1528584619606912
pvalue_bh,0.1,282.4,0.4345932591798086,0.20542465133483256
pvalue_bh,0.15,384.9,0.5113341721415787,0.242313802567757
pvalue_bh,0.2,506.55,0.5620757066809582,0.2853988250071063
