method,alpha,total_rejections,fdp,recall
betting,0.05,36.95,0.005528265896929492,0.08511529996403164
betting,0.1,54.5,0.02052178742705695,0.12293729774623219
betting,0.15,69.15,0.040903273976762425,0.15224839702704404
betting,0.2,80.95,0.06616442159726926,0.17305895569867497
binary,0.05,1.35,0.0,0.003268765133171913
binary,0.1,3.1,0.0,0.0072910729522375805
binary,0.15,1.45,0.0017241379310344827,0.003389830508474576
binary,0.2,8.85,0.03644580200501253,0.01830640439189742
pvalue_bh,0.05,126.1,0.11717477910108513,0.25709013823930815
pvalue_bh,0.1,178.8,0.17592142962925644,0.339291883923845
pvalue_bh,0.15,228.3,0.24731815083859318,0.39318613200250774
pvalue_bh,0.2,265.45,0.30306429708128213,0.4249773981179648
