alpha,total_rejections,fp,tp,fdp,recall,threshold,seed,method
0.2,247,49,198,0.19838056680161945,0.41509433962264153,0.4054645895957947,15,score_oracle
0.05,102,5,97,0.049019607843137254,0.22769953051643194,0.6690848469734192,16,score_oracle
0.1,160,16,144,0.1,0.3380281690140845,0.5270443558692932,16,score_oracle
0.15,188,28,160,0.14893617021276595,0.3755868544600939,0.4744176864624023,16,score_oracle
0.2,238,47,191,0.19747899159663865,0.44835680751173707,0.4053351879119873,16,score_oracle
0.05,68,3,65,0.04411764705882353,0.14444444444444443,0.771742582321167,17,score_oracle
0.1,110,11,99,0.1,0.22,0.6803281307220459,17,score_oracle
0.15,198,29,169,0.14646464646464646,0.37555555555555553,0.4841733872890472,17,score_oracle
0.2,245,49,196,0.2,0.43555555555555553,0.4164989590644836,17,score_oracle
0.05,122,6,116,0.04918032786885246,0.2452431289640592,0.6308943033218384,18,score_oracle
0.1,176,17,159,0.09659090909090909,0.3361522198731501,0.4841733872890472,18,score_oracle
0.15,230,34,196,0.14782608695652175,0.4143763213530655,0.4053351879119873,18,score_oracle
0.2,272,54,218,0.19852941176470587,0.4608879492600423,0.3578158915042877,18,score_oracle
0.05,89,4,85,0.0449438202247191,0.19362186788154898,0.7047027349472046,19,score_oracle
0.1,142,14,128,0.09859154929577464,0.29157175398633256,0.6197577118873596,19,score_oracle
0.15,220,33,187,0.15,0.42596810933940776,0.4368873834609985,19,score_oracle
0.2,245,49,196,0.2,0.44646924829157175,0.3911658525466919,19,score_oracle
