alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method
0.05,153,22,23,0,23,0.0,0.05021834061135371,0.0,0.0,0.0,0,betting
0.1,153,38,45,0,45,0.0,0.0982532751091703,0.0,0.0,0.0,0,betting
0.15,153,45,58,0,58,0.0,0.12663755458515283,0.0,0.0,0.0,0,betting
0.2,153,54,70,1,69,0.014285714285714285,0.15065502183406113,0.0032679738562091504,0.0,0.0,0,betting
0.05,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,binary
0.1,153,11,12,0,12,0.0,0.026200873362445413,0.0,0.0,0.0,0,binary
0.15,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,binary
0.2,153,14,19,3,16,0.15789473684210525,0.034934497816593885,0.008714596949891067,0.0,0.0,0,binary
0.05,153,70,94,3,91,0.031914893617021274,0.19868995633187772,0.011982570806100218,0.0,,0,pvalue_bh
0.1,153,92,141,5,136,0.03546099290780142,0.29694323144104806,0.015250544662309368,0.0,,0,pvalue_bh
0.15,153,101,168,19,149,0.1130952380952381,0.32532751091703055,0.05322128851540616,0.0,,0,pvalue_bh
0.2,153,109,236,53,183,0.2245762711864407,0.39956331877729256,0.07522747661155965,0.0,,0,pvalue_bh
0.05,153,39,42,0,42,0.0,0.1016949152542373,0.0,0.0,0.0,1,betting
0.1,153,52,63,1,62,0.015873015873015872,0.15012106537530268,0.0016339869281045752,0.0,0.0,1,betting
0.15,153,63,86,9,77,0.10465116279069768,0.1864406779661017,0.010348583877995643,0.0,0.0,1,betting
0.2,153,69,95,11,84,0.11578947368421053,0.2033898305084746,0.023420479302832246,0.0,0.0,1,betting
0.05,153,23,27,0,27,0.0,0.06537530266343826,0.0,0.0,0.0,1,binary
0.1,153,23,27,0,27,0.0,0.06537530266343826,0.0,0.0,0.0,1,binary
0.15,153,24,29,1,28,0.034482758620689655,0.06779661016949153,0.0032679738562091504,0.0,0.0,1,binary
0.2,153,25,32,1,31,0.03125,0.07506053268765134,0.0032679738562091504,0.0,0.0,1,binary
0.05,153,82,114,13,101,0.11403508771929824,0.24455205811138014,0.027995642701525054,0.0,,1,pvalue_bh
0.1,153,108,180,40,140,0.2222222222222222,0.3389830508474576,0.08007314036725802,0.0,,1,pvalue_bh
0.15,153,117,229,63,166,0.27510917030567683,0.4019370460048426,0.10339246809835045,0.0,,1,pvalue_bh
0.2,153,122,257,82,175,0.31906614785992216,0.423728813559322,0.12989976617427595,0.0,,1,pvalue_bh
0.05,153,45,51,0,51,0.0,0.10019646365422397,0.0,0.0,0.0,2,betting
0.1,153,60,75,2,73,0.02666666666666667,0.14341846758349705,0.013071895424836602,0.0,0.0,2,betting
0.15,153,69,88,4,84,0.045454545454545456,0.1650294695481336,0.026143790849673203,0.0,0.0,2,betting
0.2,153,76,99,5,94,0.050505050505050504,0.18467583497053044,0.02832244008714597,0.0,0.0,2,betting
0.05,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,binary
0.1,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,binary
0.15,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,binary
0.2,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,binary
0.05,153,101,145,26,119,0.1793103448275862,0.2337917485265226,0.0724867724867725,0.0,,2,pvalue_bh
0.1,153,118,210,45,165,0.21428571428571427,0.3241650294695481,0.09793669101627579,0.0,,2,pvalue_bh
0.15,153,125,301,93,208,0.3089700996677741,0.4086444007858546,0.11793808338608923,0.0,,2,pvalue_bh
0.2,153,130,352,122,230,0.3465909090909091,0.4518664047151277,0.13056090800830886,0.0,,2,pvalue_bh
0.05,153,36,40,0,40,0.0,0.0894854586129754,0.0,0.0,0.0,3,betting
0.1,153,53,61,1,60,0.01639344262295082,0.1342281879194631,0.006535947712418301,0.0,0.0,3,betting
0.15,153,63,80,6,74,0.075,0.16554809843400448,0.016339869281045753,0.0,0.0,3,betting
0.2,153,70,92,8,84,0.08695652173913043,0.18791946308724833,0.02287581699346405,0.0,0.0,3,betting
0.05,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,binary
0.1,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,binary
0.15,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,binary
0.2,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,binary
0.05,153,89,142,18,124,0.1267605633802817,0.27740492170022374,0.03769063180827887,0.0,,3,pvalue_bh
0.1,153,111,200,41,159,0.205,0.35570469798657717,0.08082788671023966,0.0,,3,pvalue_bh
0.15,153,119,232,57,175,0.24568965517241378,0.39149888143176736,0.1114560639070443,0.0,,3,pvalue_bh
0.2,153,129,263,73,190,0.27756653992395436,0.4250559284116331,0.14707697893972405,0.0,,3,pvalue_bh
0.05,153,40,44,0,44,0.0,0.09381663113006397,0.0,0.0,0.0,4,betting
0.1,153,52,62,2,60,0.03225806451612903,0.1279317697228145,0.013071895424836602,0.0,0.0,4,betting
0.15,153,64,81,4,77,0.04938271604938271,0.16417910447761194,0.026143790849673203,0.0,0.0,4,betting
0.2,153,70,95,10,85,0.10526315789473684,0.1812366737739872,0.03594771241830065,0.0,0.0,4,betting
0.05,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,binary
0.1,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,binary
0.15,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,binary
0.2,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,binary
0.05,153,86,113,14,99,0.12389380530973451,0.21108742004264391,0.05555555555555555,0.0,,4,pvalue_bh
0.1,153,101,141,22,119,0.15602836879432624,0.2537313432835821,0.08605664488017428,0.0,,4,pvalue_bh
0.15,153,110,226,63,163,0.27876106194690264,0.34754797441364604,0.10874678154089917,0.0,,4,pvalue_bh
0.2,153,114,255,84,171,0.32941176470588235,0.3646055437100213,0.12777685945900602,0.0,,4,pvalue_bh
0.05,153,34,38,0,38,0.0,0.09523809523809523,0.0,0.0,0.0,5,betting
0.1,153,48,55,0,55,0.0,0.13784461152882205,0.0,0.0,0.0,5,betting
0.15,153,61,74,5,69,0.06756756756756757,0.17293233082706766,0.029411764705882353,0.0,0.0,5,betting
0.2,153,66,82,5,77,0.06097560975609756,0.19298245614035087,0.029411764705882353,0.0,0.0,5,betting
0.05,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,binary
0.1,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,binary
0.15,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,binary
0.2,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,binary
0.05,153,81,106,6,100,0.05660377358490566,0.2506265664160401,0.03594771241830065,0.0,,5,pvalue_bh
0.1,153,103,163,18,145,0.11042944785276074,0.3634085213032581,0.07157503524285531,0.0,,5,pvalue_bh
0.15,153,118,201,28,173,0.13930348258706468,0.43358395989974935,0.08791490452390105,0.0,,5,pvalue_bh
0.2,153,123,245,60,185,0.24489795918367346,0.46365914786967416,0.12471332759683393,0.0,,5,pvalue_bh
0.05,153,34,36,0,36,0.0,0.08591885441527446,0.0,0.0,0.0,6,betting
0.1,153,39,45,0,45,0.0,0.10739856801909307,0.0,0.0,0.0,6,betting
0.15,153,43,50,1,49,0.02,0.11694510739856802,0.006535947712418301,0.0,0.0,6,betting
0.2,153,53,65,3,62,0.046153846153846156,0.14797136038186157,0.016339869281045753,0.0,0.0,6,betting
0.05,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,binary
0.1,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,binary
0.15,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,binary
0.2,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,binary
