family_id,dataset,image_id,category_id,category_name,prompt,is_prompt_absent,num_candidates,num_rejected,fp,tp,fdp
coco:420:15:1257,coco,420,15,person,person,False,1,0,0,0,0.0
coco:420:1:1258,coco,420,1,aeroplane,aeroplane,True,3,0,0,0,0.0
coco:421:1:1262,coco,421,1,aeroplane,aeroplane,True,20,0,0,0,0.0
coco:421:3:1261,coco,421,3,bird,bird,True,1,0,0,0,0.0
coco:422:19:1263,coco,422,19,train,train,False,1,0,0,0,0.0
coco:423:15:1266,coco,423,15,person,person,False,4,0,0,0,0.0
coco:423:19:1268,coco,423,19,train,train,True,4,0,0,0,0.0
coco:424:5:1269,coco,424,5,bottle,bottle,False,7,0,0,0,0.0
coco:426:4:1277,coco,426,4,boat,boat,True,2,0,0,0,0.0
coco:426:5:1276,coco,426,5,bottle,bottle,True,22,0,0,0,0.0
coco:427:10:1280,coco,427,10,cow,cow,True,2,0,0,0,0.0
coco:427:15:1278,coco,427,15,person,person,False,5,0,0,0,0.0
coco:428:20:1283,coco,428,20,tvmonitor,tvmonitor,True,27,0,0,0,0.0
coco:429:15:1284,coco,429,15,person,person,False,10,0,0,0,0.0
coco:429:1:1286,coco,429,1,aeroplane,aeroplane,True,11,0,0,0,0.0
coco:430:15:1287,coco,430,15,person,person,False,5,0,0,0,0.0
coco:430:20:1289,coco,430,20,tvmonitor,tvmonitor,True,13,0,0,0,0.0
coco:431:17:1291,coco,431,17,sheep,sheep,True,7,0,0,0,0.0
coco:432:14:1295,coco,432,14,motorbike,motorbike,True,9,0,0,0,0.0
coco:432:16:1293,coco,432,16,pottedplant,pottedplant,False,49,0,0,0,0.0
coco:433:1:1298,coco,433,1,aeroplane,aeroplane,True,16,0,0,0,0.0
coco:434:15:1299,coco,434,15,person,person,False,3,0,0,0,0.0
coco:434:2:1301,coco,434,2,bicycle,bicycle,True,1,0,0,0,0.0
coco:435:14:1304,coco,435,14,motorbike,motorbike,True,2,0,0,0,0.0
coco:436:12:1305,coco,436,12,dog,dog,False,2,0,0,0,0.0
coco:436:20:1306,coco,436,20,tvmonitor,tvmonitor,True,5,0,0,0,0.0
coco:437:15:1308,coco,437,15,person,person,False,40,0,0,0,0.0
coco:437:6:1310,coco,437,6,bus,bus,True,2,0,0,0,0.0
coco:438:14:1313,coco,438,14,motorbike,motorbike,True,7,0,0,0,0.0
coco:438:7:1311,coco,438,7,car,car,False,23,0,0,0,0.0
coco:439:13:1314,coco,439,13,horse,horse,False,1,0,0,0,0.0
coco:439:14:1316,coco,439,14,motorbike,motorbike,True,1,0,0,0,0.0
coco:439:20:1315,coco,439,20,tvmonitor,tvmonitor,True,4,0,0,0,0.0
coco:43:1:128,coco,43,1,aeroplane,aeroplane,True,39,0,0,0,0.0
coco:440:1:1319,coco,440,1,aeroplane,aeroplane,True,29,0,0,0,0.0
coco:440:3:1318,coco,440,3,bird,bird,True,21,0,0,0,0.0
coco:441:13:1322,coco,441,13,horse,horse,True,52,0,0,0,0.0
coco:441:15:1320,coco,441,15,person,person,False,202,0,0,0,0.0
coco:442:9:1323,coco,442,9,chair,chair,False,5,0,0,0,0.0
coco:443:10:1328,coco,443,10,cow,cow,True,4,0,0,0,0.0
coco:444:15:1329,coco,444,15,person,person,False,6,0,0,0,0.0
