seed,score_floor,n_tp_surviving,n_tp_reachable,n_tp_rejected,n_total_rejected,recall_ceiling,recall_actual,fdp,efficiency,total_tp_all
0,0.0,715,108,129,133,0.15104895104895105,0.18041958041958042,0.03007518796992481,1.1944444444444444,715
0,0.05,715,108,129,133,0.15104895104895105,0.18041958041958042,0.03007518796992481,1.1944444444444444,715
0,0.1,565,134,158,167,0.1874125874125874,0.22097902097902097,0.05389221556886228,1.1791044776119404,715
0,0.15,487,150,180,192,0.2097902097902098,0.2517482517482518,0.0625,1.2000000000000002,715
0,0.2,439,155,186,198,0.21678321678321677,0.2601398601398601,0.06060606060606061,1.2,715
0,0.25,403,163,193,207,0.22797202797202798,0.2699300699300699,0.06763285024154589,1.184049079754601,715
0,0.3,371,172,211,230,0.24055944055944056,0.2951048951048951,0.08260869565217391,1.2267441860465118,715
0,0.35,333,174,233,261,0.24335664335664337,0.3258741258741259,0.10727969348659004,1.339080459770115,715
0,0.4,292,176,240,271,0.24615384615384617,0.3356643356643357,0.11439114391143912,1.3636363636363635,715
0,0.5,225,181,225,252,0.25314685314685315,0.3146853146853147,0.10714285714285714,1.2430939226519337,715
1,0.0,660,105,149,155,0.1590909090909091,0.22575757575757577,0.03870967741935484,1.4190476190476191,660
1,0.05,660,105,149,155,0.1590909090909091,0.22575757575757577,0.03870967741935484,1.4190476190476191,660
1,0.1,536,130,187,196,0.19696969696969696,0.2833333333333333,0.04591836734693878,1.4384615384615385,660
1,0.15,462,150,200,209,0.22727272727272727,0.30303030303030304,0.0430622009569378,1.3333333333333335,660
1,0.2,429,163,218,229,0.24696969696969698,0.3303030303030303,0.048034934497816595,1.3374233128834356,660
1,0.25,407,168,220,232,0.2545454545454545,0.3333333333333333,0.05172413793103448,1.3095238095238095,660
1,0.3,372,177,233,245,0.2681818181818182,0.353030303030303,0.04897959183673469,1.3163841807909604,660
1,0.35,337,187,240,257,0.2833333333333333,0.36363636363636365,0.06614785992217899,1.2834224598930482,660
1,0.4,308,188,241,258,0.28484848484848485,0.36515151515151517,0.06589147286821706,1.2819148936170213,660
1,0.5,249,200,243,260,0.30303030303030304,0.36818181818181817,0.06538461538461539,1.2149999999999999,660
2,0.0,672,93,107,118,0.13839285714285715,0.15922619047619047,0.09322033898305085,1.150537634408602,672
2,0.05,672,93,107,118,0.13839285714285715,0.15922619047619047,0.09322033898305085,1.150537634408602,672
2,0.1,546,115,136,149,0.17113095238095238,0.20238095238095238,0.087248322147651,1.182608695652174,672
2,0.15,461,132,156,173,0.19642857142857142,0.23214285714285715,0.09826589595375723,1.1818181818181819,672
2,0.2,425,144,179,199,0.21428571428571427,0.2663690476190476,0.10050251256281408,1.2430555555555556,672
2,0.25,386,154,195,219,0.22916666666666666,0.29017857142857145,0.1095890410958904,1.2662337662337664,672
2,0.3,350,158,206,232,0.23511904761904762,0.30654761904761907,0.11206896551724138,1.3037974683544304,672
2,0.35,311,160,210,237,0.23809523809523808,0.3125,0.11392405063291139,1.3125,672
2,0.4,269,173,223,261,0.25744047619047616,0.3318452380952381,0.14559386973180077,1.2890173410404626,672
2,0.5,214,165,214,247,0.24553571428571427,0.31845238095238093,0.13360323886639677,1.2969696969696969,672
3,0.0,609,125,136,140,0.20525451559934318,0.2233169129720854,0.02857142857142857,1.088,609
3,0.05,609,125,136,140,0.20525451559934318,0.2233169129720854,0.02857142857142857,1.088,609
3,0.1,486,135,160,170,0.22167487684729065,0.2627257799671593,0.058823529411764705,1.1851851851851851,609
3,0.15,417,145,169,182,0.23809523809523808,0.277504105090312,0.07142857142857142,1.1655172413793105,609
3,0.2,385,153,182,197,0.2512315270935961,0.2988505747126437,0.07614213197969544,1.1895424836601307,609
3,0.25,347,160,190,208,0.2627257799671593,0.31198686371100165,0.08653846153846154,1.1875,609
3,0.3,319,175,206,225,0.28735632183908044,0.33825944170771755,0.08444444444444445,1.177142857142857,609
3,0.35,297,178,211,237,0.2922824302134647,0.3464696223316913,0.10970464135021098,1.1853932584269664,609
3,0.4,266,179,223,256,0.2939244663382594,0.36617405582922824,0.12890625,1.245810055865922,609
3,0.5,213,179,213,237,0.2939244663382594,0.3497536945812808,0.10126582278481013,1.1899441340782124,609
4,0.0,647,96,113,118,0.14837712519319937,0.17465224111282843,0.0423728813559322,1.1770833333333333,647
4,0.05,647,96,113,118,0.14837712519319937,0.17465224111282843,0.0423728813559322,1.1770833333333333,647
4,0.1,520,129,142,150,0.19938176197836166,0.21947449768160743,0.05333333333333334,1.1007751937984498,647
4,0.15,442,146,152,160,0.22565687789799072,0.23493044822256567,0.05,1.0410958904109588,647
4,0.2,407,151,162,171,0.23338485316846985,0.250386398763524,0.05263157894736842,1.0728476821192054,647
4,0.25,375,161,177,186,0.24884080370942813,0.2735703245749614,0.04838709677419355,1.0993788819875778,647
4,0.3,345,166,186,196,0.25656877897990726,0.2874806800618238,0.05102040816326531,1.1204819277108433,647
4,0.35,305,173,197,214,0.26738794435857804,0.3044822256568779,0.0794392523364486,1.138728323699422,647
4,0.4,273,178,209,237,0.2751159196290572,0.3230293663060278,0.11814345991561181,1.1741573033707864,647
4,0.5,207,172,207,231,0.26584234930448225,0.31993817619783615,0.1038961038961039,1.2034883720930232,647
5,0.0,718,109,141,147,0.15181058495821728,0.19637883008356546,0.04081632653061224,1.2935779816513762,718
5,0.05,718,109,141,147,0.15181058495821728,0.19637883008356546,0.04081632653061224,1.2935779816513762,718
5,0.1,578,142,177,187,0.1977715877437326,0.24651810584958217,0.053475935828877004,1.2464788732394365,718
5,0.15,486,159,191,207,0.2214484679665738,0.266016713091922,0.07729468599033816,1.20125786163522,718
5,0.2,448,165,199,218,0.2298050139275766,0.27715877437325903,0.0871559633027523,1.206060606060606,718
5,0.25,420,173,211,230,0.24094707520891365,0.2938718662952646,0.08260869565217391,1.2196531791907514,718
5,0.3,379,177,226,249,0.24651810584958217,0.3147632311977716,0.09236947791164658,1.2768361581920904,718
5,0.35,334,188,235,263,0.2618384401114206,0.32729805013927576,0.10646387832699619,1.25,718
5,0.4,294,198,253,286,0.2757660167130919,0.35236768802228413,0.11538461538461539,1.277777777777778,718
5,0.5,234,191,234,260,0.266016713091922,0.32590529247910865,0.1,1.225130890052356,718
6,0.0,704,133,182,187,0.18892045454545456,0.2585227272727273,0.026737967914438502,1.368421052631579,704
6,0.05,704,133,182,187,0.18892045454545456,0.2585227272727273,0.026737967914438502,1.368421052631579,704
6,0.1,578,175,214,224,0.24857954545454544,0.3039772727272727,0.044642857142857144,1.2228571428571429,704
6,0.15,509,187,233,248,0.265625,0.3309659090909091,0.06048387096774194,1.2459893048128343,704
6,0.2,469,201,243,260,0.28551136363636365,0.34517045454545453,0.06538461538461539,1.208955223880597,704
6,0.25,436,205,261,302,0.2911931818181818,0.37073863636363635,0.1357615894039735,1.273170731707317,704
6,0.3,402,218,271,314,0.3096590909090909,0.3849431818181818,0.13694267515923567,1.243119266055046,704
6,0.35,370,224,284,330,0.3181818181818182,0.4034090909090909,0.1393939393939394,1.2678571428571428,704
6,0.4,337,227,294,345,0.3224431818181818,0.41761363636363635,0.14782608695652175,1.2951541850220263,704
6,0.5,282,231,282,328,0.328125,0.4005681818181818,0.1402439024390244,1.2207792207792207,704
7,0.0,635,106,133,136,0.16692913385826771,0.2094488188976378,0.022058823529411766,1.2547169811320755,635
7,0.05,635,106,133,136,0.16692913385826771,0.2094488188976378,0.022058823529411766,1.2547169811320755,635
7,0.1,526,136,164,176,0.2141732283464567,0.25826771653543307,0.06818181818181818,1.2058823529411764,635
7,0.15,457,151,180,194,0.2377952755905512,0.28346456692913385,0.07216494845360824,1.1920529801324502,635
7,0.2,423,158,188,204,0.24881889763779527,0.29606299212598425,0.0784313725490196,1.1898734177215189,635
7,0.25,385,168,193,209,0.26456692913385826,0.30393700787401573,0.07655502392344497,1.1488095238095237,635
7,0.3,348,172,202,219,0.27086614173228346,0.31811023622047246,0.0776255707762557,1.1744186046511629,635
7,0.35,316,178,208,228,0.2803149606299213,0.32755905511811023,0.08771929824561403,1.1685393258426966,635
7,0.4,281,185,225,254,0.29133858267716534,0.3543307086614173,0.1141732283464567,1.2162162162162162,635
7,0.5,220,184,220,245,0.28976377952755905,0.3464566929133858,0.10204081632653061,1.1956521739130435,635
8,0.0,704,108,124,125,0.1534090909090909,0.17613636363636365,0.008,1.1481481481481481,704
8,0.05,704,108,124,125,0.1534090909090909,0.17613636363636365,0.008,1.1481481481481481,704
8,0.1,570,130,145,149,0.1846590909090909,0.2059659090909091,0.026845637583892617,1.1153846153846154,704
8,0.15,489,149,158,162,0.21164772727272727,0.22443181818181818,0.024691358024691357,1.0604026845637584,704
8,0.2,434,161,171,177,0.22869318181818182,0.24289772727272727,0.03389830508474576,1.062111801242236,704
8,0.25,397,171,180,187,0.24289772727272727,0.2556818181818182,0.0374331550802139,1.0526315789473684,704
8,0.3,361,175,186,194,0.24857954545454544,0.26420454545454547,0.041237113402061855,1.062857142857143,704
8,0.35,321,179,201,216,0.25426136363636365,0.28551136363636365,0.06944444444444445,1.1229050279329609,704
8,0.4,281,187,208,226,0.265625,0.29545454545454547,0.07964601769911504,1.1122994652406417,704
