method,alpha,total_rejections,fdp,recall
betting,0.05,16.4,0.15829195314489433,0.017672682258579507
betting,0.1,37.0,0.1766257082575868,0.03914094766382943
betting,0.15,70.0,0.23193383869449785,0.0688385397122053
betting,0.2,91.8,0.26493898854768416,0.08685486758135577
binary,0.05,0.0,0.0,0.0
binary,0.1,0.0,0.0,0.0
binary,0.15,0.0,0.0,0.0
binary,0.2,0.0,0.0,0.0
