alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum
0.2,57,13,21,0,21,0.0,0.030434782608695653,0.0,0.0,0,4,betting,K>30
0.2,24,1,1,0,1,0.0,0.06666666666666667,0.0,0.0,0,4,betting,K<=5
0.05,97,11,13,0,13,0.0,0.022887323943661973,0.0,0.0,0,5,betting,5<K<=30
0.05,56,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K>30
0.05,28,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K<=5
0.1,97,26,30,0,30,0.0,0.0528169014084507,0.0,0.0,0,5,betting,5<K<=30
0.1,56,2,6,0,6,0.0,0.007272727272727273,0.0,0.0,0,5,betting,K>30
0.1,28,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K<=5
0.15,97,30,34,0,34,0.0,0.05985915492957746,0.0,0.0,0,5,betting,5<K<=30
0.15,56,9,15,0,15,0.0,0.01818181818181818,0.0,0.0,0,5,betting,K>30
0.15,28,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K<=5
0.2,97,30,34,0,34,0.0,0.05985915492957746,0.0,0.0,0,5,betting,5<K<=30
0.2,56,11,22,0,22,0.0,0.02666666666666667,0.0,0.0,0,5,betting,K>30
0.2,28,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K<=5
0.05,63,12,20,0,20,0.0,0.02066115702479339,0.0,0.0,0,6,betting,K>30
0.05,100,23,24,0,24,0.0,0.0427807486631016,0.0,0.0,0,6,betting,5<K<=30
0.05,18,0,0,0,0,0.0,0.0,0.0,0.0,0,6,betting,K<=5
0.1,63,13,21,0,21,0.0,0.02169421487603306,0.0,0.0,0,6,betting,K>30
0.1,100,23,24,0,24,0.0,0.0427807486631016,0.0,0.0,0,6,betting,5<K<=30
0.1,18,0,0,0,0,0.0,0.0,0.0,0.0,0,6,betting,K<=5
0.15,63,13,21,0,21,0.0,0.02169421487603306,0.0,0.0,0,6,betting,K>30
0.15,100,23,24,0,24,0.0,0.0427807486631016,0.0,0.0,0,6,betting,5<K<=30
0.15,18,0,0,0,0,0.0,0.0,0.0,0.0,0,6,betting,K<=5
0.2,63,13,21,0,21,0.0,0.02169421487603306,0.0,0.0,0,6,betting,K>30
0.2,100,23,24,0,24,0.0,0.0427807486631016,0.0,0.0,0,6,betting,5<K<=30
0.2,18,0,0,0,0,0.0,0.0,0.0,0.0,0,6,betting,K<=5
