method,alpha,total_rejections,fdp,recall
betting,0.05,28.25,0.0029411764705882353,0.019914790152407283
betting,0.1,52.9,0.00125,0.0372994560466947
betting,0.15,64.3,0.0019904604659695467,0.04546872952701521
betting,0.2,68.9,0.002500390686044694,0.048714994945772874
binary,0.05,0.0,0.0,0.0
binary,0.1,0.0,0.0,0.0
binary,0.15,0.0,0.0,0.0
binary,0.2,0.1,0.1,0.0
pvalue_bh,0.05,147.85,0.08290882536920458,0.09430941165024669
pvalue_bh,0.1,237.75,0.22025204876617446,0.1222154837144904
pvalue_bh,0.15,351.95,0.37047573632355857,0.1413486968674057
pvalue_bh,0.2,411.05,0.40387534553561044,0.15553338518598217
