alpha,n_seeds,compression_ratio_mean,mean_cluster_size_mean,max_cluster_size_max,nms_fdp_pooled_mean,nms_fdp_pooled_std,nms_family_fdp_mean,nms_rej_mean,nms_recall_cluster_mean,nms_recall_members_mean,nms_recall_object_mean,base_fdp_pooled_mean,base_family_fdp_mean,base_rej_mean,base_recall_mean,base_recall_object_mean,rej_ratio_nms_over_base,recall_ratio_nms_members_over_base,recall_ratio_object
0.05,20,0.46250305349989135,2.167761256119442,137,0.022180491859572174,0.011871348476948616,0.0034554107179805504,99.55,0.14156637187673657,0.1778526397727793,0.274372095243537,0.02741385459262589,0.004217877094972067,104.0,0.14716825097091843,0.27244167877993103,0.9572,1.2085,1.0071
0.1,20,0.46250305349989135,2.167761256119442,137,0.034021284981039845,0.01827753868822406,0.005885249139439083,123.75,0.1736462058827958,0.23497834199631096,0.3368730621248806,0.039629685549485434,0.0064841763864110225,134.0,0.1870700239336989,0.34100440234384377,0.9235,1.2561,0.9879
0.15,20,0.46250305349989135,2.167761256119442,137,0.045631422404406694,0.018386268861722618,0.008929941876869251,136.25,0.18888648356663457,0.26841317400383846,0.366219452302564,0.050699711896335084,0.00948146773565768,152.45,0.21017981944608805,0.37964376143751,0.8937,1.2771,0.9646
0.2,20,0.46250305349989135,2.167761256119442,137,0.05133588216128743,0.017910412532355938,0.01085266068506292,147.55,0.2033713524229218,0.30500567871600653,0.39421031788472316,0.059829906010127776,0.012492396389044433,166.85,0.22774421557704785,0.4073648444245004,0.8843,1.3392,0.9677
