alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,stratum
0.05,128,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.05,387,0,0,0,0,0.0,0.0,0.0,0,betting,5<K<=30
0.05,78,20,24,5,19,0.20833333333333334,0.2638888888888889,0.0641025641025641,0,betting,K<=5
0.1,128,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.1,387,2,5,0,5,0.0,0.014285714285714285,0.0,0,betting,5<K<=30
0.1,78,38,45,10,35,0.2222222222222222,0.4861111111111111,0.1282051282051282,0,betting,K<=5
0.15,128,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.15,387,4,12,2,10,0.16666666666666666,0.02857142857142857,0.002583979328165375,0,betting,5<K<=30
0.15,78,48,56,13,43,0.23214285714285715,0.5972222222222222,0.16666666666666666,0,betting,K<=5
0.2,128,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.2,387,24,32,11,21,0.34375,0.06,0.025839793281653745,0,betting,5<K<=30
0.2,78,50,60,15,45,0.25,0.625,0.1794871794871795,0,betting,K<=5
0.05,383,0,0,0,0,0.0,0.0,0.0,1,betting,5<K<=30
0.05,81,12,16,1,15,0.0625,0.234375,0.012345679012345678,1,betting,K<=5
0.05,129,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.1,383,0,0,0,0,0.0,0.0,0.0,1,betting,5<K<=30
0.1,81,21,26,4,22,0.15384615384615385,0.34375,0.04938271604938271,1,betting,K<=5
0.1,129,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.15,383,5,13,2,11,0.15384615384615385,0.03618421052631579,0.0026109660574412533,1,betting,5<K<=30
0.15,81,42,47,14,33,0.2978723404255319,0.515625,0.1728395061728395,1,betting,K<=5
0.15,129,2,30,0,30,0.0,0.075,0.0,1,betting,K>30
0.2,383,9,21,2,19,0.09523809523809523,0.0625,0.0026109660574412533,1,betting,5<K<=30
0.2,81,48,53,17,36,0.32075471698113206,0.5625,0.20987654320987653,1,betting,K<=5
0.2,129,2,30,0,30,0.0,0.075,0.0,1,betting,K>30
0.05,391,0,0,0,0,0.0,0.0,0.0,2,betting,5<K<=30
0.05,72,16,17,3,14,0.17647058823529413,0.22950819672131148,0.041666666666666664,2,betting,K<=5
0.05,130,0,0,0,0,0.0,0.0,0.0,2,betting,K>30
0.1,391,1,3,0,3,0.0,0.012145748987854251,0.0,2,betting,5<K<=30
0.1,72,26,31,8,23,0.25806451612903225,0.3770491803278688,0.09722222222222222,2,betting,K<=5
0.1,130,0,0,0,0,0.0,0.0,0.0,2,betting,K>30
0.15,391,6,13,3,10,0.23076923076923078,0.04048582995951417,0.0038363171355498722,2,betting,5<K<=30
0.15,72,42,47,19,28,0.40425531914893614,0.45901639344262296,0.25,2,betting,K<=5
0.15,130,1,9,0,9,0.0,0.015873015873015872,0.0,2,betting,K>30
0.2,391,6,13,3,10,0.23076923076923078,0.04048582995951417,0.0038363171355498722,2,betting,5<K<=30
0.2,72,50,56,23,33,0.4107142857142857,0.5409836065573771,0.2986111111111111,2,betting,K<=5
0.2,130,1,9,0,9,0.0,0.015873015873015872,0.0,2,betting,K>30
0.05,377,0,0,0,0,0.0,0.0,0.0,3,betting,5<K<=30
0.05,132,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.05,84,12,16,1,15,0.0625,0.16853932584269662,0.011904761904761904,3,betting,K<=5
0.1,377,0,0,0,0,0.0,0.0,0.0,3,betting,5<K<=30
0.1,132,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.1,84,36,44,3,41,0.06818181818181818,0.4606741573033708,0.03571428571428571,3,betting,K<=5
0.15,377,5,14,7,7,0.5,0.01971830985915493,0.007073386383731211,3,betting,5<K<=30
0.15,132,1,9,0,9,0.0,0.022332506203473945,0.0,3,betting,K>30
0.15,84,48,57,10,47,0.17543859649122806,0.5280898876404494,0.11904761904761904,3,betting,K<=5
0.2,377,18,36,17,19,0.4722222222222222,0.05352112676056338,0.02033598585322723,3,betting,5<K<=30
0.2,132,1,9,0,9,0.0,0.022332506203473945,0.0,3,betting,K>30
0.2,84,55,64,13,51,0.203125,0.5730337078651685,0.15476190476190477,3,betting,K<=5
0.05,386,0,0,0,0,0.0,0.0,0.0,4,betting,5<K<=30
0.05,83,11,11,3,8,0.2727272727272727,0.1095890410958904,0.03614457831325301,4,betting,K<=5
0.05,124,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.1,386,0,0,0,0,0.0,0.0,0.0,4,betting,5<K<=30
0.1,83,24,31,7,24,0.22580645161290322,0.3287671232876712,0.07228915662650602,4,betting,K<=5
0.1,124,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.15,386,1,4,0,4,0.0,0.009852216748768473,0.0,4,betting,5<K<=30
0.15,83,33,40,10,30,0.25,0.410958904109589,0.10843373493975904,4,betting,K<=5
0.15,124,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.2,386,7,19,2,17,0.10526315789473684,0.04187192118226601,0.0025906735751295338,4,betting,5<K<=30
0.2,83,49,56,17,39,0.30357142857142855,0.5342465753424658,0.1927710843373494,4,betting,K<=5
0.2,124,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
