bin,left,right,null_count,tp_count,p0,p1,raw_phi,phi
0,0.050002247095108,0.050615526596084155,81,3,0.015036198255058475,0.0023603461841070024,0.15697759128128916,0.15697759128128916
1,0.050615526596084155,0.05114004109054795,77,6,0.014293669946166697,0.004720692368214005,0.33026454269569927,0.33026454269569927
2,0.05114004109054795,0.05169571256265039,78,5,0.014479302023389642,0.003933910306845004,0.2716919849099235,0.2716919849099235
3,0.05169571256265039,0.05224276036024093,78,5,0.014479302023389642,0.003933910306845004,0.2716919849099235,0.2716919849099235
4,0.05224276036024093,0.052824137965217226,82,2,0.015221830332281418,0.0015735641227380016,0.10337548694133676,0.10337548694133676
5,0.052824137965217226,0.053366548940539285,79,4,0.014664934100612585,0.003147128245476003,0.21460227668834467,0.21460227668834467
6,0.053366548940539285,0.053990278160199454,81,2,0.015036198255058475,0.0015735641227380016,0.10465172752085944,0.10465172752085944
7,0.053990278160199454,0.05450524389743798,74,9,0.013736773714497864,0.007081038552321007,0.5154804686669361,0.5154804686669361
8,0.05450524389743798,0.05514450101181862,76,7,0.014108037868943754,0.0055074744295830055,0.39037848358110067,0.39037848358110067
9,0.05514450101181862,0.05578899430111044,77,7,0.014293669946166697,0.0055074744295830055,0.3853086331449825,0.3853086331449825
10,0.05578899430111044,0.05656187576241789,75,8,0.01392240579172081,0.006294256490952006,0.45209546289011276,0.45209546289011276
11,0.05656187576241789,0.0572242813184857,77,6,0.014293669946166697,0.004720692368214005,0.33026454269569927,0.33026454269569927
12,0.0572242813184857,0.057798782922327444,81,2,0.015036198255058475,0.0015735641227380016,0.10465172752085944,0.10465172752085944
13,0.057798782922327444,0.05850544050335881,77,6,0.014293669946166697,0.004720692368214005,0.33026454269569927,0.33026454269569927
14,0.05850544050335881,0.05930917966179543,78,6,0.014479302023389642,0.004720692368214005,0.32603038189190825,0.32603038189190825
15,0.05930917966179543,0.06016709357500072,82,1,0.015221830332281418,0.0007867820613690008,0.05168774347066838,0.05168774347066838
16,0.06016709357500072,0.060807421663776035,77,6,0.014293669946166697,0.004720692368214005,0.33026454269569927,0.33026454269569927
17,0.060807421663776035,0.06172868860885494,77,6,0.014293669946166697,0.004720692368214005,0.33026454269569927,0.33026454269569927
18,0.06172868860885494,0.06250359145924445,80,4,0.01485056617783553,0.003147128245476003,0.21191974822974036,0.21191974822974036
19,0.06250359145924445,0.06338163465261452,78,5,0.014479302023389642,0.003933910306845004,0.2716919849099235,0.2716919849099235
20,0.06338163465261452,0.06415497018024321,77,6,0.014293669946166697,0.004720692368214005,0.33026454269569927,0.33026454269569927
21,0.06415497018024321,0.06509012710303064,78,5,0.014479302023389642,0.003933910306845004,0.2716919849099235,0.2716919849099235
22,0.06509012710303064,0.06613216213881962,76,7,0.014108037868943754,0.0055074744295830055,0.39037848358110067,0.39037848358110067
23,0.06613216213881962,0.06699911504983898,78,6,0.014479302023389642,0.004720692368214005,0.32603038189190825,0.32603038189190825
24,0.06699911504983898,0.06796984560787675,79,4,0.014664934100612585,0.003147128245476003,0.21460227668834467,0.21460227668834467
25,0.06796984560787675,0.06898851189762352,80,3,0.01485056617783553,0.0023603461841070024,0.15893981117230527,0.15893981117230527
26,0.06898851189762352,0.07008298728615041,77,6,0.014293669946166697,0.004720692368214005,0.33026454269569927,0.33026454269569927
27,0.07008298728615041,0.07118173353374001,78,5,0.014479302023389642,0.003933910306845004,0.2716919849099235,0.2716919849099235
28,0.07118173353374001,0.07227261234074828,79,5,0.014664934100612585,0.003933910306845004,0.26825284586043086,0.26825284586043086
29,0.07227261234074828,0.07370817288756369,74,9,0.013736773714497864,0.007081038552321007,0.5154804686669361,0.5154804686669361
30,0.07370817288756369,0.07519072359427804,76,7,0.014108037868943754,0.0055074744295830055,0.39037848358110067,0.39037848358110067
31,0.07519072359427804,0.07645054906606669,78,5,0.014479302023389642,0.003933910306845004,0.2716919849099235,0.2716919849099235
32,0.07645054906606669,0.07793610328808427,77,7,0.014293669946166697,0.0055074744295830055,0.3853086331449825,0.3853086331449825
33,0.07793610328808427,0.07932593356817953,80,3,0.01485056617783553,0.0023603461841070024,0.15893981117230527,0.15893981117230527
34,0.07932593356817953,0.08071320131421084,72,11,0.013365509560051976,0.00865460267505901,0.6475325640353179,0.6475325640353179
35,0.08071320131421084,0.08218778893351547,74,9,0.013736773714497864,0.007081038552321007,0.5154804686669361,0.5154804686669361
36,0.08218778893351547,0.08402331126853821,79,4,0.014664934100612585,0.003147128245476003,0.21460227668834467,0.21460227668834467
37,0.08402331126853821,0.08602341264486306,75,9,0.01392240579172081,0.007081038552321007,0.5086073957513769,0.5086073957513769
38,0.08602341264486306,0.08796323677524921,76,7,0.014108037868943754,0.0055074744295830055,0.39037848358110067,0.39037848358110067
39,0.08796323677524921,0.0897484272718429,81,2,0.015036198255058475,0.0015735641227380016,0.10465172752085944,0.10465172752085944
40,0.0897484272718429,0.09169389661401509,72,11,0.013365509560051976,0.00865460267505901,0.6475325640353179,0.6475325640353179
41,0.09169389661401509,0.09404797721654175,73,10,0.013551141637274921,0.007867820613690008,0.5806020499444942,0.5806020499444942
42,0.09404797721654175,0.09631947278976431,77,7,0.014293669946166697,0.0055074744295830055,0.3853086331449825,0.3853086331449825
43,0.09631947278976431,0.09845665022730823,74,9,0.013736773714497864,0.007081038552321007,0.5154804686669361,0.5154804686669361
44,0.09845665022730823,0.10094462754204869,76,7,0.014108037868943754,0.0055074744295830055,0.39037848358110067,0.39037848358110067
45,0.10094462754204869,0.10390958134084953,72,11,0.013365509560051976,0.00865460267505901,0.6475325640353179,0.6475325640353179
46,0.10390958134084953,0.10674137026071544,78,5,0.014479302023389642,0.003933910306845004,0.2716919849099235,0.2716919849099235
47,0.10674137026071544,0.10985500663518905,73,11,0.013551141637274921,0.00865460267505901,0.6386622549389436,0.6386622549389436
48,0.10985500663518905,0.11342586949467658,77,6,0.014293669946166697,0.004720692368214005,0.33026454269569927,0.33026454269569927
49,0.11342586949467658,0.11660428345203395,74,9,0.013736773714497864,0.007081038552321007,0.5154804686669361,0.5154804686669361
50,0.11660428345203395,0.12051481176167729,65,18,0.012066085019491368,0.014162077104642014,1.1737093748108698,1.1737093748108698
51,0.12051481176167729,0.12479441463947291,72,12,0.013365509560051976,0.00944138473642801,0.7063991607658012,0.7063991607658012
52,0.12479441463947291,0.12914671674370765,76,7,0.014108037868943754,0.0055074744295830055,0.39037848358110067,0.39037848358110067
53,0.12914671674370765,0.13393716886639592,73,10,0.013551141637274921,0.007867820613690008,0.5806020499444942,0.5806020499444942
54,0.13393716886639592,0.14058162737637753,71,12,0.013179877482829033,0.00944138473642801,0.7163484447202491,0.7163484447202491
55,0.14058162737637753,0.14704409390687948,67,16,0.012437349173937256,0.012588512981904013,1.012154021395775,1.012154021395775
56,0.14704409390687948,0.1530564028769731,71,13,0.013179877482829033,0.010228166797797011,0.7760441484469366,0.7760441484469366
57,0.1530564028769731,0.16015560626983644,74,9,0.013736773714497864,0.007081038552321007,0.5154804686669361,0.5154804686669361
58,0.16015560626983644,0.1685716137290001,72,11,0.013365509560051976,0.00865460267505901,0.6475325640353179,0.6475325640353179
59,0.1685716137290001,0.17926910519599915,72,11,0.013365509560051976,0.00865460267505901,0.6475325640353179,0.6475325640353179
60,0.17926910519599915,0.187760461308062,69,14,0.012808613328383145,0.011014948859166011,0.8599641957148884,0.8599641957148884
61,0.187760461308062,0.19988195747137072,66,18,0.012251717096714312,0.014162077104642014,1.1559258994349475,1.1559258994349475
62,0.19988195747137072,0.21074765436351303,74,9,0.013736773714497864,0.007081038552321007,0.5154804686669361,0.5154804686669361
63,0.21074765436351303,0.22237263023853307,61,22,0.011323556710599592,0.01730920535011802,1.5286014626407503,1.5286014626407503
64,0.22237263023853307,0.23783476464450354,57,26,0.010581028401707816,0.020456333595594022,1.9333029663064034,1.9333029663064034
65,0.23783476464450354,0.2581959918141367,57,27,0.010581028401707816,0.021243115656963022,2.0076607727028035,2.0076607727028035
66,0.2581959918141367,0.27956213317811485,63,20,0.01169482086504548,0.015735641227380016,1.3455222109824785,1.3455222109824785
67,0.27956213317811485,0.3002817034721374,55,28,0.010209764247261928,0.022029897718332022,2.157728345611902,2.157728345611902
68,0.3002817034721374,0.33007277399301543,45,38,0.008353443475032486,0.02989771833202203,3.5790890812133926,3.5790890812133926
69,0.33007277399301543,0.35877547413110733,49,34,0.009095971783924262,0.02675059008654603,2.9409271182902748,2.9409271182902748
70,0.35877547413110733,0.3927652783691885,39,45,0.007239651011694821,0.03540519276160504,4.890455728378624,4.890455728378624
71,0.3927652783691885,0.42823699414730076,47,36,0.008724707629478374,0.02832415420928403,3.2464301856470863,3.2464301856470863
72,0.42823699414730076,0.4793813794851305,32,51,0.005940226471134212,0.04012588512981904,6.754941974822973,6.754941974822973
73,0.4793813794851305,0.5290200322866441,33,50,0.006125858548357156,0.03933910306845004,6.421810552416375,6.421810552416375
74,0.5290200322866441,0.585200909525156,16,67,0.002970113235567106,0.05271439811172305,17.748278914240753,17.748278914240753
75,0.585200909525156,0.6487288802862168,22,62,0.0040839056989047705,0.04878048780487805,11.944567627494457,11.944567627494457
76,0.6487288802862168,0.7103529050946237,17,66,0.00315574531279005,0.05192761605035405,16.45494515666219,16.45494515666219
77,0.7103529050946237,0.776843617856503,6,77,0.0011137924633376648,0.06058221872541306,54.39273537896669,54.39273537896669
78,0.776843617856503,0.8673013247549539,11,72,0.0020419528494523853,0.05664830841856806,27.74222158643874,27.74222158643874
79,0.8673013247549539,0.9507002234458924,0,84,0.0,0.06608969315499606,inf,1000000.0
