alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,cal_null_size,n_cal
0.05,251,42,53,0,53,0.0,0.12529550827423167,0.0,0.3,1059,0,betting,all,935
0.1,251,60,74,1,73,0.013513513513513514,0.17257683215130024,0.00199203187250996,0.3,1059,0,betting,all,935
0.15,251,75,99,7,92,0.0707070707070707,0.21749408983451538,0.013944223107569721,0.3,1059,0,betting,all,935
0.2,251,86,125,13,112,0.104,0.2647754137115839,0.02257636122177955,0.3,1059,0,betting,all,935
0.05,251,47,56,2,54,0.03571428571428571,0.11946902654867257,0.0015936254980079682,0.3,1279,1,betting,all,1011
0.1,251,49,58,2,56,0.034482758620689655,0.12389380530973451,0.0015936254980079682,0.3,1279,1,betting,all,1011
0.15,251,68,100,16,84,0.16,0.18584070796460178,0.01568962246253083,0.3,1279,1,betting,all,1011
0.2,251,83,143,28,115,0.1958041958041958,0.25442477876106195,0.03412497197357755,0.3,1279,1,betting,all,1011
0.05,251,41,48,0,48,0.0,0.10933940774487472,0.0,0.3,1318,2,betting,all,1057
0.1,251,45,56,0,56,0.0,0.1275626423690205,0.0,0.3,1318,2,betting,all,1057
0.15,251,53,67,1,66,0.014925373134328358,0.15034168564920272,0.00398406374501992,0.3,1318,2,betting,all,1057
0.2,251,73,100,11,89,0.11,0.20273348519362186,0.025232403718459494,0.3,1318,2,betting,all,1057
0.05,251,41,57,0,57,0.0,0.11825726141078838,0.0,0.3,1290,3,betting,all,1022
0.1,251,46,62,0,62,0.0,0.12863070539419086,0.0,0.3,1290,3,betting,all,1022
0.15,251,61,90,7,83,0.07777777777777778,0.17219917012448133,0.010244735344336937,0.3,1290,3,betting,all,1022
0.2,251,66,112,7,105,0.0625,0.21784232365145229,0.010244735344336937,0.3,1290,3,betting,all,1022
0.05,251,33,35,1,34,0.02857142857142857,0.07127882599580712,0.00398406374501992,0.3,1343,4,betting,all,1052
0.1,251,41,44,1,43,0.022727272727272728,0.09014675052410902,0.00398406374501992,0.3,1343,4,betting,all,1052
0.15,251,49,55,1,54,0.01818181818181818,0.11320754716981132,0.00398406374501992,0.3,1343,4,betting,all,1052
0.2,251,55,67,3,64,0.04477611940298507,0.13417190775681342,0.00796812749003984,0.3,1343,4,betting,all,1052
0.05,251,51,60,2,58,0.03333333333333333,0.12831858407079647,0.00796812749003984,0.3,1175,5,betting,all,1055
0.1,251,56,69,2,67,0.028985507246376812,0.14823008849557523,0.00796812749003984,0.3,1175,5,betting,all,1055
0.15,251,75,99,4,95,0.04040404040404041,0.21017699115044247,0.01195219123505976,0.3,1175,5,betting,all,1055
0.2,251,86,120,12,108,0.1,0.23893805309734514,0.029880478087649404,0.3,1175,5,betting,all,1055
0.05,251,41,43,1,42,0.023255813953488372,0.0995260663507109,0.00398406374501992,0.3,1338,6,betting,all,1075
0.1,251,41,43,1,42,0.023255813953488372,0.0995260663507109,0.00398406374501992,0.3,1338,6,betting,all,1075
0.15,251,66,80,8,72,0.1,0.17061611374407584,0.02091633466135458,0.3,1338,6,betting,all,1075
0.2,251,79,102,13,89,0.12745098039215685,0.2109004739336493,0.02888446215139442,0.3,1338,6,betting,all,1075
0.05,251,41,43,1,42,0.023255813953488372,0.11023622047244094,0.00398406374501992,0.3,1181,7,betting,all,1248
0.1,251,54,57,2,55,0.03508771929824561,0.14435695538057744,0.00796812749003984,0.3,1181,7,betting,all,1248
0.15,251,57,60,2,58,0.03333333333333333,0.15223097112860892,0.00796812749003984,0.3,1181,7,betting,all,1248
0.2,251,71,82,7,75,0.08536585365853659,0.1968503937007874,0.012236767216846897,0.3,1181,7,betting,all,1248
0.05,251,42,52,2,50,0.038461538461538464,0.11389521640091116,0.00796812749003984,0.3,1458,8,betting,all,997
0.1,251,46,58,2,56,0.034482758620689655,0.1275626423690205,0.00796812749003984,0.3,1458,8,betting,all,997
0.15,251,53,65,2,63,0.03076923076923077,0.14350797266514806,0.00796812749003984,0.3,1458,8,betting,all,997
0.2,251,58,71,4,67,0.056338028169014086,0.15261958997722094,0.01593625498007968,0.3,1458,8,betting,all,997
0.05,251,41,46,1,45,0.021739130434782608,0.10250569476082004,0.00398406374501992,0.3,1207,9,betting,all,1024
0.1,251,42,47,1,46,0.02127659574468085,0.10478359908883828,0.00398406374501992,0.3,1207,9,betting,all,1024
0.15,251,71,88,5,83,0.056818181818181816,0.18906605922551253,0.014741035856573706,0.3,1207,9,betting,all,1024
0.2,251,74,94,6,88,0.06382978723404255,0.20045558086560364,0.016733067729083666,0.3,1207,9,betting,all,1024
0.05,251,43,50,0,50,0.0,0.11086474501108648,0.0,0.3,1229,10,betting,all,1103
0.1,251,57,76,5,71,0.06578947368421052,0.1574279379157428,0.00249003984063745,0.3,1229,10,betting,all,1103
0.15,251,77,118,17,101,0.1440677966101695,0.22394678492239467,0.01115020437729601,0.3,1229,10,betting,all,1103
0.2,251,88,136,19,117,0.13970588235294118,0.25942350332594233,0.01115020437729601,0.3,1229,10,betting,all,1103
0.05,251,42,45,0,45,0.0,0.10022271714922049,0.0,0.3,1137,11,betting,all,1218
0.1,251,47,50,0,50,0.0,0.111358574610245,0.0,0.3,1137,11,betting,all,1218
0.15,251,56,59,1,58,0.01694915254237288,0.1291759465478842,0.00398406374501992,0.3,1137,11,betting,all,1218
0.2,251,59,67,1,66,0.014925373134328358,0.14699331848552338,0.00398406374501992,0.3,1137,11,betting,all,1218
0.05,251,57,64,2,62,0.03125,0.14385150812064965,0.00796812749003984,0.3,1280,12,betting,all,931
0.1,251,73,91,5,86,0.054945054945054944,0.19953596287703015,0.014940239043824702,0.3,1280,12,betting,all,931
0.15,251,74,94,6,88,0.06382978723404255,0.20417633410672853,0.016268260292164674,0.3,1280,12,betting,all,931
0.2,251,83,109,8,101,0.07339449541284404,0.23433874709976799,0.017596281540504646,0.3,1280,12,betting,all,931
0.05,251,47,52,1,51,0.019230769230769232,0.1223021582733813,0.00398406374501992,0.3,1195,13,betting,all,1011
0.1,251,69,82,2,80,0.024390243902439025,0.19184652278177458,0.00796812749003984,0.3,1195,13,betting,all,1011
0.15,251,71,88,4,84,0.045454545454545456,0.2014388489208633,0.010956175298804782,0.3,1195,13,betting,all,1011
0.2,251,86,115,14,101,0.12173913043478261,0.2422062350119904,0.027224435590969456,0.3,1195,13,betting,all,1011
0.05,251,40,50,0,50,0.0,0.11337868480725624,0.0,0.3,1498,14,betting,all,1014
0.1,251,52,65,2,63,0.03076923076923077,0.14285714285714285,0.00597609561752988,0.3,1498,14,betting,all,1014
0.15,251,56,73,2,71,0.0273972602739726,0.16099773242630386,0.00597609561752988,0.3,1498,14,betting,all,1014
0.2,251,70,100,9,91,0.09,0.20634920634920634,0.021248339973439574,0.3,1498,14,betting,all,1014
0.05,251,52,58,0,58,0.0,0.14146341463414633,0.0,0.3,1052,15,betting,all,1102
0.1,251,55,62,0,62,0.0,0.15121951219512195,0.0,0.3,1052,15,betting,all,1102
0.15,251,68,78,3,75,0.038461538461538464,0.18292682926829268,0.0099601593625498,0.3,1052,15,betting,all,1102
0.2,251,76,89,4,85,0.0449438202247191,0.2073170731707317,0.01195219123505976,0.3,1052,15,betting,all,1102
0.05,251,41,47,2,45,0.0425531914893617,0.10297482837528604,0.00796812749003984,0.3,1179,16,betting,all,814
0.1,251,47,58,2,56,0.034482758620689655,0.12814645308924486,0.00796812749003984,0.3,1179,16,betting,all,814
0.15,251,62,78,4,74,0.05128205128205128,0.16933638443935928,0.01593625498007968,0.3,1179,16,betting,all,814
0.2,251,78,98,10,88,0.10204081632653061,0.20137299771167047,0.031208499335989376,0.3,1179,16,betting,all,814
0.05,251,50,60,1,59,0.016666666666666666,0.1334841628959276,0.00199203187250996,0.3,1293,17,betting,all,1119
0.1,251,59,73,3,70,0.0410958904109589,0.1583710407239819,0.0069721115537848604,0.3,1293,17,betting,all,1119
0.15,251,70,87,5,82,0.05747126436781609,0.18552036199095023,0.014940239043824702,0.3,1293,17,betting,all,1119
0.2,251,73,97,9,88,0.09278350515463918,0.19909502262443438,0.0199203187250996,0.3,1293,17,betting,all,1119
0.05,251,45,50,0,50,0.0,0.11904761904761904,0.0,0.3,1231,18,betting,all,965
0.1,251,48,53,0,53,0.0,0.1261904761904762,0.0,0.3,1231,18,betting,all,965
0.15,251,70,84,5,79,0.05952380952380952,0.1880952380952381,0.012948207171314742,0.3,1231,18,betting,all,965
0.2,251,77,96,8,88,0.08333333333333333,0.20952380952380953,0.018924302788844622,0.3,1231,18,betting,all,965
0.05,251,47,54,3,51,0.05555555555555555,0.1223021582733813,0.0099601593625498,0.3,1223,19,betting,all,701
0.1,251,47,54,3,51,0.05555555555555555,0.1223021582733813,0.0099601593625498,0.3,1223,19,betting,all,701
0.15,251,83,105,12,93,0.11428571428571428,0.22302158273381295,0.033200531208499334,0.3,1223,19,betting,all,701
0.2,251,96,134,22,112,0.16417910447761194,0.2685851318944844,0.044023904382470114,0.3,1223,19,betting,all,701
