alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum
0.15,167,36,39,0,39,0.0,0.18840579710144928,0.0,0.3,306,4,betting,K<=5
0.15,76,12,15,0,15,0.0,0.0641025641025641,0.0,0.3,772,4,betting,5<K<=30
0.15,8,1,1,1,0,1.0,0.0,0.125,0.3,265,4,betting,K>30
0.2,167,39,42,0,42,0.0,0.2028985507246377,0.0,0.3,306,4,betting,K<=5
0.2,76,15,24,2,22,0.08333333333333333,0.09401709401709402,0.013157894736842105,0.3,772,4,betting,5<K<=30
0.2,8,1,1,1,0,1.0,0.0,0.125,0.3,265,4,betting,K>30
0.05,175,37,38,1,37,0.02631578947368421,0.17452830188679244,0.005714285714285714,0.3,297,5,betting,K<=5
0.05,71,14,22,1,21,0.045454545454545456,0.09251101321585903,0.014084507042253521,0.3,649,5,betting,5<K<=30
0.05,5,0,0,0,0,0.0,0.0,0.0,0.3,229,5,betting,K>30
0.1,175,39,42,1,41,0.023809523809523808,0.19339622641509435,0.005714285714285714,0.3,297,5,betting,K<=5
0.1,71,17,27,1,26,0.037037037037037035,0.1145374449339207,0.014084507042253521,0.3,649,5,betting,5<K<=30
0.1,5,0,0,0,0,0.0,0.0,0.0,0.3,229,5,betting,K>30
0.15,175,48,53,1,52,0.018867924528301886,0.24528301886792453,0.005714285714285714,0.3,297,5,betting,K<=5
0.15,71,26,45,3,42,0.06666666666666667,0.18502202643171806,0.028169014084507043,0.3,649,5,betting,5<K<=30
0.15,5,1,1,0,1,0.0,0.07692307692307693,0.0,0.3,229,5,betting,K>30
0.2,175,51,57,1,56,0.017543859649122806,0.2641509433962264,0.005714285714285714,0.3,297,5,betting,K<=5
0.2,71,32,58,8,50,0.13793103448275862,0.22026431718061673,0.06338028169014084,0.3,649,5,betting,5<K<=30
0.2,5,3,5,3,2,0.6,0.15384615384615385,0.4,0.3,229,5,betting,K>30
0.05,68,10,11,1,10,0.09090909090909091,0.057803468208092484,0.014705882352941176,0.3,671,6,betting,5<K<=30
0.05,177,30,31,0,31,0.0,0.14622641509433962,0.0,0.3,314,6,betting,K<=5
0.05,6,1,1,0,1,0.0,0.02702702702702703,0.0,0.3,353,6,betting,K>30
0.1,68,10,11,1,10,0.09090909090909091,0.057803468208092484,0.014705882352941176,0.3,671,6,betting,5<K<=30
0.1,177,30,31,0,31,0.0,0.14622641509433962,0.0,0.3,314,6,betting,K<=5
0.1,6,1,1,0,1,0.0,0.02702702702702703,0.0,0.3,353,6,betting,K>30
0.15,68,18,25,5,20,0.2,0.11560693641618497,0.04779411764705882,0.3,671,6,betting,5<K<=30
0.15,177,46,52,1,51,0.019230769230769232,0.24056603773584906,0.002824858757062147,0.3,314,6,betting,K<=5
0.15,6,2,3,2,1,0.6666666666666666,0.02702702702702703,0.25,0.3,353,6,betting,K>30
0.2,68,27,42,10,32,0.23809523809523808,0.18497109826589594,0.07720588235294118,0.3,671,6,betting,5<K<=30
0.2,177,50,57,1,56,0.017543859649122806,0.2641509433962264,0.002824858757062147,0.3,314,6,betting,K<=5
0.2,6,2,3,2,1,0.6666666666666666,0.02702702702702703,0.25,0.3,353,6,betting,K>30
0.05,50,7,8,0,8,0.0,0.05517241379310345,0.0,0.3,472,7,betting,5<K<=30
0.05,194,33,34,1,33,0.029411764705882353,0.16097560975609757,0.005154639175257732,0.3,335,7,betting,K<=5
0.05,7,1,1,0,1,0.0,0.03225806451612903,0.0,0.3,374,7,betting,K>30
0.1,50,9,10,0,10,0.0,0.06896551724137931,0.0,0.3,472,7,betting,5<K<=30
0.1,194,43,45,1,44,0.022222222222222223,0.2146341463414634,0.005154639175257732,0.3,335,7,betting,K<=5
0.1,7,2,2,1,1,0.5,0.03225806451612903,0.14285714285714285,0.3,374,7,betting,K>30
0.15,50,11,12,0,12,0.0,0.08275862068965517,0.0,0.3,472,7,betting,5<K<=30
0.15,194,44,46,1,45,0.021739130434782608,0.21951219512195122,0.005154639175257732,0.3,335,7,betting,K<=5
0.15,7,2,2,1,1,0.5,0.03225806451612903,0.14285714285714285,0.3,374,7,betting,K>30
0.2,50,15,17,0,17,0.0,0.11724137931034483,0.0,0.3,472,7,betting,5<K<=30
0.2,194,53,55,1,54,0.01818181818181818,0.2634146341463415,0.005154639175257732,0.3,335,7,betting,K<=5
0.2,7,3,10,6,4,0.6,0.12903225806451613,0.2959183673469387,0.3,374,7,betting,K>30
0.05,67,6,13,0,13,0.0,0.059907834101382486,0.0,0.3,704,8,betting,5<K<=30
0.05,174,34,37,1,36,0.02702702702702703,0.18652849740932642,0.005747126436781609,0.3,314,8,betting,K<=5
