method,alpha,total_rejections,fdp,recall
betting,0.05,51.15,0.018479376368234927,0.11540069043090043
betting,0.1,61.6,0.02604200738065483,0.13782629344736094
betting,0.15,83.35,0.0610819873080907,0.17866586760541142
betting,0.2,102.85,0.09385552127563307,0.21244585229233506
binary,0.05,10.9,0.013302752293577982,0.018099547511312215
binary,0.1,10.9,0.013302752293577982,0.018099547511312215
binary,0.15,10.9,0.013302752293577982,0.018099547511312215
binary,0.2,40.95,0.04435654187223667,0.07243763396364239
pvalue_bh,0.05,196.4,0.21996664656335865,0.3507846859393827
pvalue_bh,0.1,198.6,0.22058160156884754,0.3546514810852832
pvalue_bh,0.15,198.6,0.22058160156884754,0.3546514810852832
pvalue_bh,0.2,198.6,0.22058160156884754,0.3546514810852832
