seed,template,alpha,cal_null_count,tmpl_phi_max,tmpl_C_m,global_phi_max,global_C_m,global_m,fit_phi_max,mean_K,median_K,T1_global,T1_tmpl,phi_max_below_T1_global,phi_max_below_T1_tmpl
0,a photo of a {cat},0.05,1396,14.53485428362943,1374.0822352515595,14.53485428362943,30975.296102497432,30893,14.53485428362943,21.383928571428573,16.5,434.823430119449,606.2648674380982,True,True
0,a photo of a {cat},0.1,1396,14.53485428362943,1374.0822352515595,14.53485428362943,30975.296102497432,30893,14.53485428362943,21.383928571428573,16.5,215.89636557093766,248.3456052513308,True,True
0,a photo of a {cat},0.15,1396,14.53485428362943,1374.0822352515595,14.53485428362943,30975.296102497432,30893,14.53485428362943,21.383928571428573,16.5,143.59728825223704,156.15608141684712,True,True
0,a photo of a {cat},0.2,1396,14.53485428362943,1374.0822352515595,14.53485428362943,30975.296102497432,30893,14.53485428362943,21.383928571428573,16.5,107.57329237635533,113.88157414846407,True,True
0,a small {cat} near the center,0.05,11491,14.53485428362943,10020.883329415225,14.53485428362943,30975.296102497432,30893,14.53485428362943,47.90155440414508,41.0,991.2923385269935,911.3675804350077,True,True
0,a small {cat} near the center,0.1,11491,14.53485428362943,10020.883329415225,14.53485428362943,30975.296102497432,30893,14.53485428362943,47.90155440414508,41.0,487.8400755347425,435.8635843909345,True,True
0,a small {cat} near the center,0.15,11491,14.53485428362943,10020.883329415225,14.53485428362943,30975.296102497432,30893,14.53485428362943,47.90155440414508,41.0,323.5282661750386,286.42301640831664,True,True
0,a small {cat} near the center,0.2,11491,14.53485428362943,10020.883329415225,14.53485428362943,30975.296102497432,30893,14.53485428362943,47.90155440414508,41.0,242.01425689967996,213.29314353491236,True,True
0,a visible {cat} in the scene,0.05,1021,14.53485428362943,1113.960895447642,14.53485428362943,30975.296102497432,30893,14.53485428362943,14.89622641509434,8.0,301.6171302389469,458.34486499682794,True,True
0,a visible {cat} in the scene,0.1,1021,14.53485428362943,1113.960895447642,14.53485428362943,30975.296102497432,30893,14.53485428362943,14.89622641509434,8.0,150.0778850823708,190.0698335795452,True,True
0,a visible {cat} in the scene,0.15,1021,14.53485428362943,1113.960895447642,14.53485428362943,30975.296102497432,30893,14.53485428362943,14.89622641509434,8.0,99.89059730510495,119.89422893856006,True,True
0,a visible {cat} in the scene,0.2,1021,14.53485428362943,1113.960895447642,14.53485428362943,30975.296102497432,30893,14.53485428362943,14.89622641509434,8.0,74.85759690064621,87.56455558767321,True,True
0,a {cat} in the scene,0.05,8081,14.53485428362943,7435.283200684082,14.53485428362943,30975.296102497432,30893,14.53485428362943,51.65945945945946,41.0,1071.7505719385183,1089.83691401176,True,True
0,a {cat} in the scene,0.1,8081,14.53485428362943,7435.283200684082,14.53485428362943,30975.296102497432,30893,14.53485428362943,51.65945945945946,41.0,526.7622536870717,507.70935659429665,True,True
0,a {cat} in the scene,0.15,8081,14.53485428362943,7435.283200684082,14.53485428362943,30975.296102497432,30893,14.53485428362943,51.65945945945946,41.0,349.19537724388346,330.9402848331083,True,True
0,a {cat} in the scene,0.2,8081,14.53485428362943,7435.283200684082,14.53485428362943,30975.296102497432,30893,14.53485428362943,51.65945945945946,41.0,261.1604944695052,245.47373901531992,True,True
0,a {cat} object,0.05,1903,14.53485428362943,1705.6293372465652,14.53485428362943,30975.296102497432,30893,14.53485428362943,24.901960784313726,16.5,507.53165152454136,604.1920278654295,True,True
0,a {cat} object,0.1,1903,14.53485428362943,1705.6293372465652,14.53485428362943,30975.296102497432,30893,14.53485428362943,24.901960784313726,16.5,251.7037371067503,256.640592661857,True,True
0,a {cat} object,0.15,1903,14.53485428362943,1705.6293372465652,14.53485428362943,30975.296102497432,30893,14.53485428362943,24.901960784313726,16.5,167.3492009378168,162.9222643809334,True,True
0,a {cat} object,0.2,1903,14.53485428362943,1705.6293372465652,14.53485428362943,30975.296102497432,30893,14.53485428362943,24.901960784313726,16.5,125.3426046241749,119.3418063282686,True,True
0,other,0.05,5685,14.53485428362943,7959.540664168222,14.53485428362943,30975.296102497432,30893,14.53485428362943,14.571072319201996,11.0,294.97075145313573,429.98370120121456,True,True
0,other,0.1,5685,14.53485428362943,7959.540664168222,14.53485428362943,30975.296102497432,30893,14.53485428362943,14.571072319201996,11.0,146.78646852675905,209.33752165382455,True,True
0,other,0.15,5685,14.53485428362943,7959.540664168222,14.53485428362943,30975.296102497432,30893,14.53485428362943,14.571072319201996,11.0,97.70331275851098,138.34550951984377,True,True
0,other,0.2,5685,14.53485428362943,7959.540664168222,14.53485428362943,30975.296102497432,30893,14.53485428362943,14.571072319201996,11.0,73.21974652683724,103.31022102273947,True,True
0,the {cat},0.05,1316,14.53485428362943,1365.9164402841363,14.53485428362943,30975.296102497432,30893,14.53485428362943,13.39795918367347,7.5,271.0149544777096,348.8995362319457,True,True
0,the {cat},0.1,1316,14.53485428362943,1365.9164402841363,14.53485428362943,30975.296102497432,30893,14.53485428362943,13.39795918367347,7.5,134.9172553778033,154.69295870938024,True,True
0,the {cat},0.15,1316,14.53485428362943,1365.9164402841363,14.53485428362943,30975.296102497432,30893,14.53485428362943,13.39795918367347,7.5,89.81443711746941,99.3770833823577,True,True
0,the {cat},0.2,1316,14.53485428362943,1365.9164402841363,14.53485428362943,30975.296102497432,30893,14.53485428362943,13.39795918367347,7.5,67.31203417652742,73.20137329871065,True,True
1,a photo of a {cat},0.05,1602,5.312800637099195,1487.0587652633171,15.270362519106541,32847.33150833265,33455,15.270362519106541,20.88679245283019,17.5,415.32169650884214,524.1006870999195,True,True
