seed,alpha,global_m,global_C_m,global_phi_max,fit_phi_max,mean_K,T1,phi_max_below_T1
0,0.05,30893,30975.296102497432,14.53485428362943,14.53485428362943,27.127819548872182,553.7082545171861,True
0,0.1,30893,30975.296102497432,14.53485428362943,14.53485428362943,27.127819548872182,274.401553364745,True
0,0.15,30893,30975.296102497432,14.53485428362943,14.53485428362943,27.127819548872182,182.3957710678319,True
0,0.2,30893,30975.296102497432,14.53485428362943,14.53485428362943,27.127819548872182,136.59574478167528,True
1,0.05,33455,32847.33150833265,15.270362519106541,15.270362519106541,28.994152046783626,579.3753108188289,True
1,0.1,33455,32847.33150833265,15.270362519106541,15.270362519106541,28.994152046783626,287.155172409603,True
1,0.15,33455,32847.33150833265,15.270362519106541,15.270362519106541,28.994152046783626,190.88054832709082,True
1,0.2,33455,32847.33150833265,15.270362519106541,15.270362519106541,28.994152046783626,142.9527315455581,True
2,0.05,33550,33364.094711491925,14.761963323793172,14.761963323793172,26.687552213868003,539.3580918116137,True
2,0.1,33550,33364.094711491925,14.761963323793172,14.761963323793172,26.687552213868003,267.5167316699662,True
2,0.15,33550,33364.094711491925,14.761963323793172,14.761963323793172,26.687552213868003,177.86909689567423,True
2,0.2,33550,33364.094711491925,14.761963323793172,14.761963323793172,26.687552213868003,133.22426293622283,True
3,0.05,33004,32267.56248349488,14.461738770863619,14.461738770863619,28.65831244778613,570.2630906898272,True
3,0.1,33004,32267.56248349488,14.461738770863619,14.461738770863619,28.65831244778613,282.6340562560305,True
3,0.15,33004,32267.56248349488,14.461738770863619,14.461738770863619,28.65831244778613,187.8741694144129,True
3,0.2,33004,32267.56248349488,14.461738770863619,14.461738770863619,28.65831244778613,140.70082347238153,True
4,0.05,31517,31689.85425165547,14.062520979268937,14.062520979268937,27.711779448621552,567.2322267560456,True
4,0.1,31517,31689.85425165547,14.062520979268937,14.062520979268937,27.711779448621552,281.1003370531725,True
4,0.15,31517,31689.85425165547,14.062520979268937,14.062520979268937,27.711779448621552,186.84775590305938,True
4,0.2,31517,31689.85425165547,14.062520979268937,14.062520979268937,27.711779448621552,139.92955593203413,True
5,0.05,29340,30257.26975989416,14.572590552344652,14.572590552344652,26.913951545530495,565.4623346813488,True
5,0.1,29340,30257.26975989416,14.572590552344652,14.572590552344652,26.913951545530495,280.11371774804735,True
5,0.15,29340,30257.26975989416,14.572590552344652,14.572590552344652,26.913951545530495,186.16798069358074,True
5,0.2,29340,30257.26975989416,14.572590552344652,14.572590552344652,26.913951545530495,139.41154147609348,True
6,0.05,30952,31417.462208928875,14.235325223189758,14.235325223189758,28.760233918128655,594.8908093400486,True
6,0.1,30952,31417.462208928875,14.235325223189758,14.235325223189758,28.760233918128655,294.65574594431575,True
6,0.15,30952,31417.462208928875,14.235325223189758,14.235325223189758,28.760233918128655,195.8249677732758,True
6,0.2,30952,31417.462208928875,14.235325223189758,14.235325223189758,28.760233918128655,146.640223787792,True
7,0.05,30216,30315.53723907149,13.754023573359795,13.754023573359795,28.786131996658312,588.8187920600158,True
7,0.1,30216,30315.53723907149,13.754023573359795,13.754023573359795,28.786131996658312,291.5777382847651,True
7,0.15,30216,30315.53723907149,13.754023573359795,13.754023573359795,28.786131996658312,193.76394546644002,True
7,0.2,30216,30315.53723907149,13.754023573359795,13.754023573359795,28.786131996658312,145.09111900864548,True
8,0.05,32987,32051.441754780702,13.502932827303926,13.502932827303926,26.685881370091895,527.0928271275864,True
8,0.1,32987,32051.441754780702,13.502932827303926,13.502932827303926,26.685881370091895,261.39704832991146,True
8,0.15,32987,32051.441754780702,13.502932827303926,13.502932827303926,26.685881370091895,173.79224193846247,True
8,0.2,32987,32051.441754780702,13.502932827303926,13.502932827303926,26.685881370091895,130.16772962889212,True
9,0.05,33693,33117.71719499875,15.090433919837434,15.090433919837434,27.47451963241437,549.0462112934196,True
9,0.1,33693,33117.71719499875,15.090433919837434,15.090433919837434,27.47451963241437,272.2662059941142,True
9,0.15,33693,33117.71719499875,15.090433919837434,15.090433919837434,27.47451963241437,181.0147532989074,True
9,0.2,33693,33117.71719499875,15.090433919837434,15.090433919837434,27.47451963241437,135.57580747892808,True
10,0.05,31580,32149.29747674239,14.828244533581652,14.828244533581652,28.05513784461153,581.5318891927226,True
10,0.1,31580,32149.29747674239,14.828244533581652,14.828244533581652,28.05513784461153,288.1597587378773,True
10,0.15,31580,32149.29747674239,14.828244533581652,14.828244533581652,28.05513784461153,191.5342541867162,True
10,0.2,31580,32149.29747674239,14.828244533581652,14.828244533581652,28.05513784461153,143.43705370812128,True
11,0.05,30263,30826.10832120289,14.72054831944117,14.72054831944117,28.26817042606516,586.8267258074299,True
11,0.1,30263,30826.10832120289,14.72054831944117,14.72054831944117,28.26817042606516,290.6468871717169,True
11,0.15,30263,30826.10832120289,14.72054831944117,14.72054831944117,28.26817042606516,193.15752343546993,True
11,0.2,30263,30826.10832120289,14.72054831944117,14.72054831944117,28.26817042606516,144.6415602484642,True
12,0.05,31950,32386.006829499027,13.695919468549036,13.695919468549036,27.75187969924812,572.5402227511219,True
12,0.1,31950,32386.006829499027,13.695919468549036,13.695919468549036,27.75187969924812,283.7618510294798,True
12,0.15,31950,32386.006829499027,13.695919468549036,13.695919468549036,27.75187969924812,188.6236689179319,True
12,0.2,31950,32386.006829499027,13.695919468549036,13.695919468549036,27.75187969924812,141.26206587108487,True
13,0.05,31606,31799.930724586804,14.767255388299692,14.767255388299692,28.263157894736842,579.0697006950952,True
