seed,template,own_model,phi_max,num_fit_families,num_cal_families,num_fit_candidates,num_cal_candidates,template_count
0,a {category} object,True,12.551958433253397,136,38,2973,1555,7
0,a small {category} near the center,True,7.128054740957967,133,42,3734,1160,7
0,a visible {category} in the scene,True,6.040295056699328,126,45,3562,1129,7
0,a {category} in the scene,True,21.360525595401036,132,41,3011,888,7
0,a photo containing a {category},True,14.304807692307692,127,44,3306,1230,7
0,a photo of a {category},True,8.48936170212766,120,41,3398,1050,7
0,the {category} in this image,True,9.123015873015872,124,48,3722,1597,7
1,a {category} object,True,14.846573208722742,134,50,3520,1302,7
1,a small {category} near the center,True,5.8054448871181945,142,39,3838,1059,7
1,a visible {category} in the scene,True,10.151674982181042,124,45,3382,1227,7
1,a {category} in the scene,True,16.677662037037035,117,46,2634,1277,7
1,a photo containing a {category},True,9.60013440860215,120,42,2883,1396,7
1,a photo of a {category},True,8.383549295774648,122,43,3577,1262,7
1,the {category} in this image,True,9.147252747252747,139,34,4275,950,7
2,a {category} object,True,12.35081300813008,143,37,4049,988,7
2,a small {category} near the center,True,6.5999037072701014,128,45,3535,1237,7
2,a visible {category} in the scene,True,7.031716417910448,126,51,3944,1239,7
2,a {category} in the scene,True,14.310849056603773,134,48,3529,1057,7
2,a photo containing a {category},True,9.749999999999998,128,37,3671,1118,7
2,a photo of a {category},True,10.183279742765274,124,38,3318,1418,7
2,the {category} in this image,True,6.397209302325582,115,43,3229,1224,7
3,a {category} object,True,8.178972712680578,139,39,3504,859,7
3,a small {category} near the center,True,6.60987012987013,114,51,3296,1563,7
3,a visible {category} in the scene,True,5.376623376623376,146,34,3965,1382,7
3,a {category} in the scene,True,15.190476190476193,118,45,2720,1130,7
3,a photo containing a {category},True,12.595641646489106,123,48,3485,1756,7
3,a photo of a {category},True,10.303167420814479,118,45,3648,1165,7
3,the {category} in this image,True,12.608759553203997,140,37,3822,1543,7
4,a {category} object,True,9.220539647577095,127,50,3788,1041,7
4,a small {category} near the center,True,10.48015873015873,127,51,3011,1631,7
4,a visible {category} in the scene,True,9.391428571428571,121,45,2888,1659,7
4,a {category} in the scene,True,22.256661639014578,134,40,3199,997,7
4,a photo containing a {category},True,11.355761482675263,135,37,3744,1390,7
4,a photo of a {category},True,7.826270293063463,127,34,3858,810,7
4,the {category} in this image,True,8.310246679316888,127,42,3800,1114,7
5,a {category} object,True,12.617632070664175,134,45,3757,1133,7
5,a small {category} near the center,True,8.337053571428571,135,42,3827,1202,7
5,a visible {category} in the scene,True,8.156964656964655,124,39,3440,1225,7
5,a {category} in the scene,True,18.434163701067618,121,50,2711,1200,7
5,a photo containing a {category},True,9.0010101010101,124,44,3824,1288,7
5,a photo of a {category},True,7.172794117647059,122,39,4046,995,7
5,the {category} in this image,True,11.372222222222222,138,40,3848,1555,7
6,a {category} object,True,10.86302969636303,138,36,3489,983,7
6,a small {category} near the center,True,7.351076888740097,139,44,3616,1454,7
6,a visible {category} in the scene,True,6.8098055790363485,126,41,3570,1253,7
6,a {category} in the scene,True,13.632401315789474,132,45,3110,1087,7
6,a photo containing a {category},True,12.254325259515571,121,48,3945,1134,7
6,a photo of a {category},True,7.626167133520075,118,42,3585,1127,7
6,the {category} in this image,True,9.161279999999998,124,43,3271,1416,7
7,a {category} object,True,11.110313901345291,131,44,3323,1044,7
7,a small {category} near the center,True,11.044769874476986,138,43,3850,984,7
7,a visible {category} in the scene,True,7.309941520467835,121,49,3557,1487,7
7,a {category} in the scene,True,15.035670356703566,134,38,3167,789,7
7,a photo containing a {category},True,8.795938104448743,119,47,3666,1434,7
7,a photo of a {category},True,11.774237105049957,129,39,3650,1302,7
7,the {category} in this image,True,8.046278686446051,126,39,3812,1129,7
8,a {category} object,True,9.93818181818182,146,39,3759,1342,7
8,a small {category} near the center,True,6.337301587301587,125,53,3322,1313,7
8,a visible {category} in the scene,True,9.455563853622106,135,37,3602,1051,7
8,a {category} in the scene,True,17.479725700655933,112,52,2647,1060,7
8,a photo containing a {category},True,8.715017737485217,135,35,4439,747,7
8,a photo of a {category},True,11.466101694915254,123,37,3684,1089,7
8,the {category} in this image,True,6.916349809885932,122,46,4276,1091,7
9,a {category} object,True,9.809688581314878,127,49,3369,1198,7
9,a small {category} near the center,True,10.091122868900646,135,41,3525,1143,7
9,a visible {category} in the scene,True,8.645863570391873,124,47,3562,1539,7
9,a {category} in the scene,True,20.197080291970803,130,41,2881,1166,7
9,a photo containing a {category},True,8.483589385474861,125,43,3490,1446,7
9,a photo of a {category},True,9.734899328859061,114,46,3039,1673,7
9,the {category} in this image,True,8.132339235787512,143,32,4522,770,7
10,a {category} object,True,7.708723135271808,122,39,3877,685,7
10,a small {category} near the center,True,7.819648789748459,137,48,4260,1199,7
10,a visible {category} in the scene,True,5.634179634179635,128,48,3815,1143,7
10,a {category} in the scene,True,18.064516129032256,128,41,2888,1150,7
10,a photo containing a {category},True,6.704154191616767,126,40,3264,1599,7
10,a photo of a {category},True,7.836503099716297,126,41,3876,982,7
10,the {category} in this image,True,9.563119126238252,131,42,3859,1352,7
11,a {category} object,True,11.274896265560164,136,35,3704,859,7
11,a small {category} near the center,True,9.660971223021583,133,42,3699,1208,7
11,a visible {category} in the scene,True,7.256781193490054,135,38,4169,910,7
11,a {category} in the scene,True,18.357933579335793,128,48,2897,1019,7
11,a photo containing a {category},True,10.90492957746479,119,50,3150,1816,7
11,a photo of a {category},True,7.312499999999999,122,46,3638,1352,7
11,the {category} in this image,True,10.547119547119548,125,40,3405,1754,7
12,a {category} object,True,9.219362386662766,139,40,3421,1445,7
12,a small {category} near the center,True,7.106603887480382,127,48,3770,1355,7
