seed,alpha,strategy,rejections,fdp,recall,mean_family_fdp,template_count
0,0.05,pertemplate,0,0.0,0.0,0.0,7
0,0.1,pertemplate,2,0.5,0.0022935779816513763,0.0033444816053511705,7
0,0.15,pertemplate,5,0.4,0.006880733944954129,0.006688963210702341,7
0,0.2,pertemplate,7,0.2857142857142857,0.011467889908256881,0.006688963210702341,7
0,0.05,global,0,0.0,0.0,0.0,7
0,0.1,global,0,0.0,0.0,0.0,7
0,0.15,global,8,0.25,0.013761467889908258,0.006688963210702341,7
0,0.2,global,8,0.25,0.013761467889908258,0.006688963210702341,7
1,0.05,pertemplate,0,0.0,0.0,0.0,7
1,0.1,pertemplate,0,0.0,0.0,0.0,7
1,0.15,pertemplate,1,0.0,0.002331002331002331,0.0,7
1,0.2,pertemplate,8,0.375,0.011655011655011656,0.010033444816053512,7
1,0.05,global,0,0.0,0.0,0.0,7
1,0.1,global,1,1.0,0.0,0.0033444816053511705,7
1,0.15,global,8,0.375,0.011655011655011656,0.010033444816053512,7
1,0.2,global,8,0.375,0.011655011655011656,0.010033444816053512,7
2,0.05,pertemplate,0,0.0,0.0,0.0,7
2,0.1,pertemplate,0,0.0,0.0,0.0,7
2,0.15,pertemplate,0,0.0,0.0,0.0,7
2,0.2,pertemplate,4,0.5,0.0055248618784530384,0.0033444816053511705,7
2,0.05,global,0,0.0,0.0,0.0,7
2,0.1,global,0,0.0,0.0,0.0,7
2,0.15,global,0,0.0,0.0,0.0,7
2,0.2,global,9,0.1111111111111111,0.022099447513812154,0.0033444816053511705,7
3,0.05,pertemplate,0,0.0,0.0,0.0,7
3,0.1,pertemplate,0,0.0,0.0,0.0,7
3,0.15,pertemplate,1,1.0,0.0,0.0033444816053511705,7
3,0.2,pertemplate,3,0.6666666666666666,0.0031446540880503146,0.006688963210702341,7
3,0.05,global,0,0.0,0.0,0.0,7
3,0.1,global,1,1.0,0.0,0.0033444816053511705,7
3,0.15,global,1,1.0,0.0,0.0033444816053511705,7
3,0.2,global,10,0.5,0.015723270440251572,0.016722408026755852,7
4,0.05,pertemplate,0,0.0,0.0,0.0,7
4,0.1,pertemplate,3,0.6666666666666666,0.0024271844660194173,0.006688963210702341,7
4,0.15,pertemplate,4,0.5,0.0048543689320388345,0.006688963210702341,7
4,0.2,pertemplate,8,0.375,0.012135922330097087,0.010033444816053512,7
4,0.05,global,0,0.0,0.0,0.0,7
4,0.1,global,1,1.0,0.0,0.0033444816053511705,7
4,0.15,global,12,0.3333333333333333,0.019417475728155338,0.013377926421404682,7
4,0.2,global,12,0.3333333333333333,0.019417475728155338,0.013377926421404682,7
5,0.05,pertemplate,0,0.0,0.0,0.0,7
5,0.1,pertemplate,0,0.0,0.0,0.0,7
5,0.15,pertemplate,0,0.0,0.0,0.0,7
5,0.2,pertemplate,3,0.6666666666666666,0.002652519893899204,0.0033444816053511705,7
5,0.05,global,0,0.0,0.0,0.0,7
5,0.1,global,0,0.0,0.0,0.0,7
5,0.15,global,4,0.25,0.007957559681697613,0.0033444816053511705,7
5,0.2,global,4,0.25,0.007957559681697613,0.0033444816053511705,7
6,0.05,pertemplate,0,0.0,0.0,0.0,7
6,0.1,pertemplate,1,0.0,0.002380952380952381,0.0,7
6,0.15,pertemplate,2,0.0,0.004761904761904762,0.0,7
6,0.2,pertemplate,4,0.0,0.009523809523809525,0.0,7
6,0.05,global,0,0.0,0.0,0.0,7
6,0.1,global,1,0.0,0.002380952380952381,0.0,7
6,0.15,global,1,0.0,0.002380952380952381,0.0,7
6,0.2,global,7,0.0,0.016666666666666666,0.0,7
7,0.05,pertemplate,0,0.0,0.0,0.0,7
7,0.1,pertemplate,1,0.0,0.0021551724137931034,0.0,7
7,0.15,pertemplate,2,0.0,0.004310344827586207,0.0,7
7,0.2,pertemplate,5,0.0,0.010775862068965518,0.0,7
7,0.05,global,0,0.0,0.0,0.0,7
7,0.1,global,1,0.0,0.0021551724137931034,0.0,7
7,0.15,global,5,0.0,0.010775862068965518,0.0,7
7,0.2,global,5,0.0,0.010775862068965518,0.0,7
8,0.05,pertemplate,0,0.0,0.0,0.0,7
8,0.1,pertemplate,0,0.0,0.0,0.0,7
8,0.15,pertemplate,2,0.5,0.002053388090349076,0.0033444816053511705,7
8,0.2,pertemplate,7,0.14285714285714285,0.012320328542094456,0.0033444816053511705,7
8,0.05,global,0,0.0,0.0,0.0,7
8,0.1,global,0,0.0,0.0,0.0,7
8,0.15,global,0,0.0,0.0,0.0,7
