bin,left,right,null_count,tp_count,p0,p1,raw_evalue,evalue
0,0.0500003844499588,0.050224930793046865,91,4,0.00676818950930626,0.0027412280701754384,0.405016447368421,0.405016447368421
1,0.050224930793046865,0.05048448666930195,91,3,0.00676818950930626,0.0021929824561403508,0.32401315789473684,0.32401315789473684
2,0.05048448666930195,0.0507459033280611,92,3,0.006841756786581329,0.0021929824561403508,0.32052914544425576,0.32052914544425576
3,0.0507459033280611,0.051001757383346516,91,3,0.00676818950930626,0.0021929824561403508,0.32401315789473684,0.32401315789473684
4,0.051001757383346516,0.05125596933066842,91,3,0.00676818950930626,0.0021929824561403508,0.32401315789473684,0.32401315789473684
5,0.05125596933066842,0.05153038017451761,94,1,0.006988891341131465,0.0010964912280701754,0.15689058171745152,0.15689058171745152
6,0.05153038017451761,0.05174447037279598,93,1,0.006915324063856396,0.0010964912280701754,0.15855963045912655,0.15855963045912655
7,0.05174447037279598,0.05208034887909886,91,3,0.00676818950930626,0.0021929824561403508,0.32401315789473684,0.32401315789473684
8,0.05208034887909886,0.05238157100975507,92,3,0.006841756786581329,0.0021929824561403508,0.32052914544425576,0.32052914544425576
9,0.05238157100975507,0.05260128155350685,88,6,0.006547487677481057,0.003837719298245614,0.5861361620342992,0.5861361620342992
10,0.05260128155350685,0.052863516844809035,92,2,0.006841756786581329,0.001644736842105263,0.24039685908319183,0.24039685908319183
11,0.052863516844809035,0.053120376914739545,93,2,0.006915324063856396,0.001644736842105263,0.2378394456886898,0.2378394456886898
12,0.053120376914739545,0.05337236803025003,92,2,0.006841756786581329,0.001644736842105263,0.24039685908319183,0.24039685908319183
13,0.05337236803025003,0.05365728177130215,93,1,0.006915324063856396,0.0010964912280701754,0.15855963045912655,0.15855963045912655
14,0.05365728177130215,0.05396783817559475,92,3,0.006841756786581329,0.0021929824561403508,0.32052914544425576,0.32052914544425576
15,0.05396783817559475,0.05429778844118114,91,3,0.00676818950930626,0.0021929824561403508,0.32401315789473684,0.32401315789473684
16,0.05429778844118114,0.054658409208059214,88,6,0.006547487677481057,0.003837719298245614,0.5861361620342992,0.5861361620342992
17,0.054658409208059214,0.05501234531402584,95,0,0.007062458618406533,0.0005482456140350877,0.07762815241228069,0.07762815241228069
18,0.05501234531402584,0.05534719265997401,92,2,0.006841756786581329,0.001644736842105263,0.24039685908319183,0.24039685908319183
19,0.05534719265997401,0.055688414722681,93,1,0.006915324063856396,0.0010964912280701754,0.15855963045912655,0.15855963045912655
20,0.055688414722681,0.0559812657535076,91,4,0.00676818950930626,0.0027412280701754384,0.405016447368421,0.405016447368421
21,0.0559812657535076,0.05631127431988713,93,1,0.006915324063856396,0.0010964912280701754,0.15855963045912655,0.15855963045912655
22,0.05631127431988713,0.05661239642649882,91,4,0.00676818950930626,0.0027412280701754384,0.405016447368421,0.405016447368421
23,0.05661239642649882,0.0569258533418178,91,3,0.00676818950930626,0.0021929824561403508,0.32401315789473684,0.32401315789473684
24,0.0569258533418178,0.0572413010522723,89,5,0.006621054954756124,0.003289473684210526,0.49682017543859647,0.49682017543859647
25,0.0572413010522723,0.05754035227000709,94,1,0.006988891341131465,0.0010964912280701754,0.15689058171745152,0.15689058171745152
26,0.05754035227000709,0.057880107685923506,90,4,0.006694622232031193,0.0027412280701754384,0.4094671775592828,0.4094671775592828
27,0.057880107685923506,0.05824911519885058,92,2,0.006841756786581329,0.001644736842105263,0.24039685908319183,0.24039685908319183
28,0.05824911519885058,0.058576278574764655,91,4,0.00676818950930626,0.0027412280701754384,0.405016447368421,0.405016447368421
29,0.058576278574764655,0.0588855762034654,93,1,0.006915324063856396,0.0010964912280701754,0.15855963045912655,0.15855963045912655
30,0.0588855762034654,0.059203229285776565,89,5,0.006621054954756124,0.003289473684210526,0.49682017543859647,0.49682017543859647
31,0.059203229285776565,0.05957356765866272,93,2,0.006915324063856396,0.001644736842105263,0.2378394456886898,0.2378394456886898
32,0.05957356765866272,0.059939138032495884,90,4,0.006694622232031193,0.0027412280701754384,0.4094671775592828,0.4094671775592828
33,0.059939138032495884,0.06030400209128855,93,1,0.006915324063856396,0.0010964912280701754,0.15855963045912655,0.15855963045912655
34,0.06030400209128855,0.06062216032296415,93,2,0.006915324063856396,0.001644736842105263,0.2378394456886898,0.2378394456886898
