prompt,sum_phi,n_null,min_null
person,1570.2333397804946,884,200
handbag,207.1943573794172,351,200
truck,113.75050750558975,209,200
broccoli,158.37388540356855,169,200
car,80.589616768685,138,200
boat,73.92261768229847,128,200
bench,101.91786344655335,120,200
book,62.85833992460351,103,200
skis,49.80258347355952,103,200
bottle,45.83792686873661,100,200
dining table,61.10340224905287,96,200
traffic light,50.83421732599786,81,200
cell phone,390.17229130477216,67,200
sink,35.528102619749696,63,200
remote,28.227078079956737,60,200
bed,28.852447347638275,58,200
skateboard,38.01956286452613,57,200
cake,27.409894247677215,56,200
vase,61.2144156823974,55,200
bird,25.018165631339873,54,200
backpack,31.209657940553022,53,200
teddy bear,29.08963863308517,53,200
cup,53.158116739443145,52,200
apple,19.867155893723545,51,200
orange,28.44685285466352,50,200
chair,22.51486842622195,50,200
train,24.777919073153576,47,200
bus,22.559761328337704,47,200
dog,19.835830685176767,47,200
umbrella,25.530363774217715,46,200
baseball glove,20.459344345086542,46,200
zebra,24.03407193883491,45,200
scissors,22.90386096492458,45,200
elephant,30.178424330006948,44,200
sheep,25.803242410769723,43,200
horse,22.221571668498317,43,200
toothbrush,24.02815258878649,42,200
sandwich,24.443021880748123,38,200
tv,18.71709576361471,38,200
motorcycle,20.366823768699714,37,200
wine glass,12.955915561150295,36,200
kite,15.427550913646181,35,200
clock,14.81610908908376,34,200
sports ball,15.04832108902948,33,200
oven,42.444050850879734,32,200
bear,16.20195358787802,32,200
banana,16.56738401392711,30,200
surfboard,25.471235073873007,29,200
knife,16.94222115491789,29,200
snowboard,19.328497851851747,26,200
stop sign,12.41844746332144,24,200
carrot,23.684780657358022,21,200
bowl,18.44112838200181,19,200
cow,13.31674710658896,19,200
spoon,9.265023666646464,19,200
laptop,9.11481452601799,19,200
tie,8.904492135406263,17,200
hot dog,17.967296695183453,16,200
frisbee,6.745421714699612,16,200
fork,5.743848834521764,16,200
microwave,41.60830073422869,15,200
toilet,9.855704136952898,15,200
donut,30.885762365525153,14,200
fire hydrant,13.301115689628142,14,200
mouse,6.040502553303029,14,200
baseball bat,5.87453568644511,14,200
couch,44.32964293590754,13,200
cat,42.38384514114395,13,200
refrigerator,6.7795847104542055,12,200
hair drier,5.476912748290318,12,200
airplane,6.555441481235633,10,200
giraffe,5.603256126119023,10,200
tennis racket,3.9353615077527047,9,200
suitcase,3.8023087310673214,9,200
bicycle,2.2178745172127092,6,200
keyboard,1.1257090540878276,5,200
parking meter,2.409696659347284,4,200
toaster,1.2424554164119725,4,200
pizza,1.0881655781691686,3,200
potted plant,1.0275355035341418,2,200
