seed,mean_loo_evalue,std_loo_evalue,max_loo_evalue,p95_loo_evalue,p99_loo_evalue,mondrian
0,1.0,19.453222146925853,384.18359107016306,0.04115713803610252,0.11485137480718063,none
1,0.9999999999999997,12.474377125412195,157.13746946322476,0.010643895438194589,0.037871549773148695,none
2,1.0,11.317523406176683,129.4177259723569,0.0061687525321325815,0.058613290007043656,none
3,0.9999999999999999,14.723090384391869,218.88176375230356,0.0148262194539945,0.0658781542333996,none
4,1.0,2.8739256452462034,45.59057192147994,2.10616921451622,9.119949383098824,none
5,1.0,14.880498028196325,227.48521917481648,0.017375659332141878,0.21660557716871667,none
6,0.9999999999999999,1.807924306951235,33.9221837060045,2.425228260003541,7.880718913860717,none
7,1.0,9.87101770631631,98.71806913300517,0.016836420774045843,3.9919049697957756,none
8,0.9999999999999998,11.759982139233468,142.2216157591043,0.04202531365618736,0.13372216225018177,none
9,0.9999999999999998,9.530314476588913,92.07975090733096,0.015535440796274624,22.120273217911,none
10,1.0,12.661195015590916,162.39892369168533,0.023556312873286186,0.1571669489650982,none
11,1.0,2.7347978255387977,38.35954401843871,2.602303689318931,8.323906895336236,none
12,1.0000000000000002,15.002843783287938,227.70343160001005,0.02385152699181713,0.06828851963550422,none
13,1.0000000000000002,21.880684208390207,485.3490629935587,0.03382442216344665,0.10292765671709427,none
14,1.0,21.143998705222735,452.5120560740849,0.02786520622605618,0.10215495610090293,none
15,1.0000000000000004,12.322692186743819,153.2571473297226,0.006117112245603276,0.0389041496952529,none
16,0.9999999999999999,22.05872040511915,495.23283585954346,0.028940122027949447,0.14734224252933087,none
17,1.0,2.519503405533823,26.362462914753237,3.1410990450538634,12.748239472773019,none
18,1.0000000000000002,21.438890620400173,464.79401423332496,0.023737984697224303,0.07795034112161264,none
19,1.0000000000000002,16.857503825658707,286.5841882777944,0.014468780510861578,0.0467571385949774,none
