method,alpha,total_rejections,fdp,recall
betting,0.05,53.3,0.029169292701228432,0.13110607396092772
betting,0.1,62.45,0.03083461573747922,0.15251344265501537
betting,0.15,67.85,0.0342222379635397,0.1645052210320262
betting,0.2,71.2,0.03469046748573529,0.17236460254142064
binary,0.05,15.35,0.00777109857887492,0.03542464701541561
binary,0.1,28.6,0.020149107225539593,0.06512932368283374
binary,0.15,18.05,0.012456388495992456,0.04019879323918063
binary,0.2,32.25,0.025428872123311984,0.07182927011892146
pvalue_bh,0.05,164.2,0.05543330302827666,0.395517062669035
pvalue_bh,0.1,205.9,0.08455327674215621,0.4792122865447156
pvalue_bh,0.15,238.5,0.10988878548450214,0.5375430431674887
pvalue_bh,0.2,268.4,0.14084472385722274,0.5799080229929567
