label,mean_fdp,std_fdp,mean_recall,std_recall,mean_rejections,null_floor,cat_mondrian,k_min
baseline,0.10072036266631057,0.07334385581674853,0.025856144973193114,0.012447867842459106,22.85,1e-06,False,1
null_floor=0.0001,0.15457750503777778,0.04821324281105228,0.04769041890500694,0.008490655238973657,44.0,0.0001,False,1
null_floor=0.001,0.16030531305433066,0.049870435897012545,0.05419368241855364,0.00991199219819315,50.15,0.001,False,1
null_floor=0.005,0.1712554853576523,0.05401889230610053,0.045091195952124775,0.008164259387720195,42.25,0.005,False,1
null_floor=0.01,0.16898794205341472,0.06635051802033876,0.03242764072342277,0.008071009394585153,30.35,0.01,False,1
null_floor=0.05,0.5166666666666666,0.5011682258915412,0.0001524390243902439,0.0006817280419206674,0.7,0.05,False,1
null_floor=0.1,0.1,0.30779350562554625,0.0,0.0,0.1,0.1,False,1
cat_mondrian (floor=1e-6),0.18475985603418157,0.09378942378423127,0.018435991461066576,0.011572300406269857,17.55,1e-06,True,1
cat_mondrian + floor=1e-2,0.27174787576258164,0.11069210496268059,0.02079672027001495,0.007048506607546626,21.9,0.01,True,1
k_min=2,0.10448712082696983,0.0825889745050416,0.019207663758518234,0.010812715579244373,17.2,1e-06,False,2
k_min=3,0.09649336502277679,0.09792346803912791,0.014444255610061397,0.007932756982185393,12.85,1e-06,False,3
k_min=5,0.09298451548451549,0.10096073770627109,0.010376009835250624,0.005931253479197448,9.05,1e-06,False,5
k_min=10,0.04714285714285714,0.08913596464581788,0.005512734679849524,0.0036852769318615566,4.55,1e-06,False,10
floor=1e-2 + k_min=3,0.14921487116180213,0.12961332362499461,0.014613521419820742,0.006513647941659537,13.45,0.01,False,3
floor=5e-3 + k_min=3,0.15973759126076062,0.09406724372218238,0.024844717739062674,0.006985618752797864,22.9,0.005,False,3
