seed,alpha,score_threshold,k_max,template,cal_null,sum_phi_cal,phi_max,num_test_families,num_test_candidates,gated_tp_total,full_tp_total,num_rejected_families,total_rejections,fp,tp,fdp,mean_family_fdp,gated_recall,full_recall,frontier_supported_family_frac,frontier_T1_median,frontier_T1_mean
0,0.05,none,all,all,8186,7832.0330560442035,13.023583131882889,299,9556,436,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,339.35150236460163,805.4681055009171
0,0.1,none,all,all,8186,7832.0330560442035,13.023583131882889,299,9556,436,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,166.07778714325988,340.59012233396317
0,0.15,none,all,all,8186,7832.0330560442035,13.023583131882889,299,9556,436,436,8,8,2,6,0.25,0.006688963210702341,0.013761467889908258,0.013761467889908258,0.026755852842809364,109.94142434478465,218.2593990747072
0,0.2,none,all,all,8186,7832.0330560442035,13.023583131882889,299,9556,436,436,8,8,2,6,0.25,0.006688963210702341,0.013761467889908258,0.013761467889908258,0.026755852842809364,82.16771288123392,160.733533929355
0,0.05,none,all,a photo of a {cat},409,397.83476373893177,13.023583131882889,24,508,124,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,689.5802571474817,717.6063608321547
0,0.1,none,all,a photo of a {cat},409,397.83476373893177,13.023583131882889,24,508,124,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,229.52005600322988,662.7506668301521
0,0.15,none,all,a photo of a {cat},409,397.83476373893177,13.023583131882889,24,508,124,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,128.33379475449414,278.10280464246574
0,0.2,none,all,a photo of a {cat},409,397.83476373893177,13.023583131882889,24,508,124,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,89.06748441916383,159.83052100438354
0,0.05,none,all,a small {cat} near the center,2509,2199.441015324925,13.023583131882889,49,3083,0,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1715.8759694024238,14964.537493174383
0,0.1,none,all,a small {cat} near the center,2509,2199.441015324925,13.023583131882889,49,3083,0,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,675.8698953342217,884.147313757214
0,0.15,none,all,a small {cat} near the center,2509,2199.441015324925,13.023583131882889,49,3083,0,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,408.7150233202223,482.1684525422643
0,0.2,none,all,a small {cat} near the center,2509,2199.441015324925,13.023583131882889,49,3083,0,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,292.92781016742794,334.0507894299202
