seed,num_cal_null,sum_phi_cal,mean_loo,max_phi
0,5128,5320.204319784405,1.0,249.83588435374148
1,5218,4931.468331739339,1.0,189.50009402914904
2,4569,4277.355342239961,1.0,359.0620063549705
3,6073,6453.948593199642,1.0000000000000002,262.7633099884409
4,5632,6467.772631692051,1.0,292.69839037349584
