method,alpha,total_rejections,fdp,recall
betting,0.05,25.0,0.23743302235521915,0.04374349097188984
betting,0.1,64.6,0.3228145763264673,0.09968649373168417
betting,0.15,94.4,0.374309684634047,0.1345855862323769
betting,0.2,116.6,0.3818990545349613,0.1648289108748772
binary,0.05,0.0,0.0,0.0
binary,0.1,0.0,0.0,0.0
binary,0.15,0.0,0.0,0.0
binary,0.2,0.0,0.0,0.0
pvalue_bh,0.05,159.8,0.41844996099534154,0.2134326449941641
pvalue_bh,0.1,258.4,0.472963498373334,0.3101716591374103
pvalue_bh,0.15,355.0,0.5414872038059834,0.3709545300092646
pvalue_bh,0.2,449.8,0.5933883631771548,0.4175441623772297
