seed,alpha,R_statistic,iou_thresh,n_cal_all_null_clusters,total_tp_clusters,total_tp_candidates,sa_rej,sa_fp,sa_tp,sa_fdp_pooled,sa_family_fdp_mean,sa_recall_object,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall_candidate,base_recall_object
0,0.05,max_phi,0.3,2340,290,533,159,8,151,0.050314465408805034,0.013416815742397137,0.5206896551724138,164,11,153,0.06707317073170732,0.018783542039355994,0.2870544090056285,0.506896551724138
0,0.1,max_phi,0.3,2340,290,533,196,10,186,0.05102040816326531,0.015652951699463326,0.6413793103448275,203,17,186,0.08374384236453201,0.026744186046511628,0.34896810506566606,0.6172413793103448
0,0.15,max_phi,0.3,2340,290,533,224,20,204,0.08928571428571429,0.02484595507851322,0.7034482758620689,234,27,207,0.11538461538461539,0.03623534088650368,0.3883677298311445,0.6827586206896552
0,0.2,max_phi,0.3,2340,290,533,237,23,214,0.0970464135021097,0.028423772609819122,0.7379310344827587,247,30,217,0.1214574898785425,0.03862055257404094,0.4071294559099437,0.7137931034482758
1,0.05,max_phi,0.3,2232,269,544,135,5,130,0.037037037037037035,0.007751937984496124,0.483271375464684,130,5,125,0.038461538461538464,0.008944543828264758,0.22977941176470587,0.4423791821561338
1,0.1,max_phi,0.3,2232,269,544,172,7,165,0.040697674418604654,0.011329755515802026,0.6133828996282528,180,9,171,0.05,0.014758497316636851,0.31433823529411764,0.5836431226765799
1,0.15,max_phi,0.3,2232,269,544,200,16,184,0.08,0.02101967799642218,0.6840148698884758,202,14,188,0.06930693069306931,0.020700230002555584,0.34558823529411764,0.6394052044609665
1,0.2,max_phi,0.3,2232,269,544,207,16,191,0.07729468599033816,0.02101967799642218,0.7100371747211895,219,19,200,0.0867579908675799,0.02517250191668796,0.36764705882352944,0.6691449814126395
2,0.05,max_phi,0.3,2159,310,566,172,8,164,0.046511627906976744,0.011926058437686344,0.5290322580645161,152,5,147,0.03289473684210526,0.007751937984496125,0.2597173144876325,0.45483870967741935
2,0.1,max_phi,0.3,2159,310,566,195,8,187,0.041025641025641026,0.011926058437686344,0.603225806451613,211,11,200,0.052132701421800945,0.015802027429934404,0.35335689045936397,0.5903225806451613
2,0.15,max_phi,0.3,2159,310,566,222,12,210,0.05405405405405406,0.01684555754323196,0.6774193548387096,228,11,217,0.04824561403508772,0.015802027429934404,0.3833922261484099,0.6387096774193548
2,0.2,max_phi,0.3,2159,310,566,229,12,217,0.05240174672489083,0.01684555754323196,0.7,244,13,231,0.05327868852459016,0.016607036374478235,0.4081272084805654,0.6838709677419355
3,0.05,max_phi,0.3,2289,290,577,160,6,154,0.0375,0.009540846750149077,0.5310344827586206,165,4,161,0.024242424242424242,0.007155635062611807,0.27902946273830154,0.5172413793103449
