method,alpha,total_rejections,fdp,recall
betting,0.05,16.361379429684565,0.02200607024383077,0.03405077765583102
betting,0.1,26.837718939856586,0.023031408833902707,0.05718472444029459
betting,0.15,35.047749383406995,0.0292307466782358,0.07557612827089598
betting,0.2,40.65593761257874,0.02935571450114059,0.08940852954588328
binary,0.05,37.78648463475574,0.02267210605300397,0.0866908638136211
binary,0.1,51.12461555639782,0.037625354598231034,0.11691273939018845
binary,0.15,44.53558600773803,0.03503220255522787,0.09840742132949253
binary,0.2,57.71333422501615,0.04836484398891542,0.1293088536553925
pvalue_bh,0.05,25.11154064736392,0.02504597990078733,0.05710478206861675
pvalue_bh,0.1,32.093449077408465,0.03693497717705326,0.06086294705851246
pvalue_bh,0.15,36.513155523944924,0.04151416512666025,0.04635744883656837
pvalue_bh,0.2,51.2675130539491,0.06572061044946673,0.05317011173838753
