method,alpha,total_rejections,fdp,recall
betting,0.05,18.259748657980797,0.03747700398198251,0.02440262456383375
betting,0.1,25.242977136955187,0.0387827182728106,0.03313975060200325
betting,0.15,25.604019010180494,0.04116857436876144,0.032613148002144036
betting,0.2,29.92494998456885,0.03757383973176014,0.035802141808666824
binary,0.05,7.850410649668019,0.03110104487335214,0.010476105074890007
binary,0.1,9.563637273273011,0.074455988728741,0.010789577446850777
binary,0.15,11.570720761792172,0.11487439434837754,0.010789577446850777
binary,0.2,20.4234127773417,0.1955601500792879,0.014818395356218327
pvalue_bh,0.05,36.435198424195875,0.04297930989957505,0.03357782324754831
pvalue_bh,0.1,50.053234818435804,0.05404072129803802,0.030976635160672044
pvalue_bh,0.15,86.92554285133916,0.06986514262002998,0.026165235634513034
pvalue_bh,0.2,126.94574058483248,0.078208871294393,0.032783933890387515
