alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method
0.05,186,40,50,0,50,0.0,0.08375209380234507,0.0,0.0,0.0,0,betting
0.1,186,40,50,0,50,0.0,0.08375209380234507,0.0,0.0,0.0,0,betting
0.15,186,40,50,0,50,0.0,0.08375209380234507,0.0,0.0,0.0,0,betting
0.2,186,40,50,0,50,0.0,0.08375209380234507,0.0,0.0,0.0,0,betting
0.05,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,binary
0.1,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,binary
0.15,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,binary
0.2,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,binary
0.05,186,82,140,13,127,0.09285714285714286,0.21273031825795644,0.03873724841466777,0.0,,0,pvalue_bh
0.1,186,104,198,30,168,0.15151515151515152,0.2814070351758794,0.07215897111532785,0.0,,0,pvalue_bh
0.15,186,115,248,51,197,0.2056451612903226,0.32998324958123953,0.0914971423035939,0.0,,0,pvalue_bh
0.2,186,129,314,74,240,0.2356687898089172,0.4020100502512563,0.12535819836329173,0.0,,0,pvalue_bh
0.05,186,37,51,1,50,0.0196078431372549,0.07012622720897616,0.005376344086021506,0.0,0.0,1,betting
0.1,186,37,51,1,50,0.0196078431372549,0.07012622720897616,0.005376344086021506,0.0,0.0,1,betting
0.15,186,37,51,1,50,0.0196078431372549,0.07012622720897616,0.005376344086021506,0.0,0.0,1,betting
0.2,186,37,51,1,50,0.0196078431372549,0.07012622720897616,0.005376344086021506,0.0,0.0,1,betting
0.05,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,binary
0.1,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,binary
0.15,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,binary
0.2,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,binary
0.05,186,89,214,13,201,0.06074766355140187,0.28190743338008417,0.04629022222644766,0.0,,1,pvalue_bh
0.1,186,111,262,27,235,0.10305343511450382,0.32959326788218796,0.08877321364941625,0.0,,1,pvalue_bh
0.15,186,121,298,45,253,0.15100671140939598,0.3548387096774194,0.11752399333044494,0.0,,1,pvalue_bh
0.2,186,128,339,65,274,0.19174041297935104,0.38429172510518933,0.14389729591342496,0.0,,1,pvalue_bh
0.05,186,40,55,1,54,0.01818181818181818,0.09045226130653267,0.005376344086021506,0.0,0.0,2,betting
0.1,186,55,84,6,78,0.07142857142857142,0.1306532663316583,0.00931899641577061,0.0,0.0,2,betting
0.15,186,61,93,8,85,0.08602150537634409,0.1423785594639866,0.013799283154121862,0.0,0.0,2,betting
0.2,186,69,109,10,99,0.09174311926605505,0.1658291457286432,0.0166410650281618,0.0,0.0,2,betting
0.05,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,binary
0.1,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,binary
0.15,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,binary
0.2,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,binary
0.05,186,101,176,19,157,0.10795454545454546,0.2629815745393635,0.04659498207885304,0.0,,2,pvalue_bh
0.1,186,123,237,43,194,0.18143459915611815,0.3249581239530988,0.0833589349718382,0.0,,2,pvalue_bh
0.15,186,133,292,66,226,0.22602739726027396,0.3785594639865997,0.10965763627053948,0.0,,2,pvalue_bh
0.2,186,145,361,100,261,0.2770083102493075,0.4371859296482412,0.16073179854164574,0.0,,2,pvalue_bh
0.05,186,44,70,3,67,0.04285714285714286,0.1268939393939394,0.005376344086021506,0.0,0.0,3,betting
0.1,186,49,76,4,72,0.05263157894736842,0.13636363636363635,0.010752688172043012,0.0,0.0,3,betting
0.15,186,53,81,5,76,0.06172839506172839,0.14393939393939395,0.013440860215053764,0.0,0.0,3,betting
0.2,186,55,97,8,89,0.08247422680412371,0.16856060606060605,0.01971326164874552,0.0,0.0,3,betting
0.05,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,binary
0.1,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,binary
0.15,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,binary
0.2,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,binary
0.05,186,103,177,29,148,0.1638418079096045,0.2803030303030303,0.0754679410593389,0.0,,3,pvalue_bh
0.1,186,124,223,46,177,0.2062780269058296,0.3352272727272727,0.11579696394686907,0.0,,3,pvalue_bh
0.15,186,131,253,59,194,0.233201581027668,0.36742424242424243,0.13518633841214486,0.0,,3,pvalue_bh
0.2,186,140,307,89,218,0.2899022801302932,0.4128787878787879,0.1714432811419229,0.0,,3,pvalue_bh
0.05,186,34,58,0,58,0.0,0.090625,0.0,0.0,0.0,4,betting
0.1,186,43,68,1,67,0.014705882352941176,0.1046875,0.005376344086021506,0.0,0.0,4,betting
0.15,186,48,79,3,76,0.0379746835443038,0.11875,0.010752688172043012,0.0,0.0,4,betting
0.2,186,51,86,3,83,0.03488372093023256,0.1296875,0.010752688172043012,0.0,0.0,4,betting
0.05,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,binary
0.1,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,binary
0.15,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,binary
0.2,186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,binary
0.05,186,87,156,12,144,0.07692307692307693,0.225,0.04390681003584229,0.0,,4,pvalue_bh
0.1,186,109,205,31,174,0.15121951219512195,0.271875,0.09315796210957501,0.0,,4,pvalue_bh
0.15,186,123,256,49,207,0.19140625,0.3234375,0.12363570215862235,0.0,,4,pvalue_bh
0.2,186,133,309,76,233,0.2459546925566343,0.3640625,0.15817584446616706,0.0,,4,pvalue_bh
