method,alpha,total_rejections,fdp,recall
betting,0.05,56.8,0.01612936083524319,0.09236990434235866
betting,0.1,65.8,0.031674775173227185,0.10511654474132318
betting,0.15,70.8,0.041066485423926234,0.11178925488294036
betting,0.2,78.6,0.04574178202753325,0.1235911145601141
binary,0.05,0.0,0.0,0.0
binary,0.1,0.0,0.0,0.0
binary,0.15,0.0,0.0,0.0
binary,0.2,0.0,0.0,0.0
pvalue_bh,0.05,172.6,0.10046484733915433,0.25258447129608685
pvalue_bh,0.1,225.0,0.15870014497734503,0.30861213994768777
pvalue_bh,0.15,269.4,0.2014574201975321,0.3508486331339002
pvalue_bh,0.2,326.0,0.24805489714490064,0.40008579857669496
