method,alpha,total_rejections,fdp,recall,threshold
score_oracle,0.05,9.6,0.0,0.02471377267534181,0.8797624945640564
score_oracle,0.1,13.8,0.07443223443223443,0.032436085721921304,0.8468289375305176
score_oracle,0.15,16.8,0.12793650793650793,0.037548755419153576,0.8209757804870605
score_oracle,0.2,22.8,0.19272727272727272,0.04712559245523223,0.7663614869117736
