alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,cal_null_size,n_cal
0.2,299,10,10,5,5,0.5,0.015723270440251572,0.016722408026755852,3,betting,5000,5000
0.05,299,0,0,0,0,0.0,0.0,0.0,3,betting,all,8992
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,3,betting,all,8992
0.15,299,1,1,1,0,1.0,0.0,0.0033444816053511705,3,betting,all,8992
0.2,299,10,10,5,5,0.5,0.015723270440251572,0.016722408026755852,3,betting,all,8992
0.05,299,0,0,0,0,0.0,0.0,0.0,4,betting,500,500
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,4,betting,500,500
0.15,299,1,1,1,0,1.0,0.0,0.0033444816053511705,4,betting,500,500
0.2,299,12,12,4,8,0.3333333333333333,0.019417475728155338,0.013377926421404682,4,betting,500,500
0.05,299,0,0,0,0,0.0,0.0,0.0,4,betting,1000,1000
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,4,betting,1000,1000
0.15,299,12,12,4,8,0.3333333333333333,0.019417475728155338,0.013377926421404682,4,betting,1000,1000
0.2,299,12,12,4,8,0.3333333333333333,0.019417475728155338,0.013377926421404682,4,betting,1000,1000
0.05,299,0,0,0,0,0.0,0.0,0.0,4,betting,2000,2000
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,4,betting,2000,2000
0.15,299,12,12,4,8,0.3333333333333333,0.019417475728155338,0.013377926421404682,4,betting,2000,2000
0.2,299,12,12,4,8,0.3333333333333333,0.019417475728155338,0.013377926421404682,4,betting,2000,2000
0.05,299,0,0,0,0,0.0,0.0,0.0,4,betting,5000,5000
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,4,betting,5000,5000
0.15,299,12,12,4,8,0.3333333333333333,0.019417475728155338,0.013377926421404682,4,betting,5000,5000
0.2,299,12,12,4,8,0.3333333333333333,0.019417475728155338,0.013377926421404682,4,betting,5000,5000
0.05,299,0,0,0,0,0.0,0.0,0.0,4,betting,all,8190
0.1,299,1,1,1,0,1.0,0.0,0.0033444816053511705,4,betting,all,8190
0.15,299,12,12,4,8,0.3333333333333333,0.019417475728155338,0.013377926421404682,4,betting,all,8190
0.2,299,12,12,4,8,0.3333333333333333,0.019417475728155338,0.013377926421404682,4,betting,all,8190
