eta,eta_actual,seed,alpha,phi_max,n_cal_null,sum_phi_cal,rejections,fp_contaminated,fp_true,tp_true,fdp_contaminated,fdp_true,recall_true,total_tp_in_test,mean_loo_evalue
0.15,0.014936336924583741,6,0.1,67.17895461946313,4939,4992.004902325422,135,30,8,127,0.2222222222222222,0.05925925925925926,0.20684039087947884,614,1.0
0.15,0.014764495892974735,7,0.1,56.29669334138609,5461,5401.142991494683,136,30,7,129,0.22058823529411764,0.051470588235294115,0.2097560975609756,615,1.0
0.15,0.014375561545372867,8,0.1,71.68471059972106,5109,5781.340094515246,129,22,8,121,0.17054263565891473,0.06201550387596899,0.21153846153846154,572,1.0
0.15,0.013310508664058134,9,0.1,56.83332057416268,5284,5510.224573694117,140,31,8,132,0.22142857142857142,0.05714285714285714,0.2037037037037037,648,1.0
0.2,0.018486994416451043,0,0.1,53.86666415350398,5762,6197.498828449172,102,22,9,93,0.21568627450980393,0.08823529411764706,0.17448405253283303,533,1.0000000000000002
0.2,0.019325616507297434,1,0.1,48.584118891881495,5178,5075.723407637579,110,24,5,105,0.21818181818181817,0.045454545454545456,0.19301470588235295,544,0.9999999999999998
0.2,0.019195769376051646,2,0.1,51.268407356002776,5083,5416.60256192993,104,23,6,98,0.22115384615384615,0.057692307692307696,0.17314487632508835,566,1.0
0.2,0.01871199650619814,3,0.1,56.935165887455646,5625,5925.6659825928855,136,33,4,132,0.2426470588235294,0.029411764705882353,0.22876949740034663,577,1.0
0.2,0.019757306443343017,4,0.1,60.950899550224875,5557,5876.305399512334,106,20,5,101,0.18867924528301888,0.04716981132075472,0.1860036832412523,543,1.0
0.2,0.018318459370596524,5,0.1,58.70736833256274,5727,5851.10308597392,108,34,6,102,0.3148148148148148,0.05555555555555555,0.18345323741007194,556,1.0
0.2,0.018890715699761768,6,0.1,40.98629981562899,4954,5212.808298553851,102,20,5,97,0.19607843137254902,0.049019607843137254,0.15798045602605862,614,1.0
0.2,0.018281908386570612,7,0.1,45.730787742660034,5463,5621.570805010873,112,25,7,105,0.22321428571428573,0.0625,0.17073170731707318,615,1.0
0.2,0.01922880577204506,8,0.1,46.533828916181854,5105,5423.5614398241805,108,24,8,100,0.2222222222222222,0.07407407407407407,0.17482517482517482,572,1.0
0.2,0.02241673069856012,9,0.1,57.62987902752222,5342,5834.075238201002,130,24,7,123,0.18461538461538463,0.05384615384615385,0.18981481481481483,648,1.0
0.3,0.02747696783578471,0,0.1,31.677318124405904,5808,5989.58992362709,70,33,7,63,0.4714285714285714,0.1,0.11819887429643527,533,0.9999999999999999
0.3,0.027719298245614036,1,0.1,33.52775688280427,5240,5032.017057935925,87,26,3,84,0.2988505747126437,0.034482758620689655,0.15441176470588236,544,1.0
0.3,0.026114751478344255,2,0.1,30.242616992276236,5162,5585.2531257022765,77,16,4,73,0.2077922077922078,0.05194805194805195,0.12897526501766785,566,1.0
0.3,0.027392387050871575,3,0.1,38.20000563952177,5693,6299.2398230534955,97,29,3,94,0.29896907216494845,0.030927835051546393,0.16291161178509533,577,1.0
0.3,0.025175908592085728,4,0.1,29.23508988410636,5568,5470.137481011794,73,17,4,69,0.2328767123287671,0.0547945205479452,0.1270718232044199,543,1.0
0.3,0.026504228364060526,5,0.1,35.48149882903981,5792,5695.142964062237,85,32,4,81,0.3764705882352941,0.047058823529411764,0.14568345323741008,556,1.0
0.3,0.02710018367544227,6,0.1,35.39422527158376,5031,5668.641786276764,78,20,5,73,0.2564102564102564,0.0641025641025641,0.11889250814332247,614,1.0
0.3,0.02723112128146453,7,0.1,30.42716487279843,5515,5363.215549968628,95,26,4,91,0.2736842105263158,0.042105263157894736,0.14796747967479676,615,1.0
0.3,0.027359477538598104,8,0.1,32.57819835680751,5155,5270.573417137022,92,31,6,86,0.33695652173913043,0.06521739130434782,0.15034965034965034,572,0.9999999999999998
0.3,0.026222163657925946,9,0.1,36.83705357142857,5389,5119.983696085428,84,37,5,79,0.44047619047619047,0.05952380952380952,0.12191358024691358,648,0.9999999999999998
0.4,0.034385113268608415,0,0.1,24.797181113460184,5887,6021.553498583282,59,22,7,52,0.3728813559322034,0.11864406779661017,0.0975609756097561,533,1.0000000000000002
0.4,0.03404307241779025,1,0.1,24.125932953826695,5323,5226.9219516528,66,20,2,64,0.30303030303030304,0.030303030303030304,0.11764705882352941,544,1.0
0.4,0.0349207339907627,2,0.1,25.13649398033987,5187,5677.107389055579,59,22,4,55,0.3728813559322034,0.06779661016949153,0.09717314487632508,566,1.0
0.4,0.036141279547321346,3,0.1,29.852886921232244,5723,5258.369413103294,73,30,3,70,0.410958904109589,0.0410958904109589,0.12131715771230503,577,1.0
0.4,0.035092627129180654,4,0.1,23.95599821448499,5695,6134.066883884161,49,22,4,45,0.4489795918367347,0.08163265306122448,0.08287292817679558,543,1.0
0.4,0.033768962214601295,5,0.1,24.68436033819396,5900,5853.609576755365,56,25,3,53,0.44642857142857145,0.05357142857142857,0.09532374100719425,556,1.0
0.4,0.033124804504222706,6,0.1,27.629318854886478,5061,5176.026273849695,59,29,5,54,0.4915254237288136,0.0847457627118644,0.08794788273615635,614,1.0
0.4,0.033076518456635416,7,0.1,25.42380660954712,5532,5200.906013990323,56,20,2,54,0.35714285714285715,0.03571428571428571,0.08780487804878048,615,1.0
0.4,0.03412073490813648,8,0.1,31.056057866184446,5265,5866.959085294331,68,34,4,64,0.5,0.058823529411764705,0.11188811188811189,572,1.0
0.4,0.03469112324397276,9,0.1,29.001932148951113,5426,5391.22789479809,76,27,5,71,0.35526315789473684,0.06578947368421052,0.1095679012345679,648,0.9999999999999998
0.5,0.03966392542231986,0,0.1,23.43626794258373,5922,6481.857917302328,55,39,5,50,0.7090909090909091,0.09090909090909091,0.09380863039399624,533,1.0
0.5,0.04196914033798677,1,0.1,20.139792945260677,5335,5039.428895080975,60,31,2,58,0.5166666666666667,0.03333333333333333,0.10661764705882353,544,1.0
0.5,0.042192103712433704,2,0.1,19.932982819905213,5270,5536.938957478194,38,16,1,37,0.42105263157894735,0.02631578947368421,0.06537102473498234,566,1.0
0.5,0.041015741015741014,3,0.1,19.69295437643483,5777,5821.881190006476,43,22,1,42,0.5116279069767442,0.023255813953488372,0.07279029462738301,577,1.0
0.5,0.041028059419948124,4,0.1,22.268367531820445,5750,6063.974852058517,55,29,3,52,0.5272727272727272,0.05454545454545454,0.09576427255985268,543,1.0
0.5,0.04056746869702287,5,0.1,19.196435317146882,5890,5538.659107512984,51,29,5,46,0.5686274509803921,0.09803921568627451,0.08273381294964029,556,0.9999999999999999
0.5,0.04141196212393623,6,0.1,22.335103814582325,5117,5155.969231139932,59,27,5,54,0.4576271186440678,0.0847457627118644,0.08794788273615635,614,1.0000000000000002
0.5,0.03960945949896226,7,0.1,20.879850332594234,5608,5324.163369374665,42,24,4,38,0.5714285714285714,0.09523809523809523,0.061788617886178863,615,1.0
0.5,0.039793881988502665,8,0.1,22.817092687263838,5246,5096.573568347734,48,26,3,45,0.5416666666666666,0.0625,0.07867132867132867,572,1.0
0.5,0.04222614840989399,9,0.1,19.94398272364374,5498,5599.2620359701705,51,29,5,46,0.5686274509803921,0.09803921568627451,0.07098765432098765,648,1.0
