eta,eta_actual,seed,alpha,phi_max,n_cal_null,sum_phi_cal,rejections,fp_contaminated,fp_true,tp_true,fdp_contaminated,fdp_true,recall_true,total_tp_in_test,mean_loo_evalue
0.0,0.0,0,0.1,1051.0892307692309,5642,6149.662171739283,203,17,17,186,0.08374384236453201,0.08374384236453201,0.34896810506566606,533,1.0
0.0,0.0,1,0.1,2160.449241540257,5078,5915.489194067146,180,9,9,171,0.05,0.05,0.31433823529411764,544,1.0
0.0,0.0,2,0.1,1064.320704057279,4988,6431.803780506116,211,11,11,200,0.052132701421800945,0.052132701421800945,0.35335689045936397,566,1.0
0.0,0.0,3,0.1,1104.3547794117646,5520,4943.548545137968,218,15,15,203,0.06880733944954129,0.06880733944954129,0.35181975736568455,577,1.0
0.0,0.0,4,0.1,1991.935710111046,5441,7911.914329082635,175,7,7,168,0.04,0.04,0.30939226519337015,543,1.0
0.0,0.0,5,0.1,2063.445835942392,5616,7017.820668478201,182,16,16,166,0.08791208791208792,0.08791208791208792,0.29856115107913667,556,1.0
0.0,0.0,6,0.1,2261.5130858186244,4857,5830.495720733686,196,10,10,186,0.05102040816326531,0.05102040816326531,0.30293159609120524,614,1.0
0.0,0.0,7,0.1,694.1144338118021,5369,4620.5246377768,217,9,9,208,0.041474654377880185,0.041474654377880185,0.3382113821138211,615,0.9999999999999998
0.0,0.0,8,0.1,1138.380547112462,4991,3724.29532625519,239,17,17,222,0.07112970711297072,0.07112970711297072,0.3881118881118881,572,1.0
0.0,0.0,9,0.1,2240.254129606099,5193,4420.049051981638,233,14,14,219,0.060085836909871244,0.060085836909871244,0.33796296296296297,648,1.0
0.05,0.0038849184533626536,0,0.1,145.65916051161952,5675,6570.39978460305,174,33,16,158,0.1896551724137931,0.09195402298850575,0.2964352720450281,533,1.0
0.05,0.004205675833820948,1,0.1,123.13572732805842,5093,4377.855563337944,178,20,12,166,0.11235955056179775,0.06741573033707865,0.30514705882352944,544,1.0
0.05,0.005180596311995073,2,0.1,132.32608695652172,5021,5473.973720651754,195,15,11,184,0.07692307692307693,0.05641025641025641,0.3250883392226148,566,1.0
0.05,0.005913510375852561,3,0.1,186.66062567421793,5535,5611.194147046792,179,26,8,171,0.1452513966480447,0.0446927374301676,0.29636048526863085,577,1.0000000000000002
0.05,0.006285652000145333,4,0.1,260.573243412798,5488,5954.463973206134,148,11,6,142,0.07432432432432433,0.04054054054054054,0.26151012891344383,543,1.0
0.05,0.004703565959308685,5,0.1,208.97233201581028,5639,6782.4846965303495,159,20,12,147,0.12578616352201258,0.07547169811320754,0.2643884892086331,556,1.0
0.05,0.0041657531243148435,6,0.1,173.3920722135008,4870,4395.853831900828,195,22,10,185,0.11282051282051282,0.05128205128205128,0.30130293159609123,614,1.0
0.05,0.003775244657845545,7,0.1,113.2365109164233,5386,4742.003187888452,188,12,9,179,0.06382978723404255,0.047872340425531915,0.2910569105691057,615,1.0
0.05,0.0043944071182131835,8,0.1,207.86723472853936,5029,5281.60282554391,191,14,10,181,0.07329842931937172,0.05235602094240838,0.31643356643356646,572,1.0
0.05,0.00623791631707584,9,0.1,137.7386515353805,5244,5144.210743398621,194,19,10,184,0.0979381443298969,0.05154639175257732,0.2839506172839506,648,1.0
0.1,0.00944266950656727,0,0.1,81.92723781073296,5694,6346.736887058449,140,18,13,127,0.12857142857142856,0.09285714285714286,0.23827392120075047,533,1.0
0.1,0.009427537011148152,1,0.1,66.2280737704918,5098,3853.261154873131,162,30,12,150,0.18518518518518517,0.07407407407407407,0.2757352941176471,544,1.0
0.1,0.010603095534602383,2,0.1,94.05489562910854,5057,5684.469003315669,127,29,7,120,0.2283464566929134,0.05511811023622047,0.21201413427561838,566,1.0
0.1,0.009238860066804066,3,0.1,81.57726779267338,5555,5404.131659687268,157,19,8,149,0.12101910828025478,0.050955414012738856,0.2582322357019064,577,1.0
0.1,0.010037865256840752,4,0.1,101.70407766990292,5497,5845.4815715192635,144,18,6,138,0.125,0.041666666666666664,0.2541436464088398,543,1.0
0.1,0.008991329789131908,5,0.1,93.57842157842158,5658,5774.036063159762,153,31,14,139,0.20261437908496732,0.0915032679738562,0.25,556,1.0
0.1,0.008405164705461569,6,0.1,87.80400791034937,4921,5643.011402611112,154,19,8,146,0.12337662337662338,0.05194805194805195,0.23778501628664495,614,1.0
0.1,0.008591309287134337,7,0.1,112.69054292536073,5403,5568.772099034744,166,24,7,159,0.14457831325301204,0.04216867469879518,0.25853658536585367,615,1.0
0.1,0.010168040244032965,8,0.1,123.30764075067026,5067,6192.988642322277,126,20,8,118,0.15873015873015872,0.06349206349206349,0.2062937062937063,572,1.0000000000000002
0.1,0.009834203145524904,9,0.1,104.60057750957108,5252,5132.5536796739925,171,24,9,162,0.14035087719298245,0.05263157894736842,0.25,648,1.0
0.15,0.015823112800138192,0,0.1,83.14046895353886,5734,5784.176761311897,124,25,9,115,0.20161290322580644,0.07258064516129033,0.21575984990619138,533,1.0
0.15,0.013963442444654948,1,0.1,50.85473336089293,5139,4704.703111412355,126,23,7,119,0.18253968253968253,0.05555555555555555,0.21875,544,1.0
0.15,0.014797235987994695,2,0.1,53.16007436260624,5055,5181.624350645165,133,37,9,124,0.2781954887218045,0.06766917293233082,0.21908127208480566,566,1.0
0.15,0.01477627471383975,3,0.1,53.71189405297351,5590,5628.342087782104,138,22,4,134,0.15942028985507245,0.028985507246376812,0.2322357019064125,577,1.0
0.15,0.014883498135285866,4,0.1,84.06105119453925,5515,5892.55046464052,109,24,6,103,0.22018348623853212,0.05504587155963303,0.18968692449355432,543,1.0
0.15,0.014101713846905652,5,0.1,79.4397128405939,5700,5969.9761599632475,127,27,7,120,0.2125984251968504,0.05511811023622047,0.2158273381294964,556,1.0
