bin,left,right,null_count,tp_count,p0,p1,raw_phi,regularized_raw_phi,phi
0,0.0500132888555526,0.050600323081016536,72,5,0.015772179627601315,0.0032938076416337285,0.20883655394524958,0.20883655394524958,0.20883655394524958
1,0.050600323081016536,0.051253999769687614,74,2,0.016210295728368018,0.0013175230566534915,0.08127692910301607,0.08127692910301607,0.08127692910301607
2,0.051253999769687614,0.05185318160802117,72,4,0.015772179627601315,0.002635046113306983,0.16706924315619967,0.16706924315619967,0.16706924315619967
3,0.05185318160802117,0.052520556747913325,73,3,0.015991237677984667,0.001976284584980237,0.12358546754020248,0.12358546754020248,0.12358546754020248
4,0.052520556747913325,0.053139435127377496,74,2,0.016210295728368018,0.0013175230566534915,0.08127692910301607,0.08127692910301607,0.08127692910301607
5,0.053139435127377496,0.05366576109081501,69,7,0.01511500547645126,0.00461133069828722,0.3050829657634951,0.3050829657634951,0.3050829657634951
6,0.05366576109081501,0.05428691571578382,69,7,0.01511500547645126,0.00461133069828722,0.3050829657634951,0.3050829657634951,0.3050829657634951
7,0.05428691571578382,0.05505295023322098,76,0,0.01664841182913472,0.0,0.0,0.0,0.0
8,0.05505295023322098,0.05575152132660144,74,2,0.016210295728368018,0.0013175230566534915,0.08127692910301607,0.08127692910301607,0.08127692910301607
9,0.05575152132660144,0.0565213374793529,72,4,0.015772179627601315,0.002635046113306983,0.16706924315619967,0.16706924315619967,0.16706924315619967
10,0.0565213374793529,0.05728560769930479,73,3,0.015991237677984667,0.001976284584980237,0.12358546754020248,0.12358546754020248,0.12358546754020248
11,0.05728560769930479,0.05806955620646472,70,6,0.01533406352683461,0.003952569169960474,0.2577639751552795,0.2577639751552795,0.2577639751552795
12,0.05806955620646472,0.05877597946673625,71,5,0.015553121577217962,0.0032938076416337285,0.2117779138599714,0.2117779138599714,0.2117779138599714
13,0.05877597946673625,0.059559203498065434,72,4,0.015772179627601315,0.002635046113306983,0.16706924315619967,0.16706924315619967,0.16706924315619967
14,0.059559203498065434,0.0605416442267596,70,6,0.01533406352683461,0.003952569169960474,0.2577639751552795,0.2577639751552795,0.2577639751552795
15,0.0605416442267596,0.06151135489344594,72,4,0.015772179627601315,0.002635046113306983,0.16706924315619967,0.16706924315619967,0.16706924315619967
16,0.06151135489344594,0.06270556598901743,67,9,0.014676889375684557,0.005928853754940711,0.4039584685269305,0.4039584685269305,0.4039584685269305
17,0.06270556598901743,0.06364572308957575,71,5,0.015553121577217962,0.0032938076416337285,0.2117779138599714,0.2117779138599714,0.2117779138599714
18,0.06364572308957575,0.06480253618210549,75,1,0.01642935377875137,0.0006587615283267457,0.04009661835748792,0.04009661835748792,0.04009661835748792
19,0.06480253618210549,0.0658023916184902,73,3,0.015991237677984667,0.001976284584980237,0.12358546754020248,0.12358546754020248,0.12358546754020248
20,0.0658023916184902,0.06700141783803693,70,6,0.01533406352683461,0.003952569169960474,0.2577639751552795,0.2577639751552795,0.2577639751552795
21,0.06700141783803693,0.06791053228080271,70,6,0.01533406352683461,0.003952569169960474,0.2577639751552795,0.2577639751552795,0.2577639751552795
22,0.06791053228080271,0.06894755084067578,71,5,0.015553121577217962,0.0032938076416337285,0.2117779138599714,0.2117779138599714,0.2117779138599714
23,0.06894755084067578,0.07007209360599514,69,7,0.01511500547645126,0.00461133069828722,0.3050829657634951,0.3050829657634951,0.3050829657634951
24,0.07007209360599514,0.07150833308696745,73,3,0.015991237677984667,0.001976284584980237,0.12358546754020248,0.12358546754020248,0.12358546754020248
25,0.07150833308696745,0.07281117737293243,71,5,0.015553121577217962,0.0032938076416337285,0.2117779138599714,0.2117779138599714,0.2117779138599714
26,0.07281117737293243,0.0742720605805516,71,5,0.015553121577217962,0.0032938076416337285,0.2117779138599714,0.2117779138599714,0.2117779138599714
27,0.0742720605805516,0.07559026852250096,71,5,0.015553121577217962,0.0032938076416337285,0.2117779138599714,0.2117779138599714,0.2117779138599714
28,0.07559026852250096,0.07707221023738384,71,5,0.015553121577217962,0.0032938076416337285,0.2117779138599714,0.2117779138599714,0.2117779138599714
29,0.07707221023738384,0.07828976213932037,74,2,0.016210295728368018,0.0013175230566534915,0.08127692910301607,0.08127692910301607,0.08127692910301607
30,0.07828976213932037,0.08007984776049848,66,10,0.014457831325301205,0.006587615283267457,0.4556433904259991,0.4556433904259991,0.4556433904259991
31,0.08007984776049848,0.08169467002153394,70,6,0.01533406352683461,0.003952569169960474,0.2577639751552795,0.2577639751552795,0.2577639751552795
32,0.08169467002153394,0.08307844661176204,67,9,0.014676889375684557,0.005928853754940711,0.4039584685269305,0.4039584685269305,0.4039584685269305
33,0.08307844661176204,0.08464957848191262,65,11,0.014238773274917854,0.007246376811594203,0.5089186176142698,0.5089186176142698,0.5089186176142698
34,0.08464957848191262,0.0867262193933129,69,7,0.01511500547645126,0.00461133069828722,0.3050829657634951,0.3050829657634951,0.3050829657634951
35,0.0867262193933129,0.08838108405470846,74,2,0.016210295728368018,0.0013175230566534915,0.08127692910301607,0.08127692910301607,0.08127692910301607
36,0.08838108405470846,0.0906188961118459,72,4,0.015772179627601315,0.002635046113306983,0.16706924315619967,0.16706924315619967,0.16706924315619967
37,0.0906188961118459,0.09278268218040463,69,7,0.01511500547645126,0.00461133069828722,0.3050829657634951,0.3050829657634951,0.3050829657634951
38,0.09278268218040463,0.09485197365283969,64,12,0.014019715224534502,0.007905138339920948,0.5638586956521738,0.5638586956521738,0.5638586956521738
39,0.09485197365283969,0.0970378741621971,69,7,0.01511500547645126,0.00461133069828722,0.3050829657634951,0.3050829657634951,0.3050829657634951
40,0.0970378741621971,0.09925033096224062,67,10,0.014676889375684557,0.006587615283267457,0.4488427428077006,0.4488427428077006,0.4488427428077006
41,0.09925033096224062,0.10126518607139585,66,10,0.014457831325301205,0.006587615283267457,0.4556433904259991,0.4556433904259991,0.4556433904259991
42,0.10126518607139585,0.10440081190317858,65,11,0.014238773274917854,0.007246376811594203,0.5089186176142698,0.5089186176142698,0.5089186176142698
43,0.10440081190317858,0.10749279186129569,63,13,0.01380065717415115,0.008563899868247694,0.6205429031515988,0.6205429031515988,0.6205429031515988
44,0.10749279186129569,0.11043624579906464,67,9,0.014676889375684557,0.005928853754940711,0.4039584685269305,0.4039584685269305,0.4039584685269305
45,0.11043624579906464,0.11357622779905799,65,11,0.014238773274917854,0.007246376811594203,0.5089186176142698,0.5089186176142698,0.5089186176142698
46,0.11357622779905799,0.11680852510035036,66,10,0.014457831325301205,0.006587615283267457,0.4556433904259991,0.4556433904259991,0.4556433904259991
47,0.11680852510035036,0.12036706507205965,65,11,0.014238773274917854,0.007246376811594203,0.5089186176142698,0.5089186176142698,0.5089186176142698
48,0.12036706507205965,0.1244739077985286,64,12,0.014019715224534502,0.007905138339920948,0.5638586956521738,0.5638586956521738,0.5638586956521738
49,0.1244739077985286,0.12866780534386632,57,19,0.01248630887185104,0.012516469038208168,1.002415458937198,1.002415458937198,1.002415458937198
50,0.12866780534386632,0.13319130800664428,64,12,0.014019715224534502,0.007905138339920948,0.5638586956521738,0.5638586956521738,0.5638586956521738
51,0.13319130800664428,0.13924535363912582,57,19,0.01248630887185104,0.012516469038208168,1.002415458937198,1.002415458937198,1.002415458937198
52,0.13924535363912582,0.14397541545331477,66,10,0.014457831325301205,0.006587615283267457,0.4556433904259991,0.4556433904259991,0.4556433904259991
53,0.14397541545331477,0.15136523470282554,63,13,0.01380065717415115,0.008563899868247694,0.6205429031515988,0.6205429031515988,0.6205429031515988
54,0.15136523470282554,0.15627773292362687,58,18,0.012705366922234392,0.011857707509881422,0.9332833583208395,0.9332833583208395,0.9332833583208395
55,0.15627773292362687,0.16379506886005407,56,20,0.01226725082146769,0.013175230566534914,1.0740165631469978,1.0740165631469978,1.0740165631469978
56,0.16379506886005407,0.1712499838322401,62,14,0.013581599123767798,0.00922266139657444,0.6790556334735858,0.6790556334735858,0.6790556334735858
57,0.1712499838322401,0.17964602857828144,59,17,0.012924424972617744,0.011198945981554678,0.8664947187423239,0.8664947187423239,0.8664947187423239
58,0.17964602857828144,0.18730996288359164,50,26,0.01095290251916758,0.017127799736495388,1.563768115942029,1.563768115942029,1.563768115942029
59,0.18730996288359164,0.19606561958789825,60,16,0.013143483023001095,0.010540184453227932,0.8019323671497585,0.8019323671497585,0.8019323671497585
