eta,eta_actual,seed,alpha,phi_max,n_cal_null,sum_phi_cal,rejections,fp_contaminated,fp_true,tp_true,fdp_contaminated,fdp_true,recall_true,total_tp_in_test,mean_loo_evalue
0.0,0.0,0,0.1,299.79182509505705,5128,5447.559607554503,133,4,4,129,0.03007518796992481,0.03007518796992481,0.18041958041958042,715,1.0
0.0,0.0,1,0.1,216.83808283124355,5218,4983.756032121619,155,6,6,149,0.03870967741935484,0.03870967741935484,0.22575757575757577,660,0.9999999999999998
0.0,0.0,2,0.1,461.5551106924164,4569,4372.8376732727,118,11,11,107,0.09322033898305085,0.09322033898305085,0.15922619047619047,672,1.0
0.0,0.0,3,0.1,315.7956457199406,6073,6683.0194799518995,140,4,4,136,0.02857142857142857,0.02857142857142857,0.2233169129720854,609,1.0
0.0,0.0,4,0.1,361.55596687773993,5632,6652.029391665021,118,5,5,113,0.0423728813559322,0.0423728813559322,0.17465224111282843,647,1.0
0.0,0.0,5,0.1,271.2182243985523,5491,4800.607775490318,147,6,6,141,0.04081632653061224,0.04081632653061224,0.19637883008356546,718,1.0000000000000002
0.0,0.0,6,0.1,386.7383391347588,5210,4533.371250013106,187,5,5,182,0.026737967914438502,0.026737967914438502,0.2585227272727273,704,1.0
0.0,0.0,7,0.1,298.5976202039825,5927,5807.51242235998,136,3,3,133,0.022058823529411766,0.022058823529411766,0.2094488188976378,635,1.0
0.0,0.0,8,0.1,357.83823675086677,4927,5623.464934637858,125,1,1,124,0.008,0.008,0.17613636363636365,704,1.0
0.0,0.0,9,0.1,299.85816277962874,4713,5107.081296339709,120,5,5,115,0.041666666666666664,0.041666666666666664,0.1597222222222222,720,1.0000000000000002
0.05,0.005450645286070964,0,0.1,165.7728164867517,5175,6493.052217323146,113,8,3,110,0.07079646017699115,0.02654867256637168,0.15384615384615385,715,1.0
0.05,0.00628952916373858,1,0.1,84.45598497047772,5248,5019.897697285256,99,7,1,98,0.0707070707070707,0.010101010101010102,0.1484848484848485,660,1.0
0.05,0.00535920697747732,2,0.1,100.9887088856161,4601,4772.7214117469575,97,12,9,88,0.12371134020618557,0.09278350515463918,0.13095238095238096,672,1.0
0.05,0.007221988500911513,3,0.1,113.2789951237578,6119,6783.462354421854,120,9,2,118,0.075,0.016666666666666666,0.19376026272577998,609,1.0
0.05,0.005477612467752765,4,0.1,142.84516308009356,5655,7022.776411307001,90,9,3,87,0.1,0.03333333333333333,0.13446676970633695,647,1.0
0.05,0.005571423533975105,5,0.1,95.25380777310924,5515,4828.154358873222,119,11,4,115,0.09243697478991597,0.03361344537815126,0.16016713091922005,718,1.0000000000000002
0.05,0.006194876102477951,6,0.1,132.0159619450317,5238,4648.97370628494,146,10,3,143,0.0684931506849315,0.02054794520547945,0.203125,704,1.0
0.05,0.0054778927898125425,7,0.1,76.14710255898085,5957,6613.4047402844535,98,9,2,96,0.09183673469387756,0.02040816326530612,0.15118110236220472,635,1.0000000000000002
0.05,0.009203612761427248,8,0.1,109.15679949399114,4969,5244.533228009617,108,4,0,108,0.037037037037037035,0.0,0.1534090909090909,704,1.0
0.05,0.005898866422657333,9,0.1,100.6998491704374,4752,4971.962620214155,107,8,4,103,0.07476635514018691,0.037383177570093455,0.14305555555555555,720,1.0
