prompt,sum_phi,n_null,min_null
necktie,141.98922580980098,261,100
box,251.5982405786288,250,100
pastry,208.98024033543902,231,100
suitcase,156.40835920148828,180,100
cake,277.19428429027454,178,100
chinaware,139.16790041922823,150,100
kite,141.75042474469385,143,100
syringe,142.75427781005524,141,100
dollar,143.5451435060906,136,100
pipe,103.91911201105462,135,100
tequila,103.236462955096,129,100
streetlight,111.03428163365083,127,100
armor,119.4729517503565,122,100
penny_(coin),90.01427486356981,122,100
cloak,94.43797723580226,111,100
fig_(fruit),80.22732141037382,111,100
gorilla,138.46325942136022,107,100
salad_plate,95.33310505663604,107,100
log,75.21673314364226,107,100
bowling_ball,109.36653244969561,105,100
gag,88.83724320582718,105,100
brass_plaque,73.59473742869997,102,100
lightning_rod,64.43474803434155,102,100
clippers_(for_plants),70.6061958353642,100,100
kennel,89.53011618781174,95,100
plume,76.46891254374545,95,100
sparkler_(fireworks),73.98414968777433,94,100
hippopotamus,110.59402389891237,93,100
first-aid_kit,63.918933434483876,93,100
file_(tool),53.917714366175105,93,100
coloring_material,75.04728840112723,92,100
bait,65.35838946155698,92,100
spear,65.314277686248,92,100
shaver_(electric),61.140507060120804,90,100
beachball,78.93694352293447,88,100
bolo_tie,72.04329218940377,88,100
shawl,97.0637822873261,87,100
bass_horn,61.54735740553331,86,100
walrus,93.4352505833961,84,100
toy,38.05996196197989,82,100
blimp,128.84866258946911,81,100
cocoa_(beverage),66.33075024000718,79,100
road_map,54.969470461177075,77,100
ballet_skirt,96.26852792086387,75,100
soup_bowl,64.75530792135321,75,100
paperweight,46.71256412809985,75,100
drone,62.553255414542434,74,100
dagger,36.48312753655468,73,100
comic_book,98.45109757923743,71,100
hotplate,56.73909656086576,71,100
crumb,43.54258928480924,70,100
vase,38.81819919260134,70,100
cockroach,51.767753777561346,69,100
fork,50.73631664315335,66,100
chap,79.86939758089441,65,100
grits,79.1402854445004,65,100
lamb-chop,53.11411331060233,65,100
skullcap,76.43514375593172,64,100
water_bottle,37.19712380869881,64,100
passenger_ship,83.66549293998162,63,100
flash,41.605898315413086,63,100
radar,59.259102606289694,62,100
convertible_(automobile),53.062482229979686,62,100
chain_mail,39.660296382667674,61,100
phonebook,36.27586115401979,61,100
skirt,53.01891092458479,59,100
nosebag_(for_animals),52.56103421398339,59,100
hat,43.29065860579207,59,100
eyepatch,37.41217961929485,59,100
scrubbing_brush,35.64731638349857,58,100
popsicle,56.39470590052671,57,100
dishwasher_detergent,49.274406661283855,57,100
diary,73.06480311067124,56,100
puncher,72.21289287609898,56,100
pinwheel,45.60596535727269,56,100
egg_roll,44.26006094796204,56,100
pencil_sharpener,38.508429643718976,56,100
rib_(food),45.75335644604947,55,100
applesauce,36.405539800830226,55,100
martini,50.35915582911251,54,100
signboard,34.97317278598699,54,100
wardrobe,65.1194102172971,53,100
zebra,59.38799386824044,53,100
hand_glass,58.86573572319783,53,100
jewel,41.78302128043762,52,100
trench_coat,44.61642047445424,50,100
airplane,31.155077007492338,49,100
rat,81.00037412580838,48,100
wooden_leg,37.2500109695523,48,100
short_pants,41.5040071597077,47,100
pantyhose,34.60232043609211,47,100
gemstone,71.32697467450103,46,100
fishbowl,43.04195086493926,46,100
milestone,35.17931429954545,46,100
snake,28.56614272912225,46,100
thimble,37.685883235759405,45,100
electric_chair,58.90542882546639,44,100
crabmeat,44.4202533371942,43,100
patty_(food),35.94791137686292,43,100
pistol,23.284066250989024,43,100
mammoth,43.34936880479906,42,100
pudding,31.63319840178417,42,100
hornet,44.22732028976465,41,100
backpack,57.49265472357481,40,100
die,37.06068846451915,40,100
headset,25.59243908122789,40,100
vodka,40.898879384516796,39,100
bonnet,27.190283648047174,39,100
quesadilla,44.818423659294965,38,100
bottle_cap,31.94019421578531,38,100
rearview_mirror,31.19689505629662,38,100
cylinder,30.379064264366356,38,100
pegboard,27.95431175666778,38,100
jersey,41.17297491147732,37,100
dove,29.068799774378515,37,100
lanyard,28.11774889677913,37,100
person,138.83477405648298,36,100
bagpipe,35.002156616411646,36,100
beetle,32.23660437501513,36,100
birthday_card,30.6692039927605,36,100
car_battery,30.40480758395649,36,100
cookie,28.697665990767025,36,100
coil,27.783814135455504,36,100
machine_gun,23.392516921908967,36,100
poker_chip,18.09600563569041,36,100
salmon_(food),32.285046624314155,35,100
waffle_iron,31.753735942253158,35,100
rubber_band,30.115024304521434,35,100
handcuff,93.54521697238864,34,100
gravy_boat,56.89124382365892,34,100
limousine,46.04933765350529,34,100
army_tank,37.105312262445246,34,100
hookah,35.444608171190616,34,100
vinegar,28.534671236547748,34,100
fudge,27.308417981997223,34,100
apricot,90.3880804820687,33,100
dalmatian,76.46874079642839,33,100
jelly_bean,32.93288492545876,33,100
mint_candy,21.874620111603846,33,100
curling_iron,90.36454643404842,32,100
Rollerblade,55.76379477727751,32,100
hamper,36.42336601334663,32,100
broccoli,35.08480673447606,32,100
hummus,34.8049270526916,32,100
tennis_ball,30.424717856080882,32,100
street_sign,21.538287785353607,32,100
beeper,39.24809602320434,31,100
corkboard,29.675652961733253,31,100
stew,26.485424104803634,31,100
ice_skate,20.82550428615901,31,100
wet_suit,38.503101173146,30,100
ski_parka,25.345946791601744,30,100
necklace,19.831210158422625,30,100
crape,153.48960337277288,29,100
Sharpie,47.00861632504637,29,100
dustpan,23.406057283301667,29,100
mushroom,20.579963527551147,29,100
dragonfly,20.426308356916085,29,100
windshield_wiper,19.55714368262757,29,100
scraper,63.81850751335805,28,100
subwoofer,61.13143252406435,28,100
rag_doll,58.230961766843315,28,100
knee_pad,22.4620977984346,28,100
roller_skate,21.456278828836165,28,100
hockey_stick,20.506514896811517,28,100
scarecrow,48.38831740122302,26,100
headlight,29.003589066654534,26,100
knocker_(on_a_door),28.88693630178451,26,100
banner,28.702227548455557,26,100
turnip,23.091169451278333,26,100
pool_table,22.330968000761764,26,100
bread-bin,17.14492025839847,26,100
cabinet,136.38241096130503,25,100
inhaler,25.43316300367828,25,100
bedpan,25.248758233360768,25,100
clock,24.983050432031515,25,100
chocolate_milk,22.70632767863877,25,100
sheep,20.82110204735498,25,100
ladder,18.997440973480792,25,100
prune,59.25999408006709,24,100
lab_coat,53.21472955328439,24,100
piggy_bank,30.066844641889208,24,100
baseball_cap,21.244474732630913,24,100
speaker_(stero_equipment),13.710308805988046,24,100
poncho,27.326680410620416,23,100
cornbread,27.306495621980726,23,100
neckerchief,25.62643623687564,23,100
taco,25.584442912096442,23,100
water_gun,23.82160803459076,23,100
mallard,21.32564600084564,23,100
bird,18.515216045852586,23,100
truffle_(chocolate),17.22962574723375,23,100
batter_(food),17.179458278309845,23,100
chair,16.52759861450352,23,100
date_(fruit),16.412542752596703,23,100
earplug,15.230598225117221,23,100
sawhorse,61.03494298105811,22,100
elevator_car,42.982197471977905,22,100
tambourine,31.989144165270766,22,100
sling_(bandage),24.651614827534218,22,100
ping-pong_ball,21.10644541879964,22,100
scarf,20.267274273352538,22,100
lamppost,12.5365064106783,22,100
gargoyle,52.54711184801353,21,100
casserole,32.6542555595181,21,100
hourglass,23.875449259516834,21,100
bulletproof_vest,20.87264800865288,21,100
cargo_ship,19.994368230687478,21,100
candy_bar,19.307093349711042,21,100
water_heater,15.560439059755089,21,100
ax,15.451152871047375,21,100
taillight,45.8617876944405,20,100
liquor,29.76627149036059,20,100
inkpad,22.71725836284537,20,100
saddle_blanket,19.597467227664026,20,100
microscope,18.33228153055359,20,100
statue_(sculpture),15.721393733576418,20,100
boom_microphone,13.322821081855022,20,100
hot-air_balloon,19.85538035971865,19,100
steak_knife,17.687494692212237,19,100
chocolate_mousse,16.899338068009474,19,100
umbrella,16.862850178684752,19,100
falcon,15.566128234146527,19,100
telephone_pole,9.790150387384035,19,100
sandal_(type_of_shoe),18.237061263073723,18,100
sunglasses,17.718917966006302,18,100
eel,17.257662775295394,18,100
bus_(vehicle),16.536862819617248,18,100
lamp,16.201818324320737,18,100
wristlet,11.496248604156483,18,100
dinghy,19.91319023912245,17,100
poster,17.67874899880675,17,100
chalice,17.208883120304193,17,100
ski_pole,9.92493871295727,17,100
rodent,48.83252113295723,16,100
pitchfork,42.341831336347134,16,100
hair_curler,40.404233170681614,16,100
bob,25.04362517372556,16,100
surfboard,20.621929810086275,16,100
space_shuttle,17.729685143646904,16,100
pin_(non_jewelry),17.00219130878256,16,100
computer_keyboard,16.06415169130846,16,100
knitting_needle,16.02420377847954,16,100
doughnut,15.406463924828195,16,100
matchbox,14.763688269024335,16,100
jacket,7.655272839501502,16,100
omelet,28.281962592853226,15,100
drumstick,20.463031709506986,15,100
handbag,18.50303485184514,15,100
masher,16.961264179578727,15,100
armoire,16.803258816566522,15,100
telephoto_lens,16.72418122273946,15,100
cooking_utensil,15.412836030077406,15,100
bracelet,6.3467798824943955,15,100
napkin,6.037944851550439,15,100
cowbell,79.0301769010954,14,100
escargot,77.88850929697293,14,100
belt,14.793796627249153,14,100
octopus_(food),14.054026576109852,14,100
banjo,12.684253224022328,14,100
grape,41.308625919079084,13,100
fedora,16.991958615903428,13,100
fleece,16.87324033821143,13,100
candle,10.121753659014749,13,100
cellular_telephone,9.801055540244088,13,100
cigarette,5.958713092229151,13,100
baboon,54.323535884175634,12,100
detergent,40.67441112315452,12,100
carnation,38.028585112189575,12,100
washbasin,15.495529494548022,12,100
root_beer,12.026494155192575,12,100
jar,8.854953440377953,12,100
bicycle,5.430918642911138,12,100
baguet,17.447084085230113,11,100
pillow,15.896626131566249,11,100
compass,15.876627358936572,11,100
cistern,15.271285480074177,11,100
pickup_truck,14.296516398787075,11,100
lasagna,13.78967926897191,11,100
breechcloth,13.14162132649886,11,100
sugarcane_(plant),13.090010038000456,11,100
solar_array,12.172817777228763,11,100
octopus_(animal),11.948163729163234,11,100
vulture,11.341921591690673,11,100
shower_cap,11.160212764238707,11,100
dog,6.108715002021458,11,100
baby_buggy,37.48945738989144,10,100
mirror,15.392729461613046,10,100
pencil_box,9.129921103925748,10,100
violin,5.564228381116915,10,100
spoon,4.845157741800061,10,100
mascot,41.78129048660881,9,100
motor_vehicle,37.315236696390386,9,100
diving_board,10.703280037945524,9,100
handle,9.041212001340472,9,100
toilet,6.795480898559336,9,100
tomato,5.569927147465077,9,100
crouton,36.81122957069223,8,100
boxing_glove,12.784804317595006,8,100
gondola_(boat),12.484601899247297,8,100
safety_pin,11.70565373313409,8,100
softball,9.745767269794761,8,100
plow_(farm_equipment),8.65746460862255,8,100
helmet,7.8525373127831175,8,100
goggles,7.262968982956685,8,100
tennis_racket,5.467239537505272,8,100
monitor_(computer_equipment) computer_monitor,5.142433731742114,8,100
boot,4.664188371802989,8,100
dress,4.036376258005779,8,100
leather,8.89510266894453,7,100
vent,4.774976166475941,7,100
hose,3.6783251821344254,7,100
horse,3.5418806042281585,7,100
bear,3.3932266045637047,7,100
awning,3.338836249255577,7,100
smoothie,40.04607896352459,6,100
stagecoach,36.73829534520455,6,100
shepherd_dog,18.455073026503314,6,100
tux,13.970323457692126,6,100
ski_boot,12.401230388040622,6,100
arctic_(type_of_shoe),8.819672446051246,6,100
polo_shirt,7.133000625097507,6,100
painting,6.176599841442144,6,100
houseboat,6.05285369450516,6,100
refrigerator,5.517177503844173,6,100
elephant,4.521421031124288,6,100
teddy_bear,3.417653403665007,6,100
dishwasher,3.3163422573593633,6,100
camera,2.4161718499300924,6,100
Bible,11.932794463787173,5,100
barrel,4.361432734652326,5,100
watch,2.6060228643446472,5,100
curtain,2.418925734188217,5,100
train_(railroad_vehicle),10.248744141922515,4,100
cow,3.8871525494199006,4,100
coat,2.6305103004764354,4,100
fireplug,2.163162004457132,4,100
skateboard,2.0972950048673047,4,100
cat,1.430229826649195,4,100
lemonade,35.262413371753865,3,100
bread,9.30598984970963,3,100
sandwich,9.271578512008709,3,100
toilet_tissue,8.90194484161112,3,100
blanket,5.5505523321480155,3,100
headboard,5.517427136446139,3,100
gameboard,3.097869084692676,3,100
satchel,2.4075322524775347,3,100
cornmeal,2.3906891537125943,3,100
