method,alpha,total_rejections,fdp,recall
betting,0.05,0.6,0.06666666666666667,0.009523809523809523
betting,0.1,4.0,0.19166666666666665,0.07762482033882331
betting,0.15,7.2,0.19833333333333333,0.14150373459626303
betting,0.2,11.4,0.3640909090909091,0.17085601187530924
binary,0.05,0.0,0.0,0.0
binary,0.1,1.0,0.12,0.009523809523809523
binary,0.15,0.0,0.0,0.0
binary,0.2,2.2,0.14545454545454545,0.014285714285714285
pvalue_bh,0.05,14.8,0.3619871794871795,0.22808204330717938
pvalue_bh,0.1,28.0,0.4613226381461676,0.3598659315284748
pvalue_bh,0.15,37.0,0.49818181818181817,0.4408543625268019
pvalue_bh,0.2,45.0,0.5326908772126163,0.501081501378384
