bin,left,right,null_count,tp_count,p0,p1,phi
0,0.0500170812010765,0.0507352015469223,95,5,0.015229240141070856,0.0029036004645760743,0.19065957576869003
1,0.0507352015469223,0.051303986646234985,92,7,0.014748316768194934,0.0040650406504065045,0.27562743018734537
2,0.051303986646234985,0.051923058507964005,89,11,0.014267393395319012,0.006387921022067364,0.4477286666927665
3,0.051923058507964005,0.052536766603589,97,2,0.015549855722988138,0.0011614401858304297,0.07469138019804351
4,0.052536766603589,0.05317208962514995,93,7,0.014908624559153575,0.0040650406504065045,0.27266369437887933
5,0.05317208962514995,0.05380859170109031,91,8,0.014588008977236293,0.004645760743321719,0.3184643463389108
6,0.05380859170109031,0.05446326551027588,98,2,0.015710163513946777,0.0011614401858304297,0.07392922325724716
7,0.05446326551027588,0.055234092846512726,90,9,0.014427701186277652,0.005226480836236934,0.3622531939605111
8,0.055234092846512726,0.05610267817974084,96,4,0.015389547932029497,0.0023228803716608595,0.1509388308168796
9,0.05610267817974084,0.05696431500837203,94,5,0.015068932350112215,0.0029036004645760743,0.1926878691279314
10,0.05696431500837203,0.05784071562811732,96,4,0.015389547932029497,0.0023228803716608595,0.1509388308168796
11,0.05784071562811732,0.05867325272411107,97,2,0.015549855722988138,0.0011614401858304297,0.07469138019804351
12,0.05867325272411107,0.05945280701853331,96,4,0.015389547932029497,0.0023228803716608595,0.1509388308168796
13,0.05945280701853331,0.06036792909726496,96,3,0.015389547932029497,0.0017421602787456446,0.11320412311265969
14,0.06036792909726496,0.06126960413530465,96,4,0.015389547932029497,0.0023228803716608595,0.1509388308168796
15,0.06126960413530465,0.06231440901756284,93,6,0.014908624559153575,0.003484320557491289,0.23371173803903939
16,0.06231440901756284,0.0634365987963974,96,4,0.015389547932029497,0.0023228803716608595,0.1509388308168796
17,0.0634365987963974,0.0643140945583582,89,10,0.014267393395319012,0.005807200929152149,0.4070260606297877
18,0.0643140945583582,0.06551378192380068,93,7,0.014908624559153575,0.0040650406504065045,0.27266369437887933
19,0.06551378192380068,0.06648252904415122,91,8,0.014588008977236293,0.004645760743321719,0.3184643463389108
20,0.06648252904415122,0.06760131865739819,92,8,0.014748316768194934,0.004645760743321719,0.31500277735696613
21,0.06760131865739819,0.06876344718039036,92,7,0.014748316768194934,0.0040650406504065045,0.27562743018734537
22,0.06876344718039036,0.06996351461857554,90,10,0.014427701186277652,0.005807200929152149,0.40250354884501227
23,0.06996351461857554,0.07141447961330409,94,5,0.015068932350112215,0.0029036004645760743,0.1926878691279314
24,0.07141447961330409,0.0727509735152125,92,8,0.014748316768194934,0.004645760743321719,0.31500277735696613
25,0.0727509735152125,0.07394825536757706,91,8,0.014588008977236293,0.004645760743321719,0.3184643463389108
26,0.07394825536757706,0.07532327715307473,98,2,0.015710163513946777,0.0011614401858304297,0.07392922325724716
27,0.07532327715307473,0.07695334888994686,93,6,0.014908624559153575,0.003484320557491289,0.23371173803903939
28,0.07695334888994686,0.07866558078676461,92,8,0.014748316768194934,0.004645760743321719,0.31500277735696613
29,0.07866558078676461,0.0802492946386337,91,8,0.014588008977236293,0.004645760743321719,0.3184643463389108
30,0.0802492946386337,0.0818878857418894,88,12,0.014107085604360373,0.006968641114982578,0.4939816281279696
