alpha,n_seeds,compression_ratio_mean,mean_cluster_size_mean,max_cluster_size_max,nms_fdp_pooled_mean,nms_fdp_pooled_std,nms_family_fdp_mean,nms_rej_mean,nms_recall_cluster_mean,nms_recall_members_mean,nms_recall_object_mean,base_fdp_pooled_mean,base_family_fdp_mean,base_rej_mean,base_recall_mean,base_recall_object_mean,rej_ratio_nms_over_base,recall_ratio_nms_members_over_base,recall_ratio_object
0.05,20,0.3284047514696231,3.0562837139316934,47,0.0,0.0,0.0,15.7,0.011036017407282345,0.060493941188817034,0.04605399720194827,0.0029411764705882353,0.00013812154696132595,28.25,0.019914790152407283,0.08276855978422612,0.5558,3.0376,0.5564
0.1,20,0.3284047514696231,3.0562837139316934,47,0.0022727272727272726,0.010163945352271771,0.00013812154696132595,29.05,0.020494993150256664,0.11564152420033236,0.0858314572189837,0.00125,0.00013812154696132595,52.9,0.0372994560466947,0.1544135767838062,0.5491,3.1004,0.5559
0.15,20,0.3284047514696231,3.0562837139316934,47,0.0014285714285714286,0.006388765649999398,0.00013812154696132595,37.9,0.026761898201354516,0.15170569422704075,0.11236517192305677,0.001990460465969547,0.0004143646408839779,64.3,0.04546872952701521,0.18899695571317726,0.5894,3.3365,0.5945
0.2,20,0.3284047514696231,3.0562837139316934,47,0.0010416666666666667,0.004658474953124562,0.00013812154696132595,46.05,0.032587683561740195,0.1851161583844115,0.13680498234158994,0.002500390686044694,0.0006906077348066298,68.9,0.048714994945772874,0.20296073032291137,0.6684,3.8,0.674
