seed,alpha,iou_thresh,n_candidates,n_clusters,compression_ratio,mean_cluster_size,max_cluster_size,nms_rej,nms_fp,nms_tp,nms_tp_members,nms_fdp_pooled,nms_family_fdp_mean,nms_recall_cluster,nms_recall_members,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall,total_tp_clusters,nms_hit_tp_clusters,base_hit_tp_clusters,nms_recall_object,base_recall_object
0,0.05,0.5,6359,2150,0.33810347538921215,2.9576744186046513,47,8,0,8,45,0.0,0.0,0.005009392611145898,0.028177833437695678,22,0,22,0.0,0.0,0.013775829680651221,380,8,22,0.021052631578947368,0.05789473684210526
0,0.1,0.5,6359,2150,0.33810347538921215,2.9576744186046513,47,26,0,26,146,0.0,0.0,0.01628052598622417,0.09142141515341265,60,0,60,0.0,0.0,0.03757044458359424,380,26,60,0.06842105263157895,0.15789473684210525
0,0.15,0.5,6359,2150,0.33810347538921215,2.9576744186046513,47,40,0,40,222,0.0,0.0,0.025046963055729492,0.13901064495929868,72,0,72,0.0,0.0,0.045084533500313086,380,40,72,0.10526315789473684,0.18947368421052632
0,0.2,0.5,6359,2150,0.33810347538921215,2.9576744186046513,47,50,0,50,273,0.0,0.0,0.031308703819661866,0.17094552285535378,78,0,78,0.0,0.0,0.048841577958672514,380,50,78,0.13157894736842105,0.20526315789473684
1,0.05,0.5,6139,2164,0.3525004072324483,2.836876155268022,33,7,0,7,38,0.0,0.0,0.005319148936170213,0.028875379939209727,11,0,11,0.0,0.0,0.008358662613981762,331,7,11,0.021148036253776436,0.03323262839879154
1,0.1,0.5,6139,2164,0.3525004072324483,2.836876155268022,33,17,0,17,93,0.0,0.0,0.012917933130699088,0.07066869300911854,44,0,44,0.0,0.0,0.03343465045592705,331,17,44,0.0513595166163142,0.13293051359516617
1,0.15,0.5,6139,2164,0.3525004072324483,2.836876155268022,33,21,0,21,113,0.0,0.0,0.015957446808510637,0.0858662613981763,62,0,62,0.0,0.0,0.04711246200607903,331,21,62,0.0634441087613293,0.18731117824773413
1,0.2,0.5,6139,2164,0.3525004072324483,2.836876155268022,33,33,0,33,169,0.0,0.0,0.02507598784194529,0.128419452887538,68,0,68,0.0,0.0,0.05167173252279635,331,33,68,0.09969788519637462,0.2054380664652568
10,0.05,0.5,5701,1873,0.32853885283283635,3.04378003203417,38,13,0,13,57,0.0,0.0,0.009475218658892129,0.04154518950437318,15,0,15,0.0,0.0,0.010932944606413994,317,13,15,0.04100946372239748,0.0473186119873817
10,0.1,0.5,5701,1873,0.32853885283283635,3.04378003203417,38,20,0,20,100,0.0,0.0,0.014577259475218658,0.0728862973760933,46,0,46,0.0,0.0,0.033527696793002916,317,20,45,0.06309148264984227,0.14195583596214512
