method,alpha,total_rejections,fdp,recall
betting,0.05,0.0,0.0,0.0
betting,0.1,0.45,0.25,0.0005145837247514367
betting,0.15,3.85,0.28601190476190474,0.006394376431724169
betting,0.2,8.0,0.25059343434343434,0.014789786449753883
binary,0.05,0.05,0.0,0.00013297872340425532
binary,0.1,1.2,0.075,0.0015580188400302936
binary,0.15,1.45,0.05394736842105263,0.0018518372371993182
binary,0.2,3.85,0.12608393784864375,0.004551768625653706
pvalue_bh,0.05,78.85,0.5279556512366164,0.09452438856826409
pvalue_bh,0.1,130.6,0.6304342020072288,0.12203960942640793
pvalue_bh,0.15,186.15,0.6691443224108596,0.1551991284163095
pvalue_bh,0.2,259.75,0.6882467372923282,0.20351722893361474
