bin,left,right,null_count,tp_count,p0,p1,raw_phi,regularized_raw_phi,phi
0,0.001002095057629,0.001181309891398925,138,75,0.010790523105794042,0.017972681524083392,1.6655987247210327,1.6655987247210327,1.6655987247210327
1,0.001181309891398925,0.00137852697225753,140,72,0.010946907498631636,0.017253774263120056,1.5761322789360173,1.5761322789360173,1.5761322789360173
2,0.00137852697225753,0.0015840696330996626,149,63,0.011650637266400813,0.01509705248023005,1.2958134508031014,1.2958134508031014,1.2958134508031014
3,0.0015840696330996626,0.001816658477764495,153,59,0.011963406052076003,0.01413850946561227,1.181813055919708,1.181813055919708,1.181813055919708
4,0.001816658477764495,0.0021053991513326252,154,58,0.0120415982484948,0.013898873711957823,1.1542382850794066,1.1542382850794066,1.1542382850794066
5,0.0021053991513326252,0.0023945891589391526,143,69,0.011181484087888029,0.01653486700215672,1.4787721265075686,1.4787721265075686,1.4787721265075686
6,0.0023945891589391526,0.00271389145054849,151,61,0.011807021659238408,0.01461778097292116,1.2380582838588658,1.2380582838588658,1.2380582838588658
7,0.00271389145054849,0.00312022564467036,151,61,0.011807021659238408,0.01461778097292116,1.2380582838588658,1.2380582838588658,1.2380582838588658
8,0.00312022564467036,0.0035269773041363087,156,56,0.012197982641332395,0.013419602204648934,1.1001493115080463,1.1001493115080463,1.1001493115080463
9,0.0035269773041363087,0.003993679943960088,154,58,0.0120415982484948,0.013898873711957823,1.1542382850794066,1.1542382850794066,1.1542382850794066
10,0.003993679943960088,0.004494224343216013,160,52,0.012510751427007584,0.012461059190031152,0.9960280373831776,0.9960280373831776,0.9960280373831776
11,0.004494224343216013,0.005030524102039567,151,61,0.011807021659238408,0.01461778097292116,1.2380582838588658,1.2380582838588658,1.2380582838588658
12,0.005030524102039567,0.005576719797681986,154,58,0.0120415982484948,0.013898873711957823,1.1542382850794066,1.1542382850794066,1.1542382850794066
13,0.005576719797681986,0.006226553989108638,153,59,0.011963406052076003,0.01413850946561227,1.181813055919708,1.181813055919708,1.181813055919708
14,0.006226553989108638,0.006990149908233387,154,58,0.0120415982484948,0.013898873711957823,1.1542382850794066,1.1542382850794066,1.1542382850794066
15,0.006990149908233387,0.007709362171590281,163,49,0.012745328016263976,0.011742151929067817,0.9212906811094989,0.9212906811094989,0.9212906811094989
16,0.007709362171590281,0.008620646607596347,175,37,0.013683634373289545,0.008866522885214475,0.6479654924514738,0.6479654924514738,0.6479654924514738
17,0.008620646607596347,0.00953406533226363,161,51,0.012588943623426382,0.012221423436376708,0.970806113837402,0.970806113837402,0.970806113837402
18,0.00953406533226363,0.010552577802445695,164,48,0.012823520212682774,0.011502516175413372,0.8969858498009855,0.8969858498009855,0.8969858498009855
19,0.010552577802445695,0.0114617785438895,157,55,0.012276174837751192,0.013179966450994488,1.0736215983552135,1.0736215983552135,1.0736215983552135
20,0.0114617785438895,0.012663503899238973,175,37,0.013683634373289545,0.008866522885214475,0.6479654924514738,0.6479654924514738,0.6479654924514738
21,0.012663503899238973,0.013858015276491603,171,41,0.013370865587614356,0.009825065899832255,0.7348115075611387,0.7348115075611387,0.7348115075611387
22,0.013858015276491603,0.014957575034350067,167,45,0.013058096801939166,0.010783608914450037,0.8258178108197696,0.8258178108197696,0.8258178108197696
23,0.014957575034350067,0.016267268732190043,171,41,0.013370865587614356,0.009825065899832255,0.7348115075611387,0.7348115075611387,0.7348115075611387
24,0.016267268732190043,0.017501824535429398,171,41,0.013370865587614356,0.009825065899832255,0.7348115075611387,0.7348115075611387,0.7348115075611387
25,0.017501824535429398,0.018930445006117187,178,34,0.013918210962545937,0.008147615624251139,0.585392450665999,0.585392450665999,0.585392450665999
26,0.018930445006117187,0.02033179854042824,168,44,0.013136288998357963,0.01054397316079559,0.8026599568655644,0.8026599568655644,0.8026599568655644
27,0.02033179854042824,0.022102133464068117,169,43,0.01321448119477676,0.010304337407141146,0.7797761603546043,0.7797761603546043,0.7797761603546043
28,0.022102133464068117,0.02379608524497598,179,33,0.013996403158964735,0.007907979870596693,0.5650008634919615,0.5650008634919615,0.5650008634919615
29,0.02379608524497598,0.025367933558300085,184,28,0.014387364141058722,0.006709801102324467,0.4663676429218892,0.4663676429218892,0.4663676429218892
30,0.025367933558300085,0.027333003003150176,175,37,0.013683634373289545,0.008866522885214475,0.6479654924514738,0.6479654924514738,0.6479654924514738
31,0.027333003003150176,0.02924129068851467,176,36,0.013761826569708343,0.008626887131560028,0.6268707927586432,0.6268707927586432,0.6268707927586432
32,0.02924129068851467,0.031181205855682424,171,41,0.013370865587614356,0.009825065899832255,0.7348115075611387,0.7348115075611387,0.7348115075611387
33,0.031181205855682424,0.03316886406391858,169,43,0.01321448119477676,0.010304337407141146,0.7797761603546043,0.7797761603546043,0.7797761603546043
34,0.03316886406391858,0.03540375176817176,169,43,0.01321448119477676,0.010304337407141146,0.7797761603546043,0.7797761603546043,0.7797761603546043
35,0.03540375176817176,0.037584588117897465,187,25,0.014621940730315114,0.005990893841361131,0.4097194723912701,0.4097194723912701,0.4097194723912701
36,0.037584588117897465,0.039791720407083564,166,46,0.012979904605520369,0.011023244668104481,0.8492546750625796,0.8492546750625796,0.8492546750625796
37,0.039791720407083564,0.04235007101669902,167,45,0.013058096801939166,0.010783608914450037,0.8258178108197696,0.8258178108197696,0.8258178108197696
38,0.04235007101669902,0.04492226606234907,170,42,0.013292673391195558,0.010064701653486701,0.7571615849790672,0.7571615849790672,0.7571615849790672
