method,alpha,total_rejections,fdp,recall,mean_family_fdp,cal_bound,cal_loss
scoregate_pooled_emp,0.05,211.33333333333334,0.0777735336558866,0.2862581862581863,0.012985131979545386,0.047145634834090455,0.047145634834090455
scoregate_pooled_emp,0.1,251.66666666666666,0.10370747222599075,0.3315018315018315,0.01837503571674894,0.09865090039018913,0.09865090039018913
scoregate_pooled_emp,0.15,273.6666666666667,0.12416707089790396,0.35267787767787767,0.025342664611752136,0.14809610688372704,0.14809610688372704
scoregate_pooled_emp,0.2,299.3333333333333,0.14395425424704866,0.3768592518592519,0.03122333657310582,0.19962762725332253,0.19962762725332253
scoregate_pooled_emp,0.25,344.3333333333333,0.18966240583404606,0.41017940392940394,0.048204829680866146,0.24881516587677724,0.24881516587677724
scoregate_pooled_emp,0.3,394.6666666666667,0.2252043328662379,0.44648407148407143,0.06447540305978712,0.29799733055616,0.29799733055616
