alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,threshold,cal_loss,cal_bound,cal_rejections,cal_fp,cal_tp,seed,method
0.05,537,130,210,16,194,0.0761904761904762,0.27132867132867133,0.011731843575418994,0.5753095149993896,0.0449438202247191,0.0449438202247191,178,8,170,0,scoregate_pooled_emp
0.1,537,143,243,25,218,0.102880658436214,0.3048951048951049,0.019200585262037776,0.5116779804229736,0.09954751131221719,0.09954751131221719,221,22,199,0,scoregate_pooled_emp
0.15,537,150,262,31,231,0.1183206106870229,0.3230769230769231,0.02185159657226696,0.4874049723148346,0.145748987854251,0.145748987854251,247,36,211,0,scoregate_pooled_emp
0.2,537,154,276,36,240,0.13043478260869565,0.3356643356643357,0.023654340693446838,0.4739405810832977,0.2,0.2,270,54,216,0,scoregate_pooled_emp
0.25,537,167,315,54,261,0.17142857142857143,0.365034965034965,0.03433957332810612,0.4356881082057953,0.25,0.25,324,81,243,0,scoregate_pooled_emp
0.3,537,176,341,62,279,0.18181818181818182,0.3902097902097902,0.03633466252592116,0.4168929755687713,0.2970027247956403,0.2970027247956403,367,109,258,0,scoregate_pooled_emp
0.05,537,116,220,13,207,0.05909090909090909,0.31363636363636366,0.008801099583222489,0.58332759141922,0.048034934497816595,0.048034934497816595,229,11,218,1,scoregate_pooled_emp
0.1,537,130,260,17,243,0.06538461538461539,0.36818181818181817,0.012742750731577547,0.5103765726089478,0.0967741935483871,0.0967741935483871,279,27,252,1,scoregate_pooled_emp
0.15,537,149,299,30,269,0.10033444816053512,0.4075757575757576,0.027084011581218283,0.4644445478916168,0.14953271028037382,0.14953271028037382,321,48,273,1,scoregate_pooled_emp
0.2,537,156,320,35,285,0.109375,0.4318181818181818,0.030445516618700975,0.4338455200195312,0.19946091644204852,0.19946091644204852,371,74,297,1,scoregate_pooled_emp
0.25,537,167,369,60,309,0.16260162601626016,0.4681818181818182,0.048401019902049015,0.3965928256511688,0.24644549763033174,0.24644549763033174,422,104,318,1,scoregate_pooled_emp
0.3,537,181,398,74,324,0.18592964824120603,0.4909090909090909,0.06641136233167988,0.3707001805305481,0.29916317991631797,0.29916317991631797,478,143,335,1,scoregate_pooled_emp
0.05,537,120,204,20,184,0.09803921568627451,0.27380952380952384,0.01842245277999468,0.5666587352752686,0.048458149779735685,0.048458149779735685,227,11,216,2,scoregate_pooled_emp
0.1,537,136,252,36,216,0.14285714285714285,0.32142857142857145,0.02318177115663149,0.4945140480995178,0.0996309963099631,0.0996309963099631,271,27,244,2,scoregate_pooled_emp
0.15,537,141,260,40,220,0.15384615384615385,0.3273809523809524,0.027092385681771157,0.4761933088302612,0.1490066225165563,0.1490066225165563,302,45,257,2,scoregate_pooled_emp
0.2,537,161,302,58,244,0.19205298013245034,0.3630952380952381,0.03957015240716965,0.437342882156372,0.1994219653179191,0.1994219653179191,346,69,277,2,scoregate_pooled_emp
0.25,537,177,349,82,267,0.2349570200573066,0.39732142857142855,0.06187389581244329,0.4018633961677551,0.25,0.25,400,100,300,2,scoregate_pooled_emp
0.3,537,199,445,137,308,0.30786516853932583,0.4583333333333333,0.09068018432176032,0.3548742234706878,0.29782608695652174,0.29782608695652174,460,137,323,2,scoregate_pooled_emp
