method,alpha,total_rejections,fdp,recall
betting,0.05,104.6,0.05150910579111578,0.2568394326657838
betting,0.1,138.0,0.06984614321954252,0.3315785311658208
betting,0.15,157.8,0.07760641520272875,0.3756340725208826
betting,0.2,169.2,0.09263969322756962,0.3959126389290715
binary,0.05,0.0,0.0,0.0
binary,0.1,0.0,0.0,0.0
binary,0.15,0.0,0.0,0.0
binary,0.2,17.4,0.17048648648648648,0.024796707408331252
pvalue_bh,0.05,207.8,0.13242040857624682,0.46552996445985595
pvalue_bh,0.1,278.8,0.23156520860768817,0.5529160748359173
pvalue_bh,0.15,341.4,0.3077860417191556,0.6062042181549889
pvalue_bh,0.2,410.4,0.3793029278587829,0.647722770917029
