alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,threshold,cal_loss,cal_bound,cal_rejections,cal_fp,cal_tp,seed,method
0.05,537,163,305,49,256,0.16065573770491803,0.35804195804195804,0.03050217340132071,0.443461924791336,0.04630885873902634,0.04808151885289432,305,72,233,0,crc_scoregate
0.1,537,204,467,133,334,0.284796573875803,0.4671328671328671,0.07573844012391498,0.3459347486495971,0.09338061194639889,0.09506577809519741,505,200,305,0,crc_scoregate
0.15,537,230,618,240,378,0.3883495145631068,0.5286713286713287,0.12126259177489922,0.2890542149543762,0.14781796535556968,0.14940194683260394,648,305,343,0,crc_scoregate
0.2,537,250,794,388,406,0.48866498740554154,0.5678321678321678,0.16865383412015095,0.2426971644163131,0.19826939178350064,0.19975959737498114,797,418,379,0,crc_scoregate
0.05,537,167,371,60,311,0.16172506738544473,0.4712121212121212,0.04835691522695345,0.3933790624141693,0.04789606771040984,0.04966577762172878,428,110,318,1,crc_scoregate
0.1,537,197,460,109,351,0.23695652173913043,0.5318181818181819,0.09246145950056565,0.3271325528621673,0.09451068506834027,0.09619375070947718,576,210,366,1,crc_scoregate
0.15,537,223,565,180,385,0.3185840707964602,0.5833333333333334,0.13830343808161752,0.2762130796909332,0.1464911152876332,0.14807756302873426,706,310,396,1,crc_scoregate
0.2,537,241,676,263,413,0.3890532544378698,0.6257575757575757,0.1801777540023599,0.2359640747308731,0.19816664828609182,0.1996570448506158,866,444,422,1,crc_scoregate
0.05,537,187,402,110,292,0.2736318407960199,0.43452380952380953,0.07266651205198692,0.3708972036838531,0.0474852698022354,0.04925574327843943,437,121,316,2,crc_scoregate
0.1,537,222,550,205,345,0.37272727272727274,0.5133928571428571,0.13135882842586755,0.3066538572311401,0.0971294256945536,0.09880762378805814,556,204,352,2,crc_scoregate
0.15,537,248,713,334,379,0.4684431977559607,0.5639880952380952,0.1827551603529257,0.2527782917022705,0.14816855566550552,0.14975188548768859,702,317,385,2,crc_scoregate
0.2,537,273,858,449,409,0.5233100233100233,0.6086309523809523,0.23863227379048027,0.2214733809232711,0.19710359944753922,0.19859597193927242,811,407,404,2,crc_scoregate
0.05,537,178,316,57,259,0.18037974683544303,0.42528735632183906,0.05113201084282254,0.4071259200572967,0.04679029086686004,0.04856205612547182,433,85,348,3,crc_scoregate
0.1,537,209,428,119,309,0.2780373831775701,0.5073891625615764,0.09168839018148045,0.3259264528751373,0.0983130959181252,0.09998909388110266,695,273,422,3,crc_scoregate
0.15,537,228,514,181,333,0.3521400778210117,0.5467980295566502,0.12889386632403393,0.2669837474822998,0.1479912425389892,0.14957490193947437,894,425,469,3,crc_scoregate
0.2,537,246,611,252,359,0.41243862520458263,0.5894909688013136,0.17367493564035655,0.2372651994228363,0.197225848122203,0.1987179933859164,1031,541,490,3,crc_scoregate
0.05,537,179,363,97,266,0.26721763085399447,0.41112828438948995,0.05017790488798002,0.4168929755687713,0.04814257747218641,0.04991182918692212,382,92,290,4,crc_scoregate
0.1,537,199,460,160,300,0.34782608695652173,0.46367851622874806,0.08158796265970626,0.3553620874881744,0.09831541992607336,0.09999141356933344,572,231,341,4,crc_scoregate
0.15,537,233,621,275,346,0.4428341384863124,0.5347758887171561,0.13495641818315676,0.297223836183548,0.1474576199956218,0.14904227125957045,750,368,382,4,crc_scoregate
0.2,537,265,802,424,378,0.5286783042394015,0.5842349304482226,0.20709188904572615,0.2426822185516357,0.19810168847007503,0.19959220577775147,960,531,429,4,crc_scoregate
