seed,alpha,iou_thresh,n_candidates,n_clusters,compression_ratio,mean_cluster_size,max_cluster_size,nms_rej,nms_fp,nms_tp,nms_tp_members,nms_fdp_pooled,nms_family_fdp_mean,nms_recall_cluster,nms_recall_members,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall
0,0.1,0.3,6366,2966,0.46591266101162426,2.146325016857721,119,129,3,126,169,0.023255813953488372,0.0032588454376163874,0.17622377622377622,0.23636363636363636,133,4,129,0.03007518796992481,0.0032278088144009932,0.18041958041958042
1,0.1,0.3,5601,2826,0.5045527584359936,1.9819532908704882,72,137,4,133,171,0.029197080291970802,0.003893685457931268,0.2015151515151515,0.2590909090909091,155,6,149,0.03870967741935484,0.004519409826672397,0.22575757575757577
10,0.1,0.3,5879,2873,0.4886885524749107,2.0462930734423947,61,120,3,117,161,0.025,0.003414028553693358,0.18055555555555555,0.24845679012345678,146,4,142,0.0273972602739726,0.0062073246430788325,0.2191358024691358
11,0.1,0.3,5927,2963,0.4999156402901974,2.0003374957813027,55,124,7,117,149,0.056451612903225805,0.009962756052141527,0.18660287081339713,0.23763955342902712,131,10,121,0.07633587786259542,0.01367022177078043,0.19298245614035087
12,0.1,0.3,6884,2867,0.4164729808251017,2.401116149284967,137,115,3,112,146,0.02608695652173913,0.00558659217877095,0.1381011097410604,0.18002466091245375,119,3,116,0.025210084033613446,0.00558659217877095,0.14303329223181258
13,0.1,0.3,5389,2519,0.46743366116162555,2.1393410083366415,75,105,4,101,129,0.0380952380952381,0.006517690875232775,0.17939609236234458,0.2291296625222025,112,4,108,0.03571428571428571,0.0062073246430788325,0.19182948490230906
14,0.1,0.3,5911,2710,0.4584672644222636,2.181180811808118,118,111,2,109,148,0.018018018018018018,0.002482929857231533,0.15549215406562053,0.21112696148359486,120,3,117,0.025,0.002482929857231533,0.16690442225392296
15,0.1,0.3,6204,2900,0.46744036105738235,2.139310344827586,137,109,2,107,148,0.01834862385321101,0.0037243947858473,0.15242165242165243,0.21082621082621084,109,3,106,0.027522935779816515,0.00558659217877095,0.150997150997151
16,0.1,0.3,5904,2724,0.4613821138211382,2.1674008810572687,93,126,4,122,181,0.031746031746031744,0.006052141527001862,0.16331994645247658,0.24230254350736277,134,6,128,0.04477611940298507,0.0066728739913097445,0.1713520749665328
17,0.1,0.3,5551,2690,0.4845973698432715,2.0635687732342007,108,113,2,111,148,0.017699115044247787,0.002482929857231533,0.18107667210440456,0.24143556280587275,122,5,117,0.040983606557377046,0.0032898820608317815,0.19086460032626426
18,0.1,0.3,7310,3260,0.44596443228454175,2.2423312883435584,137,126,7,119,158,0.05555555555555555,0.007914338919925512,0.14782608695652175,0.19627329192546583,132,8,124,0.06060606060606061,0.00881440099317194,0.15403726708074533
19,0.1,0.3,7196,3208,0.44580322401334077,2.243142144638404,118,154,10,144,205,0.06493506493506493,0.015363128491620111,0.17061611374407584,0.24289099526066352,176,10,166,0.056818181818181816,0.015052762259466168,0.1966824644549763
2,0.1,0.3,6659,2786,0.41838113830905543,2.390165111270639,121,109,8,101,134,0.07339449541284404,0.0111731843575419,0.15029761904761904,0.19940476190476192,118,11,107,0.09322033898305085,0.013656114214773432,0.15922619047619047
3,0.1,0.3,5192,2370,0.4564714946070878,2.190717299578059,88,128,5,123,180,0.0390625,0.006517690875232775,0.2019704433497537,0.2955665024630542,140,4,136,0.02857142857142857,0.004655493482309125,0.2233169129720854
4,0.1,0.3,5971,2842,0.47596717467760846,2.100985221674877,108,110,3,107,150,0.02727272727272727,0.004345127250155183,0.16537867078825347,0.23183925811437403,118,5,113,0.0423728813559322,0.006828057107386715,0.17465224111282843
5,0.1,0.3,5843,2721,0.46568543556392267,2.147372289599412,119,139,5,134,184,0.03597122302158273,0.008379888268156424,0.18662952646239556,0.2562674094707521,147,6,141,0.04081632653061224,0.006879784812745707,0.19637883008356546
6,0.1,0.3,6038,2799,0.4635640940708844,2.1571989996427297,137,165,5,160,202,0.030303030303030304,0.006393544382371198,0.22727272727272727,0.2869318181818182,187,5,182,0.026737967914438502,0.006362507759155802,0.2585227272727273
7,0.1,0.3,5691,2749,0.48304340186259004,2.0702073481265915,69,122,1,121,156,0.00819672131147541,0.000931098696461825,0.19055118110236222,0.24566929133858267,136,3,133,0.022058823529411766,0.0029484792054624456,0.2094488188976378
8,0.1,0.3,6956,3133,0.4504025301897642,2.22023619533993,137,121,1,120,167,0.008264462809917356,0.0006207324643078833,0.17045454545454544,0.2372159090909091,125,1,124,0.008,0.0006207324643078833,0.17613636363636365
9,0.1,0.3,6806,2926,0.4299147810755216,2.3260423786739577,137,112,6,106,152,0.05357142857142857,0.008690254500310366,0.14722222222222223,0.2111111111111111,120,5,115,0.041666666666666664,0.006414235464514795,0.1597222222222222
