alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum
0.15,69,1,1,0,1,0.0,0.005813953488372093,0.0,0.0,0,4,betting,5<K<=30
0.2,21,0,0,0,0,0.0,0.0,0.0,0.0,0,4,betting,K>30
0.2,67,53,61,1,60,0.01639344262295082,0.6122448979591837,0.014925373134328358,0.0,0,4,betting,K<=5
0.2,69,6,6,1,5,0.16666666666666666,0.029069767441860465,0.014492753623188406,0.0,0,4,betting,5<K<=30
0.05,62,41,44,0,44,0.0,0.5,0.0,0.0,0,5,betting,K<=5
0.05,73,1,2,1,1,0.5,0.0043859649122807015,0.00684931506849315,0.0,0,5,betting,5<K<=30
0.05,22,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K>30
0.1,62,49,53,0,53,0.0,0.6022727272727273,0.0,0.0,0,5,betting,K<=5
0.1,73,6,11,2,9,0.18181818181818182,0.039473684210526314,0.017123287671232876,0.0,0,5,betting,5<K<=30
0.1,22,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K>30
0.15,62,50,55,1,54,0.01818181818181818,0.6136363636363636,0.008064516129032258,0.0,0,5,betting,K<=5
0.15,73,10,19,3,16,0.15789473684210525,0.07017543859649122,0.030821917808219176,0.0,0,5,betting,5<K<=30
0.15,22,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K>30
0.2,62,51,56,1,55,0.017857142857142856,0.625,0.008064516129032258,0.0,0,5,betting,K<=5
0.2,73,15,26,3,23,0.11538461538461539,0.10087719298245613,0.030821917808219176,0.0,0,5,betting,5<K<=30
0.2,22,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K>30
0.05,19,0,0,0,0,0.0,0.0,0.0,0.0,0,6,betting,K>30
0.05,66,2,2,0,2,0.0,0.009478672985781991,0.0,0.0,0,6,betting,5<K<=30
0.05,72,39,42,0,42,0.0,0.37168141592920356,0.0,0.0,0,6,betting,K<=5
0.1,19,0,0,0,0,0.0,0.0,0.0,0.0,0,6,betting,K>30
0.1,66,6,10,1,9,0.1,0.04265402843601896,0.003787878787878788,0.0,0,6,betting,5<K<=30
0.1,72,57,64,0,64,0.0,0.5663716814159292,0.0,0.0,0,6,betting,K<=5
0.15,19,0,0,0,0,0.0,0.0,0.0,0.0,0,6,betting,K>30
0.15,66,8,12,1,11,0.08333333333333333,0.052132701421800945,0.003787878787878788,0.0,0,6,betting,5<K<=30
0.15,72,60,69,3,66,0.043478260869565216,0.584070796460177,0.027777777777777776,0.0,0,6,betting,K<=5
0.2,19,0,0,0,0,0.0,0.0,0.0,0.0,0,6,betting,K>30
0.2,66,14,22,1,21,0.045454545454545456,0.0995260663507109,0.003787878787878788,0.0,0,6,betting,5<K<=30
0.2,72,60,70,3,67,0.04285714285714286,0.5929203539823009,0.027777777777777776,0.0,0,6,betting,K<=5
0.05,73,2,2,0,2,0.0,0.008032128514056224,0.0,0.0,0,7,betting,5<K<=30
0.05,65,37,39,0,39,0.0,0.3939393939393939,0.0,0.0,0,7,betting,K<=5
0.05,19,0,0,0,0,0.0,0.0,0.0,0.0,0,7,betting,K>30
0.1,73,5,12,0,12,0.0,0.04819277108433735,0.0,0.0,0,7,betting,5<K<=30
0.1,65,57,69,3,66,0.043478260869565216,0.6666666666666666,0.046153846153846156,0.0,0,7,betting,K<=5
0.1,19,0,0,0,0,0.0,0.0,0.0,0.0,0,7,betting,K>30
0.15,73,13,32,8,24,0.25,0.0963855421686747,0.0273972602739726,0.0,0,7,betting,5<K<=30
0.15,65,59,71,3,68,0.04225352112676056,0.6868686868686869,0.046153846153846156,0.0,0,7,betting,K<=5
0.15,19,0,0,0,0,0.0,0.0,0.0,0.0,0,7,betting,K>30
0.2,73,19,42,8,34,0.19047619047619047,0.13654618473895583,0.0273972602739726,0.0,0,7,betting,5<K<=30
0.2,65,59,73,3,70,0.0410958904109589,0.7070707070707071,0.046153846153846156,0.0,0,7,betting,K<=5
0.2,19,0,0,0,0,0.0,0.0,0.0,0.0,0,7,betting,K>30
0.05,66,1,2,0,2,0.0,0.0091324200913242,0.0,0.0,0,8,betting,5<K<=30
0.05,70,34,38,0,38,0.0,0.3392857142857143,0.0,0.0,0,8,betting,K<=5
0.05,21,0,0,0,0,0.0,0.0,0.0,0.0,0,8,betting,K>30
0.1,66,2,3,0,3,0.0,0.0136986301369863,0.0,0.0,0,8,betting,5<K<=30
0.1,70,46,60,0,60,0.0,0.5357142857142857,0.0,0.0,0,8,betting,K<=5
0.1,21,0,0,0,0,0.0,0.0,0.0,0.0,0,8,betting,K>30
0.15,66,6,7,0,7,0.0,0.0319634703196347,0.0,0.0,0,8,betting,5<K<=30
0.15,70,60,75,1,74,0.013333333333333334,0.6607142857142857,0.014285714285714285,0.0,0,8,betting,K<=5
0.15,21,1,4,4,0,1.0,0.0,0.047619047619047616,0.0,0,8,betting,K>30
0.2,66,9,12,0,12,0.0,0.0547945205479452,0.0,0.0,0,8,betting,5<K<=30
0.2,70,66,83,1,82,0.012048192771084338,0.7321428571428571,0.014285714285714285,0.0,0,8,betting,K<=5
0.2,21,1,4,4,0,1.0,0.0,0.047619047619047616,0.0,0,8,betting,K>30
0.05,19,0,0,0,0,0.0,0.0,0.0,0.0,0,9,betting,K>30
0.05,76,0,0,0,0,0.0,0.0,0.0,0.0,0,9,betting,5<K<=30
0.05,62,26,28,0,28,0.0,0.30434782608695654,0.0,0.0,0,9,betting,K<=5
0.1,19,0,0,0,0,0.0,0.0,0.0,0.0,0,9,betting,K>30
0.1,76,4,6,0,6,0.0,0.024896265560165973,0.0,0.0,0,9,betting,5<K<=30
0.1,62,42,48,0,48,0.0,0.5217391304347826,0.0,0.0,0,9,betting,K<=5
0.15,19,0,0,0,0,0.0,0.0,0.0,0.0,0,9,betting,K>30
0.15,76,11,16,0,16,0.0,0.06639004149377593,0.0,0.0,0,9,betting,5<K<=30
0.15,62,48,58,0,58,0.0,0.6304347826086957,0.0,0.0,0,9,betting,K<=5
0.2,19,0,0,0,0,0.0,0.0,0.0,0.0,0,9,betting,K>30
0.2,76,12,21,0,21,0.0,0.08713692946058091,0.0,0.0,0,9,betting,5<K<=30
0.2,62,53,65,1,64,0.015384615384615385,0.6956521739130435,0.008064516129032258,0.0,0,9,betting,K<=5
0.05,70,2,2,0,2,0.0,0.009478672985781991,0.0,0.0,0,10,betting,5<K<=30
0.05,70,37,39,0,39,0.0,0.38235294117647056,0.0,0.0,0,10,betting,K<=5
0.05,17,0,0,0,0,0.0,0.0,0.0,0.0,0,10,betting,K>30
0.1,70,5,8,0,8,0.0,0.037914691943127965,0.0,0.0,0,10,betting,5<K<=30
0.1,70,53,55,1,54,0.01818181818181818,0.5294117647058824,0.014285714285714285,0.0,0,10,betting,K<=5
0.1,17,0,0,0,0,0.0,0.0,0.0,0.0,0,10,betting,K>30
0.15,70,11,15,0,15,0.0,0.07109004739336493,0.0,0.0,0,10,betting,5<K<=30
0.15,70,57,62,1,61,0.016129032258064516,0.5980392156862745,0.014285714285714285,0.0,0,10,betting,K<=5
0.15,17,0,0,0,0,0.0,0.0,0.0,0.0,0,10,betting,K>30
0.2,70,15,20,0,20,0.0,0.0947867298578199,0.0,0.0,0,10,betting,5<K<=30
0.2,70,59,64,1,63,0.015625,0.6176470588235294,0.014285714285714285,0.0,0,10,betting,K<=5
0.2,17,0,0,0,0,0.0,0.0,0.0,0.0,0,10,betting,K>30
0.05,18,0,0,0,0,0.0,0.0,0.0,0.0,0,11,betting,K>30
0.05,67,42,45,0,45,0.0,0.5,0.0,0.0,0,11,betting,K<=5
0.05,72,2,2,0,2,0.0,0.008771929824561403,0.0,0.0,0,11,betting,5<K<=30
0.1,18,0,0,0,0,0.0,0.0,0.0,0.0,0,11,betting,K>30
0.1,67,52,59,2,57,0.03389830508474576,0.6333333333333333,0.029850746268656716,0.0,0,11,betting,K<=5
0.1,72,6,9,0,9,0.0,0.039473684210526314,0.0,0.0,0,11,betting,5<K<=30
0.15,18,0,0,0,0,0.0,0.0,0.0,0.0,0,11,betting,K>30
0.15,67,57,64,2,62,0.03125,0.6888888888888889,0.029850746268656716,0.0,0,11,betting,K<=5
0.15,72,9,14,0,14,0.0,0.06140350877192982,0.0,0.0,0,11,betting,5<K<=30
0.2,18,1,6,6,0,1.0,0.0,0.05555555555555555,0.0,0,11,betting,K>30
0.2,67,57,64,2,62,0.03125,0.6888888888888889,0.029850746268656716,0.0,0,11,betting,K<=5
0.2,72,12,23,7,16,0.30434782608695654,0.07017543859649122,0.013888888888888888,0.0,0,11,betting,5<K<=30
0.05,72,2,2,0,2,0.0,0.009523809523809525,0.0,0.0,0,12,betting,5<K<=30
0.05,66,31,31,0,31,0.0,0.34444444444444444,0.0,0.0,0,12,betting,K<=5
0.05,19,0,0,0,0,0.0,0.0,0.0,0.0,0,12,betting,K>30
