method,alpha,total_rejections,fdp,recall
betting,0.05,38.8,0.01114340965854941,0.08851233226310404
betting,0.1,61.65,0.023323702998666172,0.13899839579203782
betting,0.15,77.45,0.043641512584868716,0.1704950046313504
betting,0.2,89.4,0.06251890871166237,0.1925390653267543
binary,0.05,0.0,0.0,0.0
binary,0.1,0.65,0.0,0.0014130434782608696
binary,0.15,0.0,0.0,0.0
binary,0.2,3.05,0.01225609756097561,0.005707601497264613
pvalue_bh,0.05,125.05,0.10293154728230143,0.2576583501855268
pvalue_bh,0.1,182.05,0.1565344247152644,0.35223422221563083
pvalue_bh,0.15,233.3,0.22525063376256127,0.4122741637432138
pvalue_bh,0.2,273.8,0.28369001723559956,0.44618612861691814
