method,alpha,total_rejections,fdp,recall
betting,0.05,0.0,0.0,0.0
betting,0.1,0.0,0.0,0.0
betting,0.15,0.0,0.0,0.0
betting,0.2,0.0,0.0,0.0
binary,0.05,0.0,0.0,0.0
binary,0.1,0.0,0.0,0.0
binary,0.15,0.0,0.0,0.0
binary,0.2,0.0,0.0,0.0
pvalue_bh,0.05,2.1213203435596424,0.23570226039551584,0.08838834764831845
pvalue_bh,0.1,2.8284271247461903,0.4242640687119285,0.049104637582399135
pvalue_bh,0.15,4.949747468305833,0.18856180831641264,0.09820927516479827
pvalue_bh,0.2,7.7781745930520225,0.3417682775734979,0.05892556509887898
