method,alpha,total_rejections,fdp,recall
betting,0.05,278.2,0.09015810057489003,0.44528455526467264
betting,0.1,316.7,0.11973357118177178,0.4902567186741192
betting,0.15,371.6,0.17436747922007084,0.5389111217129214
betting,0.2,403.5,0.20653570388095438,0.5602297353416786
binary,0.05,23.5,0.011382978723404255,0.02800925925925926
binary,0.1,48.2,0.02362994228615729,0.058334462511291776
binary,0.15,23.5,0.011382978723404255,0.02800925925925926
binary,0.2,48.2,0.02362994228615729,0.058334462511291776
pvalue_bh,0.05,449.5,0.25437917339664473,0.5912692375275591
pvalue_bh,0.1,449.5,0.25437917339664473,0.5912692375275591
pvalue_bh,0.15,449.5,0.25437917339664473,0.5912692375275591
pvalue_bh,0.2,449.5,0.25437917339664473,0.5912692375275591
