alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,cal_null_size,n_cal
0.05,559,176,277,40,237,0.1444043321299639,0.4446529080675422,0.04383820314052872,0.4,5398,0,betting,all,5642
0.1,559,185,289,43,246,0.14878892733564014,0.46153846153846156,0.048012323593718945,0.4,5398,0,betting,all,5642
0.15,559,232,379,91,288,0.24010554089709762,0.5403377110694184,0.10922281852514411,0.4,5398,0,betting,all,5642
0.2,559,232,380,92,288,0.24210526315789474,0.5403377110694184,0.10922281852514411,0.4,5398,0,betting,all,5642
0.05,559,156,246,23,223,0.09349593495934959,0.4099264705882353,0.02627566232217395,0.4,5426,1,betting,all,5078
0.1,559,165,257,25,232,0.09727626459143969,0.4264705882352941,0.028064571087826902,0.4,5426,1,betting,all,5078
0.15,559,193,314,51,263,0.1624203821656051,0.4834558823529412,0.05860912343470482,0.4,5426,1,betting,all,5078
0.2,559,197,324,52,272,0.16049382716049382,0.5,0.0595035778175313,0.4,5426,1,betting,all,5078
0.05,559,169,247,10,237,0.04048582995951417,0.41872791519434627,0.014013118664281454,0.4,5739,2,betting,all,4988
0.1,559,190,313,26,287,0.08306709265175719,0.5070671378091873,0.028818468353352077,0.4,5739,2,betting,all,4988
0.15,559,226,381,62,319,0.16272965879265092,0.5636042402826855,0.07300451486497998,0.4,5739,2,betting,all,4988
0.2,559,229,391,65,326,0.16624040920716113,0.5759717314487632,0.07493540051679586,0.4,5739,2,betting,all,4988
0.05,559,185,299,34,265,0.11371237458193979,0.4592720970537262,0.03223514211886305,0.4,5129,3,betting,all,5520
0.1,559,194,313,36,277,0.11501597444089456,0.4800693240901213,0.034024050884516,0.4,5129,3,betting,all,5520
0.15,559,236,385,80,305,0.2077922077922078,0.5285961871750433,0.0950620438992532,0.4,5129,3,betting,all,5520
0.2,559,236,389,82,307,0.21079691516709512,0.5320623916811091,0.09631428003521027,0.4,5129,3,betting,all,5520
0.05,559,163,268,27,241,0.10074626865671642,0.4438305709023941,0.030510832836414235,0.4,5715,4,betting,all,5441
0.1,559,176,297,31,266,0.10437710437710437,0.48987108655616945,0.034684953289604456,0.4,5715,4,betting,all,5441
0.15,559,200,343,51,292,0.14868804664723032,0.5377532228360957,0.06321804810176904,0.4,5715,4,betting,all,5441
0.2,559,200,356,59,297,0.16573033707865167,0.5469613259668509,0.06511556918533662,0.4,5715,4,betting,all,5441
0.05,559,180,278,45,233,0.1618705035971223,0.41906474820143885,0.045552574040946134,0.4,5789,5,betting,all,5616
0.1,559,188,293,47,246,0.16040955631399317,0.44244604316546765,0.0479377857284834,0.4,5789,5,betting,all,5616
0.15,559,212,350,72,278,0.2057142857142857,0.5,0.07418505267342476,0.4,5789,5,betting,all,5616
0.2,559,213,366,82,284,0.22404371584699453,0.5107913669064749,0.07900019876764063,0.4,5789,5,betting,all,5616
0.05,559,191,315,33,282,0.10476190476190476,0.4592833876221498,0.03736831643808387,0.4,5599,6,betting,all,4857
