alpha,n_seeds,sa_fdp_pooled_mean,sa_fdp_pooled_std,sa_family_fdp_mean,sa_rej_mean,sa_recall_object_mean,base_fdp_pooled_mean,base_family_fdp_mean,base_rej_mean,base_recall_object_mean,recall_ratio_sa_over_base_object
0.05,20,0.016922816822446878,0.01620480091717646,0.0021619812583668005,46.4,0.11117966212624004,0.01506692876171351,0.002098393574297189,44.15,0.1041751760708397,1.0672
0.1,20,0.01727560452521818,0.013049311095477856,0.0025702811244979916,64.95,0.15559892396323133,0.023126840745530605,0.0033734939759036144,60.9,0.14368461118307443,1.0829
0.15,20,0.031147807635493924,0.02889297706665318,0.005558424172882004,79.2,0.18655817031926752,0.03532432072063415,0.005976764199655766,73.8,0.17250586672735485,1.0815
0.2,20,0.041136335159437,0.026538990317590543,0.00884299101166571,92.0,0.21461861186555362,0.0380209358944394,0.008118665136737426,84.95,0.19811926389703458,1.0833
